$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35288735$TME Live 吴青峰「16叶」线上演唱会$莱克尔博德$2020-12-21 11:33:58$8$"我们在听吴青峰的时候，听的是什么？是丢掉脆弱的自己，站在外人面前，嬉皮笑脸的勇敢。是沉浸在热爱中，并没想过会获得多少喜欢，甚至对喜欢有本能害怕的柔软。小心翼翼保护的，是纯粹的自己。所以你去听「柔软」，听「最难的是相遇」，亦或是「蔓延」，总有种脆弱的，但是强迫症般的精益求精在操纵着，是独属于吴青峰的魅力。"
41$35288735$TME Live 吴青峰「16叶」线上演唱会$苏薄荷$2020-12-24 13:53:58$1$再次感叹青峰的live永远比cd好听哈哈，舞台表现力绝赞！演唱难度很大的《费洛蒙小姐》《阿兹海默》发挥稳定，全员和声的《低低星垂》超级惊喜！大屏设计也既有创意也有心意，值得反复观看。
42$35288735$TME Live 吴青峰「16叶」线上演唱会$不知道啊$2020-12-21 11:05:17$0$为什么觉得比专辑更好听呢😯
43$35288735$TME Live 吴青峰「16叶」线上演唱会$呼呼哈嘿$2020-12-24 18:43:09$4$沉浸式现场，吴青峰的唱功非常棒，根据不同歌曲调整不同唱法唱腔，堪称人声乐器。现场观众无拍照无摄影，非常有素质。
44$35288735$TME Live 吴青峰「16叶」线上演唱会$胡春杨只喝奶$2020-12-23 15:13:09$0$唱的太好了，怀念。
45$35288735$TME Live 吴青峰「16叶」线上演唱会$23coooka$2021-01-26 23:19:24$0$背景有心了，听到《最难的是相遇》时，青峰背后的吴妈妈这不正应景了我很难回家的情景吗？
46$35288735$TME Live 吴青峰「16叶」线上演唱会$89mansion$2021-01-31 01:27:10$0$2020.12.20去年年末最快乐的一天。
47$35288735$TME Live 吴青峰「16叶」线上演唱会$臧淼$2022-12-10 18:21:05$0$未看
48$35288735$TME Live 吴青峰「16叶」线上演唱会$伟人都迷惘然后$2021-01-24 20:15:53$0$“谁都没有权力能支配我一生一趟忠于自己的表演”
49$35288735$TME Live 吴青峰「16叶」线上演唱会$欢迎视奸$2020-12-24 13:30:53$1$视听盛宴 
50$35288735$TME Live 吴青峰「16叶」线上演唱会$L$2021-01-05 20:18:49$0$原来每首歌 都有一些故事 翻开册页小事 一边看一边听牛角包唱歌（是12.13夜 这衣服穿了三天啊）
