$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11498192$齐天乐$乌子虚$2012-11-20 16:00:28$88$看得我好伤感。这才是真正的表演艺术家在表演艺术啊。
115$11498192$齐天乐$林雁飞$2021-02-13 09:57:08$0$朋友推荐，翻出来怀旧一下。不想两只神兽居然立刻被吸引去了。猴子八戒组合永恒无敌啊。//两只神兽全程端坐看完，表示比现在的春晚好看多了。
116$11498192$齐天乐$hellogo$2016-08-12 20:37:25$1$西游记剧组的人各个都有好才艺
117$11498192$齐天乐$忘忧半夏$2022-06-03 12:41:42$0$太欢乐了。看的时候全程嘴角上扬。
118$11498192$齐天乐$加州山蛇$2021-02-11 12:32:42$0$最具有创意的春晚，影响力最大的cosplay
119$11498192$齐天乐$一只蛮蛮$2020-08-20 14:01:19$0$好玩好笑又好看，看过这么好看的春晚，才明白为什么现在春晚每年都要被骂。
120$11498192$齐天乐$电影Mark$2020-01-27 15:35:33$0$就算看在多遍的88版《西游记》，不看一遍《齐天乐》，都不算真正的圆满！
121$11498192$齐天乐$江吴童$2020-06-05 19:18:24$0$如其名，很欢乐。
122$11498192$齐天乐$喉加糖$2022-02-05 01:51:09$0$有意思
123$11498192$齐天乐$陆雪梵$2021-02-11 16:10:44$0$2021年除夕的下午在微博偶然刷到。很喜欢。视频里大家笑的很畅怀坦然。
124$11498192$齐天乐$痞宅少主☆w★$2016-01-28 23:08:06$1$这是我2016的春晚
125$11498192$齐天乐$SF$2018-02-24 20:04:45$0$节目质量凑合，但节目背后的意义确够高，不过那个年代的人好像都是这种精神，用心，专业。
126$11498192$齐天乐$卤煮猫$2017-06-05 13:24:33$0$先不说别的，就杨导对电视观众们尊重的这份儿心，就该给五颗星。西游记剧组的主力演员基本都上了，韩善续和马德华的小品不错，赵丽蓉的小品也有几个戏曲动作的细节处理的特别好。迟重瑞的《唐僧抒怀》、胡寅寅的《大圣歌》都不错。
127$11498192$齐天乐$砹韧$2022-02-03 18:04:47$0$85后赶上了文艺巅峰时代，此后艺术创作质量下滑，媒体技术飞升。也就是……我们每天在被无限复制的垃圾堆里找精神食粮
128$11498192$齐天乐$lwabish$2021-02-28 21:45:59$0$给大佬们跪了
129$11498192$齐天乐$无可奈何之时$2022-02-04 18:10:45$0$女儿情，听一次哭一次
130$11498192$齐天乐$爱晃悠爱生活$2022-02-03 20:18:50$0$牛逼了，当年可是每周六晚上等着看西游记啊，咋错过了这个呢？一个剧组撑起一台晚会，全是剧中人物，棒棒哒：我也要夜赏国宝😍😘
