$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
48$10430307$梅兰芳的舞台艺术 下集$Ingmar&amp;Akira$2022-07-0112:35:07$0$《霸王别姬》的虞姬的剑舞太美了《贵妃醉酒》：真是雍容华贵极了，梅大师的表演太细腻娇媚了有字幕就好了
49$10430307$梅兰芳的舞台艺术 下集$kate$2012-08-1215:38:57$0$梅所增于“臥魚”之“嗅花”，點睛之極。
50$10430307$梅兰芳的舞台艺术 下集$hérisson$2021-04-1908:40:37$0$太美太娇了好好好！
51$10430307$梅兰芳的舞台艺术 下集$辛巴的小窝$2023-04-1120:17:27$0$贵妃醉酒的身段真好看！
52$10430307$梅兰芳的舞台艺术 下集$Iris$2017-12-0722:22:19$0$英雄虽已迟暮，美人竟不白头，花甲之年的梅大师，倾国倾城。and第一次看到有戏曲演员能把程式化的艺术表演得如此生活化，二者结合产生高雅的美感，乃至于在京剧这样一个没有第四面墙的舞台形式中让观众相信演员即角色。无怪乎现在扭捏作态的表演让京剧无人问津，这个锅程式化不背。
53$10430307$梅兰芳的舞台艺术 下集$阿雾$2019-03-2019:45:59$0$霸王别姬贵妃醉酒
54$10430307$梅兰芳的舞台艺术 下集$清小文$2022-05-3114:55:08$0$结合《电影》的专栏，看到了摄制组的巧思，梅先生一举手一投足都是神仙气派（小声说：玖爷不愧是少爷）
55$10430307$梅兰芳的舞台艺术 下集$ajiang8081$2021-06-2001:11:17$0$看过留痕
56$10430307$梅兰芳的舞台艺术 下集$林家铺子$2020-01-0907:50:03$0$贵妃醉酒，终曲。
57$10430307$梅兰芳的舞台艺术 下集$3月的樱花$2014-03-0323:37:53$0$海島冰輪初轉騰...
58$10430307$梅兰芳的舞台艺术 下集$程方圆$2019-10-1409:08:54$0$我采访过梅葆玖先生。
59$10430307$梅兰芳的舞台艺术 下集$ff44rr$2023-04-1120:40:03$0$中国电影资料馆文慧园路三号院
60$10430307$梅兰芳的舞台艺术 下集$石头记606$2017-05-0215:05:49$0$梅兰芳不愧是艺术大师
61$10430307$梅兰芳的舞台艺术 下集$百变女王$2021-11-1621:02:36$0$虞姬舞剑贵妃醉酒很可爱
62$10430307$梅兰芳的舞台艺术 下集$HELLOJOY$2012-01-2421:19:47$0$天生丽质难自弃一朝选在君王侧
63$10430307$梅兰芳的舞台艺术 下集$闻乐🌻$2013-03-1119:29:22$0$望梅兴叹，后继无人！
64$10430307$梅兰芳的舞台艺术 下集$自习$2023-04-1120:26:54$0$能听懂的比上部多一些，多听多练有进步
65$10430307$梅兰芳的舞台艺术 下集$向往的非物世界$2021-03-1812:49:42$0$没有字幕看起来太吃力了……
66$10430307$梅兰芳的舞台艺术 下集$忍$2019-11-2321:32:54$0$过滤戏曲
67$10430307$梅兰芳的舞台艺术 下集$HiverShiver$2023-04-1121:55:15$0$1.醉酒可以多动人2.正因为她是娘娘才打动人呢……换成一个普通身份的女孩会吗
68$10430307$梅兰芳的舞台艺术 下集$酒井小莉$2022-05-0516:11:37$0$可惜没字幕
69$10430307$梅兰芳的舞台艺术 下集$孤筏重洋$2021-06-0617:58:12$0$虽然是彩色的，但效果很一般，梅兰芳老态毕现，让人很失望，且没有字幕，根本不知道上面的宾白和唱词，看得自然无比痛苦。不过，《贵妃醉酒》这出戏，还是能看出梅兰芳的功力，那么大年纪了，演起贵妃来，百媚千娇，活脱脱一个杨玉环，身段漂亮。第一出戏《断桥》里，他儿子梅玖葆演的青蛇，表情木讷，很煞风景。
70$10430307$梅兰芳的舞台艺术 下集$TAOTAO$2017-05-2323:07:35$0$太喜欢看京剧的“作”了，每一个小动作都是有节奏的，都不是随随便便的。和谐～流畅～美哉！入迷了
71$10430307$梅兰芳的舞台艺术 下集$雨天晒被子$2012-09-2412:48:59$0$望梅兴叹！
72$10430307$梅兰芳的舞台艺术 下集$海盐冰激凌$2020-04-2317:21:47$0$如果有字幕就更好了
