排名/年,year,name,box,score,导演,卡司,id
1,2014,变形金刚4：绝迹重生,197509.0,6.7,迈克尔·贝,"马克·沃尔伯格, 斯坦利·图齐, 凯尔希·格兰莫, 妮可拉·佩尔茨, 杰克·莱诺",7054604
2,2014,心花路放,116971.0,7.2,宁浩,"黄渤, 徐峥, 袁泉, 周冬雨, 陶慧",25717233
10,2014,分手大师,66495.0,5.1,"俞白眉, 邓超","邓超, 杨幂, 古力娜扎, 栾元晖, 秦越",24879858
11,2014,后会无期,62857.0,7.2,韩寒,"冯绍峰, 陈柏霖, 钟汉良, 王珞丹, 袁泉",25805741
12,2014,匆匆那年,60350.0,5.6,张一白,"彭于晏, 倪妮, 郑恺, 魏晨, 张子萱",25779218
16,2014,小时代3：刺金时代,52131.0,4.7,郭敬明,"杨幂, 柯震东, 郭采洁, 陈学冬, 郭碧婷",24847340
20,2014,同桌的妳,45557.0,6.0,郭帆,"周冬雨, 林更新, 隋凯, 王啸坤, 龚格尔",24843198
29,2014,亲爱的,34286.0,8.4,陈可辛,"黄渤, 佟大为, 郝蕾, 张译, 张雨绮",25798222
35,2014,归来,29138.0,8.1,张艺谋,"陈道明, 巩俐, 张慧雯, 郭涛, 刘佩琦",21352814
38,2014,催眠大师,27376.0,7.6,陈正道,"徐峥, 莫文蔚, 胡静, 吕中, 王耀庆",24743711
66,2014,白日焰火,10256.0,7.6,刁亦男,"廖凡, 桂纶镁, 王学兵, 王景春, 余皑磊",21941804
70,2014,绣春刀,9339.0,7.7,路阳,"张震, 刘诗诗, 王千源, 李东学, 聂远",24745500
5,2015,重返20岁,36590.3,7.1,陈正道,"杨子姗, 归亚蕾, 陈柏霖, 鹿晗, 王德顺",25870084
78,2015,战狼,54388.9,7.0,吴京,"吴京, 余男, 斯科特·阿金斯, 李凯文, 倪大红",24753810
88,2015,速度与激情7,242655.6,8.4,温子仁,"范·迪塞尔, 保罗·沃克, 杰森·斯坦森, 米歇尔·罗德里格兹, 乔丹娜·布鲁斯特",23761370
99,2014,左耳,48520.9,5.7,苏有朋,"陈都灵, 欧豪, 杨洋, 马思纯, 段博文",25745752
115,2015,十二公民,1392.3,8.4,徐昂,"何冰, 韩童生, 钱波, 赵龙豪, 米铁增",24875534
166,2015,小时代4：灵魂尽头,48841.7,5.0,郭敬明,"杨幂, 郭采洁, 陈学冬, 郭碧婷, 谢依霖",24847343
167,2015,西游记之大圣归来,95592.9,8.3,田晓鹏,"张磊, 林子杰, 吴文伦, 童自荣, 刘九容",26277313
172,2015,捉妖记,243653.9,6.7,许诚毅,"白百何, 井柏然, 姜武, 金燕玲, 钟汉良",25723907
173,2015,煎饼侠,115944.8,5.8,大鹏,"大鹏, 袁姗姗, 柳岩, 吴君如, 曾志伟",25895276
206,2015,滚蛋吧！肿瘤君,51064.0,7.4,韩延,"白百何, 吴彦祖, 李媛, 刘芮麟, 程伊",26289144
221,2015,烈日灼心,30464.9,8.3,曹保平,"邓超, 段奕宏, 郭涛, 王珞丹, 吕颂贤",24719063
242,2015,碟中谍5：神秘国度,86894.0,7.9,克里斯托弗·麦奎里,"汤姆·克鲁斯, 杰瑞米·雷纳, 丽贝卡·弗格森, 西蒙·佩吉, 文·瑞姆斯",10727641
260,2015,港囧,161223.9,5.7,"徐峥, 阮惟新","徐峥, 包贝尔, 杜鹃, 葛民辉, 李灿森",25710912
264,2015,夏洛特烦恼,144069.2,7.8,"闫非, 彭大魔","沈腾, 马丽, 尹正, 艾伦, 王智",25964071
265,2015,解救吾先生,19581.4,7.7,丁晟,"刘德华, 刘烨, 王千源, 吴若甫, 林雪",25798448
301,2015,我是证人,21514.0,6.3,安相勋,"杨幂, 鹿晗, 王景春, 朱亚文, 刘芮麟",26313973
360,2015,寻龙诀,168214.3,7.4,乌尔善,"陈坤, 黄渤, 舒淇, 杨颖, 夏雨",3077412
363,2015,老炮儿,90260.5,7.5,管虎,"冯小刚, 许晴, 张涵予, 刘桦, 李易峰",24751756
365,2015,恶棍天使,64922.5,4.4,"俞白眉, 邓超","邓超, 孙俪, 代乐乐, 梁超, 杨新鸣",26290365
368,2015,唐人街探案,82337.5,7.7,陈思诚,"王宝强, 刘昊然, 佟丽娅, 陈赫, 肖央",26311973
32,2016,功夫熊猫3,100200.4,7.8,"吕寅荣, 亚历山德罗·卡罗尼","杰克·布莱克, 布莱恩·科兰斯顿, 达斯汀·霍夫曼, 安吉丽娜·朱莉, J·K·西蒙斯",11589036
42,2016,美人鱼,339211.8,6.7,周星驰,"邓超, 罗志祥, 张雨绮, 林允, 徐克",19944106
93,2016,火锅英雄,37054.2,7.2,杨庆,"陈坤, 白百何, 秦昊, 喻恩泰, 王彦霖",25662327
131,2013,百鸟朝凤,8691.2,8.3,吴天明,"陶泽如, 李岷城, 嵇波, 胡先煦, 郑伟",10831445
