电影名,评分,导演,卡司,id
狄仁杰之四大天王,6.1,徐克,"赵又廷, 冯绍峰, 林更新, 阮经天, 马思纯",25882296
变形金刚4：绝迹重生,6.7,迈克尔·贝,"马克·沃尔伯格, 斯坦利·图齐, 凯尔希·格兰莫, 妮可拉·佩尔茨, 杰克·莱诺",7054604
人生大事,7.3,刘江江,"朱一龙, 杨恩又, 王戈, 刘陆, 罗京民",35460157
追龙,7.2,"王晶, 关智耀","甄子丹, 刘德华, 姜皓文, 郑则仕, 刘浩龙",26425068
1917,8.5,萨姆·门德斯,"乔治·麦凯, 迪恩-查尔斯·查普曼, 科林·费尔斯, 本尼迪克特·康伯巴奇, 马克·斯特朗",30252495
闪光少女,7.2,王冉,"徐璐, 彭昱畅, 刘泳希, 鲁照华, 韩忠羽",26790961
寒战,7.6,"梁乐民, 陆剑青","郭富城, 梁家辉, 李治廷, 彭于晏, 杨采妮",6890730
比利·林恩的中场战事,8.3,李安,"乔·阿尔文, 加内特·赫德兰, 克里斯汀·斯图尔特, 范·迪塞尔, 李淳",25983044
无名,6.7,程耳,"梁朝伟, 王一博, 周迅, 黄磊, 森博之",35372742
火锅英雄,7.2,杨庆,"陈坤, 白百何, 秦昊, 喻恩泰, 王彦霖",25662327
匆匆那年,5.6,张一白,"彭于晏, 倪妮, 郑恺, 魏晨, 张子萱",25779218
攀登者,6.0,李仁港,"吴京, 章子怡, 井柏然, 张译, 胡歌",30413052
私人订制,5.9,冯小刚,"葛优, 白百何, 李小璐, 郑恺, 范伟",10605978
罗曼蒂克消亡史,7.7,程耳,"葛优, 章子怡, 浅野忠信, 杜淳, 钟欣潼",24751763
碟中谍5：神秘国度,7.9,克里斯托弗·麦奎里,"汤姆·克鲁斯, 杰瑞米·雷纳, 丽贝卡·弗格森, 西蒙·佩吉, 文·瑞姆斯",10727641
新警察故事,7.8,陈木胜,"成龙, 谢霆锋, 杨采妮, 蔡卓妍, 吴彦祖",1306160
变形金刚5：最后的骑士,4.9,迈克尔·贝,"马克·沃尔伯格, 安东尼·霍普金斯, 乔什·杜哈明, 劳拉·哈德克, 桑地亚哥·卡布瑞拉",25824686
大护法,7.8,不思凡,"小连杀, 图特哈蒙, 金士杰, 幽舞越山, 李佳怡",26811587
百鸟朝凤,8.3,吴天明,"陶泽如, 李岷城, 嵇波, 胡先煦, 郑伟",10831445
风中有朵雨做的云,7.2,娄烨,"井柏然, 宋佳, 马思纯, 秦昊, 陈妍希",26728669
小时代3：刺金时代,4.7,郭敬明,"杨幂, 柯震东, 郭采洁, 陈学冬, 郭碧婷",24847340
小时代2：青木时代,5.1,郭敬明,"杨幂, 柯震东, 郭采洁, 凤小岳, 郭碧婷",24721493
隐入尘烟,8.4,李睿珺,"武仁林, 海清, 杨光锐, 赵登平, 王彩兰",35131346
可可西里,8.9,陆川,"多布杰, 张垒, 奇道, 赵雪莹, 马占林",1308857
北京遇上西雅图之不二情书,6.4,薛晓路,"汤唯, 吴秀波, 惠英红, 秦沛, 吴彦姝",26322792
西游伏妖篇,5.5,徐克,"林更新, 姚晨, 林允, 包贝尔, 巴特尔",25801066
同桌的妳,6.0,郭帆,"周冬雨, 林更新, 隋凯, 王啸坤, 龚格尔",24843198
山楂树之恋,7.1,张艺谋,"周冬雨, 窦骁, 奚美娟, 李雪健, 姜瑞佳",4151110
十二公民,8.4,徐昂,"何冰, 韩童生, 钱波, 赵龙豪, 米铁增",24875534
无间道3：终极无间,8.2,"刘伟强, 麦兆辉","梁朝伟, 刘德华, 黎明, 陈道明, 陈慧琳",1307694
我的姐姐,6.9,殷若昕,"张子枫, 肖央, 朱媛媛, 段博文, 梁靖康",35158160
雄狮少年,8.3,孙海鹏,"大昕, 大雄, 郭皓, 李盟, 李佳思",35144311
白日焰火,7.6,刁亦男,"廖凡, 桂纶镁, 王学兵, 王景春, 余皑磊",21941804
小时代4：灵魂尽头,5.0,郭敬明,"杨幂, 郭采洁, 陈学冬, 郭碧婷, 谢依霖",24847343
悟空传,5.1,郭子健,"彭于晏, 倪妮, 余文乐, 俞飞鸿, 欧豪",26035290
“大”人物,6.4,五百,"王千源, 包贝尔, 王迅, 王砚辉, 屈菁菁",26816076
巨齿鲨,5.7,乔·德特杜巴,"杰森·斯坦森, 李冰冰, 雷恩·威尔森, 鲁比·罗丝, 赵文瑄",26426194
人潮汹涌,6.5,饶晓志,"刘德华, 肖央, 万茜, 程怡, 黄小蕾",34880302
神话,6.9,唐季礼,"成龙, 金喜善, 梁家辉, 玛丽卡·沙拉瓦特, 孙周",1307023
环太平洋：雷霆再起,5.4,斯蒂文·S·迪奈特,"约翰·博耶加, 卡莉·史派妮, 斯科特·伊斯特伍德, 景甜, 伯恩·戈曼",20435622
疯狂的赛车,8.3,宁浩,"黄渤, 戎祥, 九孔, 徐峥, 王双宝",2124703
归来,8.1,张艺谋,"陈道明, 巩俐, 张慧雯, 郭涛, 刘佩琦",21352814
我是证人,6.3,安相勋,"杨幂, 鹿晗, 王景春, 朱亚文, 刘芮麟",26313973
非诚勿扰2,6.6,冯小刚,"葛优, 舒淇, 孙红雷, 姚晨, 安以轩",4271894
恶棍天使,4.4,"俞白眉, 邓超","邓超, 孙俪, 代乐乐, 梁超, 杨新鸣",26290365
解忧杂货店,5.0,韩杰,"王俊凯, 迪丽热巴, 董子健, 李鸿其, 董李无忧",26654146
怒火·重案,7.2,陈木胜,"甄子丹, 谢霆锋, 秦岚, 谭耀文, 黄德斌",30174085
全民目击,7.8,非行,"孙红雷, 余男, 郭富城, 邓家佳, 赵立新",11510624
魔兽,7.7,邓肯·琼斯,"崔维斯·费米尔, 托比·凯贝尔, 宝拉·巴顿, 吴彦祖, 本·福斯特",2131940
钢的琴,8.5,张猛,"王千源, 秦海璐, 张申英, 刘谦, 罗二羊",4876722
厨子戏子痞子,7.2,管虎,"刘烨, 张涵予, 黄渤, 田中千绘, 梁静",6011806
地久天长,8.0,王小帅,"王景春, 咏梅, 齐溪, 王源, 杜江",26715636
叶问4：完结篇,6.8,叶伟信,"甄子丹, 吴樾, 吴建豪, 斯科特·阿金斯, 李宛妲",26885074
云图,8.1,"汤姆·提克威, 拉娜·沃卓斯基, 莉莉·沃卓斯基","汤姆·汉克斯, 哈莉·贝瑞, 吉姆·布劳德本特, 雨果·维文, 吉姆·斯特吉斯",3530403
沐浴之王,6.0,易小星,"彭昱畅, 乔杉, 卜冠今, 苇青, 金世佳",34894753
江湖儿女,7.6,贾樟柯,"赵涛, 廖凡, 徐峥, 梁嘉艳, 刁亦男",26972258
