$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1306160$新警察故事$安蓝·怪伯爵𓆝𓆟𓆜$2009-08-29 22:03:19$667$看过的吴彦祖的片里形象最好的一部。ps，惊现孙淳
104$1306160$新警察故事$WSi$2014-02-09 19:01:36$0$香港回归后 陈警官从逗比变成苦逼。就连富二代们也纷纷变成金枪银枪小霸王了
105$1306160$新警察故事$Vincent$2007-06-24 19:15:30$4$力不从心的港片
106$1306160$新警察故事$国产盘丝大仙$2010-01-26 23:59:14$2$吴彦祖的太子装束。
107$1306160$新警察故事$还没想好叫什么$2011-10-31 17:01:46$0$还行吧
108$1306160$新警察故事$闲情小娜$2008-06-21 03:26:50$1$阿祖的表演很出彩，是一次表演的新进程。正义一直存在，不论是什么时代。又一次的教育失败，吼叫也是发泄，但已经回不了头了，悲惨的代价总需要偿还。
109$1306160$新警察故事$cozylee有好运$2010-04-25 12:23:16$0$恩，可以一看的片子
110$1306160$新警察故事$懒散酱$2011-06-11 15:10:05$1$吴彦祖还是不错的！！
111$1306160$新警察故事$Leeyoung$2014-03-25 10:33:08$0$啊~里面的每一个反派我都喜欢~
112$1306160$新警察故事$冷鸢$2012-06-18 14:00:20$0$吴彦祖... 
113$1306160$新警察故事$仓郡$2009-06-29 13:45:52$0$死人...
114$1306160$新警察故事$vii07$2009-02-04 22:31:46$0$学校看的电影总是感觉很美好
115$1306160$新警察故事$回力猴子$2010-01-05 20:03:38$0$模式化
116$1306160$新警察故事$我爱德芙$2009-10-05 11:54:14$0$看到了屋顶，很漂亮
117$1306160$新警察故事$sosovipp$2023-02-27 20:09:24$0$部分片段不错
118$1306160$新警察故事$PAND4$2011-07-08 10:59:43$0$老了！
119$1306160$新警察故事$Forgot Limited$2011-07-02 13:47:39$0$和2046一个档期，后悔没看那个。
120$1306160$新警察故事$绿豆酥$2017-12-22 07:59:38$5$重温，挺不错的。
121$1306160$新警察故事$雲無憂$2008-05-27 08:34:46$1$片子有了一些好莱坞的影子，可喜可贺
122$1306160$新警察故事$俩角形$2011-09-19 18:12:56$1$反角的身份很喜感，但没感觉。 吴彦祖确实亮点
123$1306160$新警察故事$闲人$2010-05-15 01:21:21$1$成龙的回归之作
124$1306160$新警察故事$Panda的影音$2012-08-07 03:26:25$2$曾经在电影频道看的。感觉自己不太喜欢这个残酷的新警察故事。
125$1306160$新警察故事$AdultChild°$2009-02-10 15:16:47$1$蔡卓妍是小天使。
126$1306160$新警察故事$小野山猪$2012-03-14 23:01:00$0$龙哥老已
127$1306160$新警察故事$刘善甫$2013-12-20 17:38:44$0$不明白为什么分不高 但是觉得还行啊
128$1306160$新警察故事$###疼$2011-05-22 16:39:27$0$香港特色动作电影。陈木胜导演又一经典作品。。谢霆锋动作越来越向向成龙发展了 
129$1306160$新警察故事$晨晨的五月天空$2008-08-14 12:57:30$0$帅气之祖
130$1306160$新警察故事$Queenside$2017-03-12 14:18:58$2$很棒 其中很多动作特技真的很炫 不过就是一般人不要尝试 吴彦祖演的很好 最后正义战胜邪恶 不过还是感觉有点心痛⋯⋯可能是因为男神死了吧⋯⋯
131$1306160$新警察故事$听琴思凡$2010-09-07 01:47:54$0$故事还是很完整的 喜欢吴彦祖和谢霆锋啊 哈哈哈 我好花痴。。。
132$1306160$新警察故事$阿翔需要美少男解毒！$2008-10-22 01:00:04$0$还好。
133$1306160$新警察故事$Crazy Wen$2010-03-10 13:53:47$0$还行
