$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
50$1859036$宝贝计划$赱馬觀♣$2020-05-01 20:29:27$4$宝贝最后冠名“李家成”，究竟是未来看好前途无量，还是结合剧情回溯另有深意？你看：宝贝的妈妈已心有所属，前任男友红建邦无理纠缠，子亡父来又是大陆名咖饰演的富豪，矛盾纠葛轨迹暗合你港百年变迁难以割舍的恋英情结……
51$1859036$宝贝计划$bay135$2010-12-26 01:30:17$1$三星半，出色的商业片，可能这部电影没有什么让人印象深刻的地方，但是你会记住电影里的温馨，里面可爱的小baby，对于现在的中国商业电影这就做的够好了。
52$1859036$宝贝计划$grace-xhu$2018-03-25 14:44:25$13$老早就看过的一部电影，当时就觉得小宝宝好可爱，各种惊险刺激的事情发生，也不会影响他。
53$1859036$宝贝计划$Kiddie$2010-05-05 23:33:10$0$宝贝计划里的宝贝长大了，没有那么小小的时候可爱了
54$1859036$宝贝计划$追剧小贫嘴$2011-10-14 23:14:45$1$片子很好看也很好笑。那个小Baby真是可爱到爆。
55$1859036$宝贝计划$张无情$2013-04-29 12:46:35$0$陈宝国最后的出场是亮点。成龙老了，动作有点不连贯了，打得也不想以前那样拼命。
56$1859036$宝贝计划$媛媛$2018-07-12 12:21:38$5$小宝宝好萌好可爱，两个男人与一个孩子的故事，哈哈，挺搞笑的哦。看了两遍！
57$1859036$宝贝计划$ly莉$2008-02-06 11:39:41$0$Awww, the baby's too cute!
58$1859036$宝贝计划$谁家今夜扁舟子$2018-06-24 10:01:31$4$电影频道一播必定会停下来看的电影，看多少遍都不腻。
59$1859036$宝贝计划$闲情小娜$2008-06-21 03:21:05$2$原本是恶性的绑架事件，却转化成了温情的故事。人心本向善，不论是好人还是坏人。总是执迷不悟的人，上天会给他机会让他反省，如果没有把握住机会，后悔也是枉然。可爱的小宝宝，感化了众人的心。
60$1859036$宝贝计划$narcissus$2008-06-05 16:36:19$1$"趕上后半段，當時是看明白了，現在忘得也差不多了...
記得最后哭了。
古天樂說：媽媽在這里~~
里面的歌是成龍三人唱得，聽了很長一段時間。
里面的寶寶太可愛了~"
61$1859036$宝贝计划$萌 . 李$2011-11-16 17:40:41$1$那个小孩太可爱了！小时候觉得他是全天下最可爱的小孩。
62$1859036$宝贝计划$吃瓜少年$2017-05-15 19:46:17$6$宝宝实在太可爱惹，一星送给他
63$1859036$宝贝计划$懒散酱$2011-06-11 15:07:27$0$两个男人都没有那小孩可爱，还记得当时看它是内心的激情澎湃！！！
64$1859036$宝贝计划$橙子换马甲$2021-01-16 22:30:43$0$被微博上的baby视频勾引过来，情节是没啥好说的，神经病反派和圣母天使都什么鬼，但因为baby确实太可爱，这个baby让坏人改邪归正的设定就可以成立了。。几百年没看成龙片，也不知道这个在动作设计上算啥水平，单独看还是挺可爱的，就是元彪居然都没啥机会发挥。。？古天乐一如既往对男对女都绝缘体，但也许也是这个缘故沟女也不显得猥琐。。成龙的老爹挺好的，普通话夹广东话夹得十分感人哈哈哈，豆瓣看了一下确实是老前辈了。。
