$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
52$3734112$风声$私享史$2009-11-05 14:14:51$27$编剧的问题是，前面一直虚张声势，最后一刻钟哗啦一下来个剧情大揭密。导演的问题是，制造悬疑紧张的气氛就只会不停地晃镜头和加塞些很重的配乐么。总之，讲故事的水平有限。唯一可赞的是巧妙地包装了一种爱国主义。【讲堂】
53$3734112$风声$冰红深蓝$2020-01-14 09:54:14$41$非常惊艳的谍战片，十年前的国庆档票房冠军，放到今天看仍然是国产类型片中的绝佳之作。节奏紧凑，悬疑味十足，反转猜不到，镜头与配乐也都很出彩。最厉害的还是所有演员哪怕是小配角都发挥出了精到的演技，李冰冰的金马影后实至名归，她对李宁玉性格与神情的承转变化拿捏得令人叹服。影片中还有大胆的非常规酷刑展现，以及多种性暗示，无论是百合还是搅基都暗藏期间。结尾相当动人，以这种方式传达主旋律精神才是最深入人心的。（8.5/10）
54$3734112$风声$metoo_0825$2018-01-19 13:46:06$92$周迅和李冰冰的那场对手戏真的太赞了！
55$3734112$风声$默默的蘑菇$2016-12-15 14:48:47$62$周迅比较出彩。黄晓明也很帅，唯一一部看了黄晓明装逼没犯尴尬癌的片。
56$3734112$风声$蓝色啄木鸟$2017-03-06 08:31:58$34$很喜欢谍战题材，不得不说是个好片子，情节紧凑，剧情颠荡起伏，演员们表演也到位，但酷刑太多，有的情节不敢看，感觉超疼(⊙o⊙)
57$3734112$风声$残零落花$2018-03-26 13:03:00$25$有突破，赞
58$3734112$风声$谁家今夜扁舟子$2017-12-07 21:59:02$89$几个月前看的吧，当时是看了个剪辑，觉得张涵予特别MAN，去看的这部。老实说，个人不喜欢血腥啊谍战啊这种片，但是这部电影，剧本写得太棒了，演员演得一个比一个出彩，这部电影是用心做出来的。时隔几月，仍能记住电影情节，记得里面每一个个性鲜明的人物。最最喜欢张涵予大叔😊
59$3734112$风声$迎风追$2009-10-01 22:32:20$140$"麦家：《风声》
1.这才叫做爱国主义电影！
2.我倍受感动，影片结束时在影院里鼓起了掌；
3.干什么行业都得要专业。你看看人家做特务的。"
60$3734112$风声$已注销$2018-03-21 10:55:16$99$大咖云集的一部电影，一开始以为李冰冰和周迅都是共，看到最后才相信李冰冰不是2333。周迅的眼睛不得不说太有灵气了，李冰冰演技也很好。
61$3734112$风声$芬尼根岛彻夜祭$2021-03-05 12:11:46$97$2009年对此片吹毛求疵的影评人们没有想到，接下来十年的大陆电影连一部接近《风声》的商业类型片都拍不出来。
62$3734112$风声$苏幼$2017-04-04 06:47:56$55$看完越来越烂的各种国产大片，蓦然觉得风声的可贵，简直就是十年国产大片的巅峰之作～
63$3734112$风声$颜饭yy$2018-03-15 23:37:29$76$只因名族已到存亡之际，我辈只能奋不顾身。这是一场压抑的心理战，没有露骨的战争场面却让人深刻感受到先辈们的精神。冰冰和迅哥飙戏看得特别震撼。
64$3734112$风声$Feline$2009-09-29 23:55:22$37$多么神奇的《空城计》啊~~~
65$3734112$风声$米粒$2009-10-11 13:07:11$26$好看！真人版三国杀……
66$3734112$风声$徐若风$2014-08-02 17:22:38$23$中国悬疑类型片的一大突破。群戏的力量很足，没人掉链子。/2017暑期二刷，暗黑主旋律。
67$3734112$风声$斑斑点点$2017-03-08 22:08:58$21$算不上完美的商业片。但是这是商业片的里程碑。影片的整体水平可圈可点。
68$3734112$风声$芹泽虾饺菌$2009-09-22 13:01:13$20$比好姐妹更好一点，比大多数国产电影更好一点，比小说好太多了我说~
69$3734112$风声$东方既白$2018-03-16 12:05:25$51$"这部电影里，人人都是演技派。
ps.原著情节更棒，可读。"
70$3734112$风声$方枪枪$2009-11-06 21:56:48$35$风声之后，世间再无传奇！好的剧本加好的演员成就的经典！！
71$3734112$风声$糖葫芦$2022-03-20 22:52:25$60$看了有三四次了，依然会被谁是老枪，老枪怎么把情报传出去感到惶惑，重新探秘，依然会被革命者的共产主义信仰打动。身在炼狱却有金子般的信仰，我辈身在和平时代，信仰却被无限稀释，模糊不清。很是感慨。
72$3734112$风声$默语生$2009-09-30 00:16:31$42$"不知道是改编还是原著本身的硬伤
谜团和花招都太低幼了，不光地下组织傻，连敌特都不怎么聪明……"
73$3734112$风声$伍德与夏洛蒂$2009-10-01 00:02:02$139$特TM值回票价，终于有人拍了部有剧情可言的电影，虽然有点柯南有点羔羊有点昆丁有点等等，R级刑法+SM+大爱女同+柯南推理=好故事啊好片子。BTW，冰冰与小黄演技有进步，涵予兄纯影帝了，迅姐儿等人发挥正常不失众望。赞一个。都去看吧~！
74$3734112$风声$塞腮$2011-03-30 13:36:16$52$顾小梦没有和李宁玉在一起 我再也不相信爱情了
75$3734112$风声$奥比王$2021-05-16 21:21:44$36$当年看完没评分，今天看完《悬崖之上》后，补评分一下。谍战，不是枪战。风声这才叫谍战。
76$3734112$风声$锦鲤$2017-01-13 15:28:36$27$全员都很出彩，迅哥又美又浪，始终无法get到李冰冰
77$3734112$风声$頋丿$2023-01-05 18:03:26$17$生不逢时，放今天绝对是现象级的，比悬崖之上强的不是一星半点，这么多年不进反退真是悲哀
78$3734112$风声$茅十八*^_^*$2017-04-27 21:34:37$47$出人意料的是苏有朋，这部剧我真正认识了他的演技
79$3734112$风声$老人家$2018-02-02 10:32:57$48$周迅和李冰冰的演技不错👍，特别是最后一段画外音很感人！希望国人永远清醒
80$3734112$风声$、佚$2018-05-05 23:04:08$19$剧情挺紧的，我的最赞给李冰冰。感叹一下摩斯密码真厉害。
81$3734112$风声$大奇特(Grinch)$2009-09-29 23:02:11$12$剧本好 群戏出彩
82$3734112$风声$小森林$2017-02-03 20:00:10$37$教主不那么热衷于杰克苏霸道总裁之前演技还是不错的，全员演技在线，剧情也好，李冰冰好美，最后迅哥的台词泪目
83$3734112$风声$迦南Canaan$2013-06-11 23:37:03$20$16年6月末尾，重阅，仍无法掩饰对本片的偏爱，各方各面都特别成熟并且稳健，基本上每个人演技全都可圈可点，气氛抓得住观众，收尾极其大气，情绪传达到位，我完全感受到了，动人。重阅觉得周迅仍极好，但李冰冰也不愧这个影后。7年过后还难有谍战片或悬疑片可以匹敌，足见其地位。
84$3734112$风声$海盟洋溢$2021-06-19 05:17:23$22$看到一半已然猜出老枪，特务汉奸什么时候有过这么硬的骨头，抗住那么重的大刑。我看都直起鸡皮疙瘩，致敬为革命而献身的英雄。
85$3734112$风声$妖灵妖$2009-10-03 18:40:53$9$漏洞太多了，高群书还行，陈国富很bt
86$3734112$风声$shininglove$2011-08-27 23:40:20$11$近年来少有的国产佳作，补遗。
87$3734112$风声$大志的小耳朵$2017-05-05 21:09:25$12$好看，周迅李冰冰苏有朋表现都很棒，画面很有感觉，情节很吸引人。
88$3734112$风声$沉歌$2009-12-13 17:55:05$14$惊叹，每一秒都屏息敛气。
89$3734112$风声$狷介有乌青$2009-12-19 17:06:31$19$悬疑B级重口味（缺点血腥）革命谍战片。周迅依旧锋芒灼灼，苏有朋是惊喜，在康熙来了里他还唱了被删减掉的昆曲游园惊梦，唱的真的不错，很用心了。（我要看完整版，完整版，完整版！）
90$3734112$风声$乾$2021-05-10 16:35:30$44$很多人说觉得悬崖之上比不上风声，但我个人觉得悬崖之上更好看。。。
91$3734112$风声$Kazuha$2017-04-27 22:38:13$19$国产谍战片经典之最
92$3734112$风声$游牧人·芳汀$2010-10-30 04:18:20$14$气氛渲染得不错，但是2个老鬼的谜底显然并不能完全令人信服。每一位演员的演出均可圈可点，尤其是苏有朋和黄晓明打破固定表演牺牲形象值得称赞。顾晓梦的发挥不是一般的好为什么华谊仍然固执的力捧李宁玉？
93$3734112$风声$包子$2009-11-10 17:42:29$18$SM可以因为太主旋律而不被禁 
94$3734112$风声$原来是西门大嫂$2009-10-01 23:39:12$21$色戒后就很久没在影院看这么伤的电影了……老鬼是保存了晚节的王佳芝。但是，用心去做和用心去演的结果就是一部难得动人的SM主旋律啊~
95$3734112$风声$梦梦梦梦$2017-04-04 08:55:55$10$是好电影，但是太过于血腥，用刑太残忍，没看完，不敢看了。
96$3734112$风声$居无间$2020-07-22 21:52:51$17$2020年7月21日，影院复工后第一次进影院。纪念一下。影片整体的水准挺高。一座孤岛，几个人物，接连不断的施虐和审讯。两个小时，没觉得漫长。情节展开与节奏把控都相当纯熟。视听语言也有亮点。重要的密文经手戏，一镜到底，一气呵成；监视视角类似于《后窗》；到了最后，景别越来越小，大特写接对大特写，对峙的焦灼感与紧张感几乎溢出银幕。至于表演，最喜欢王志文。回头看，黄晓明的表演也非常惊喜，他真的适合阴狠冷峻那类角色。
97$3734112$风声$新力$2023-02-11 20:07:56$20$多年央六回看，还是会泪流满面
98$3734112$风声$第五季$2021-12-21 13:03:16$11$"可能是期待过高，在那个中国商业电影一片稀烂的时代能拿到8分以上的类型片，总觉得不简单。但实际没有那么好。
视听和氛围很不错，但故事比较简单，被怀疑的五个人几乎没怎么针锋相对过，最多就是互相看不顺眼地对骂几句，大部分时间都过着上流生活，悠然自得。几个配角甚至连功能性都达不到，苏有朋和英达纯粹就是走马观花凑人数的。
李冰冰男友和黄晓明饰演的日本人，整个背景故事都存在于别人的台词中。而且为什么要以一个日本人为主视角展现他的困境，其实也让人摸不着头脑。
间谍的部分也达不到精彩的程度。为什么一个富家小姐成为了地下党，完全没有交代，导致后来的牺牲煽情缺乏说服力。
现在看来8.3分的评价，大概是当时抗日片十分刻板，商业片尚未成熟时，拍出了一部上流社会背景的大尺度类型片，但其实它所有的元素都只是蜻蜓点水。"
99$3734112$风声$绿野崎川$2022-12-30 18:17:55$22$“只因民族已到存亡之际，我辈只能奋不顾身。”这句台词足以入选年度飙泪经典。
100$3734112$风声$居无间$2020-07-22 21:52:51$17$2020年7月21日，影院复工后第一次进影院。纪念一下。影片整体的水准挺高。一座孤岛，几个人物，接连不断的施虐和审讯。两个小时，没觉得漫长。情节展开与节奏把控都相当纯熟。视听语言也有亮点。重要的密文经手戏，一镜到底，一气呵成；监视视角类似于《后窗》；到了最后，景别越来越小，大特写接对大特写，对峙的焦灼感与紧张感几乎溢出银幕。至于表演，最喜欢王志文。回头看，黄晓明的表演也非常惊喜，他真的适合阴狠冷峻那类角色。
101$3734112$风声$岛上的夏奈$2010-12-27 22:55:07$11$2009年最好的国产片。
102$3734112$风声$托尼·王大拿$2013-08-06 03:35:11$7$在一坨又一坨的国产烂片中看到这样的惊喜，是一种看得见的希望，当然，去掉那末尾令人起鸡皮疙瘩的升华部分我会更欣喜
103$3734112$风声$思考的猫$2009-12-06 22:38:06$7$开场、前奏很漂亮，悬疑感很浓，中后段走弱，最后的收尾又有不错的解密，总体看，在国产烂片借大庆风起云涌之际，这片算是相当给国产品争气的佳作。
104$3734112$风声$塑料呓语$2022-04-24 00:56:32$18$"顾晓梦绳刑那段给我留下巨大巨大巨大巨大的阴影…救大命 看得腿都软了
什么叫身心摧残啊 这就是
这意志力绝了"
105$3734112$风声$甜椒Oli$2017-04-03 21:25:38$26$风声雷动 血腥暴力 草木皆兵 汗毛竖起
106$3734112$风声$媛媛$2018-06-02 20:55:09$11$故事情节很紧凑，可以说是强强联手了，有点血腥。总之值得一看！
107$3734112$风声$汪金卫$2009-11-08 16:43:02$12$等出了完整3小时版DVD我重新打分
108$3734112$风声$小岩井$2013-01-28 21:34:43$15$周迅成精了...演员个个都很赞，刑具个个毛骨悚然，不过还是小说精彩啊
109$3734112$风声$elimu$2009-10-04 20:03:38$12$我那儿谁的老底都有，包括你的。
110$3734112$风声$悲辛無盡獨行夜$2020-07-26 14:34:05$8$2020.7.26影院重温。心理学老师曰过，看片头演员名字出场顺序就晓得谁是老鬼，第一个最重要，今后还能不能好愉快地看悬疑片了，氛围胜于剧情，抓鬼过程未免过于敷衍没劲，不禁感叹，女人才不需要男人，百合大法万岁，大误，明明是如此纯洁的社会主义姐妹情，
111$3734112$风声$暴富的女孩是我$2017-04-04 08:39:21$6$确实还不错
112$3734112$风声$zxc9668$2021-02-24 20:42:45$5$疫情后电影院观看，感觉现在看蛮一般啊，气氛到了，但是紧张度并没有多高，话说黄晓明怎么演我都想笑
113$3734112$风声$ᥫ᭡້໌$2017-03-09 10:52:05$11$血腥暴力，演员的演技都很不错，小明哥在这里也没掉链子，最让我惊艳的是周迅和李冰冰。
114$3734112$风声$不予置评$2012-05-24 00:41:13$5$暴风雪山庄的味道
