$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
85$1307023$神话$何处莫凭栏$2022-09-03 16:38:09$9$"最美的不是金喜善，也不是白冰，而是玉漱。
等待的不是成龙，也不是胡歌，而是蒙毅。

故事的开头，玉漱公主坠下万丈悬崖，蒙毅将军毫不犹豫，飞身相救。
故事的结尾，玉漱公主坠落空中皇陵，杰克纵然有千万心绪，最终只是折返，的确不是同一个人了。

“你不是蒙毅。我不走，我要等蒙毅回来。”
这便是神话。"
86$1307023$神话$谋杀游戏机$2011-01-30 21:47:10$2$央六放无数遍...印度那段还是挺逗的，一动感情就完了。当年的歌唱遍大街小巷
87$1307023$神话$不浪的老虎伯伯$2011-01-20 21:04:23$0$还行吧，就是有点虎头蛇尾了。3星冲着金喜善的舞蹈和飞天...
88$1307023$神话$大河马$2010-08-31 21:55:43$0$记得是在学校阶梯教室看的，挺好的电影
89$1307023$神话$卡卡鱼毛球一世$2009-07-21 01:57:15$0$酒舞  记得是李昂忽悠了半天历史老师才给放的  初中那会儿为了看片是什么课就扯什么话题 硬说这片子是历史片。。。
90$1307023$神话$嬉笑怒骂$2019-04-02 03:08:24$16$你们这些后来者，打分的时候，也稍微考虑一下年代吧，这剧情设定，在当年可不狗血啊，反而让人眼前一亮，演员演技，动作特效，背景音乐均在线，所以6点几分的低分，你们怎么打出来的。。。
91$1307023$神话$安狄$2011-01-19 15:56:35$1$穿的不够彻底，应该多多借鉴网络小说啊。
92$1307023$神话$Mr。東$2012-06-18 16:38:50$3$说实话  金善喜跳舞给成龙看的那一幕  俺感动了
93$1307023$神话$Chuck$2011-08-05 19:11:42$0$金喜善美死了~~~真正的仙女應該是這樣的吧~❤___❤
94$1307023$神话$Vince♫$2009-01-22 21:40:11$0$多年以前，登陆月球，手机。也是神话
95$1307023$神话$有心打扰$2010-04-19 12:39:20$4$当年还挺喜欢主题曲。
96$1307023$神话$辉少$2009-03-11 12:45:08$0$我喜欢始皇墓里面最初的几个镜头,但成龙和韩国棒子演情侣也太囧了...倒是主题歌还不错!
97$1307023$神话$Der Vorname$2013-12-28 00:01:41$2$这样一部剧情不断脱节的电影我还是被它的配乐和场面打动，你可以看出巨额的投资，再有成龙的喜剧动作元素，所以就算女主全程一个表情演下来，进度拖拉且情节虚假也值得原谅。成龙的敬业拼命令人折服，但这样的幕后强大场面恢弘配乐精美充满诚意的“土豪”电影却没有规划好对的演员和脚本着实令人遗憾。
98$1307023$神话$-VeronicaWooo-$2011-02-13 10:53:42$1$一般。成龙大哥装嫩严重啊！@Home
