$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
114$25845392$长津湖$一人长途跋涉$2021-09-29 18:33:07$1257$作为东北最北边的孩子最知道那种零下40度的天气有多冷，不夸张会冷到钻心和刺骨，那些被冻僵而牺牲的志愿军不应该被忘记，他们也是人民的英雄，和平年代来之不易，我们这一代太幸福了。（附一句主旋律电影拍成这样还是挺爱看的，虽然坐的腰疼 ：）
115$25845392$长津湖$江湖再见$2021-09-30 23:09:38$470$"岂曰无声
山河既名"
116$25845392$长津湖$捞月亮乐$2021-10-09 18:35:34$125$那几个外国人的台词真！的！很！差！！！
117$25845392$长津湖$。$2021-10-03 00:43:48$161$接受爱国主义教育 但描写长津湖的战役拍摄的太匮乏了 还没有一开始炸通信塔那一段精彩 感觉重点有点没抓对  最煽情的地方莫过于胡军饰演的雷爹牺牲和冻死的战士们了吧
118$25845392$长津湖$口水多过浪花$2021-09-28 07:11:57$196$"《长津湖》全片时长近3个小时，全篇都是讲战争，美帝主义万恶不赦。

攻占美军司令部后，吴京阻止易烊千玺朝美军官开最后一枪，展现了志愿军高尚的人道主义精神，片尾结束前，美国军队看到冻死的志愿军依然保留端正的卧姿，向他们肃然起敬，又变相展现了全世界军人面对战争的无奈。

但讲故事手法太生硬直白。没有《八佰》《敦刻尔克》让人深思，也没有《悬崖之上》扣人心弦，特别是最后欧豪客串的太突然，明显是来送人头。说是耗资13亿大制作，但顶多在特效上算是高配版《金刚川》。题材挺好，但编剧、剪辑还可以做到更好。

整部电影最大赢家是易烊千玺，又一次让人眼前一亮。"
119$25845392$长津湖$词$2021-09-30 20:32:04$716$这导演绝了！陈凯歌＋徐克 演员也是实力派 都是有演技有拼劲的 电影值得一看
120$25845392$长津湖$鲸虱$2021-10-03 09:04:39$191$样板戏吧
121$25845392$长津湖$二十四桥明月夜$2021-10-02 12:30:13$199$剧情拖沓，煽情部分较多
122$25845392$长津湖$周子珀$2021-09-29 12:40:38$125$3.5 开头实在是太冗长了，结尾也没有落回吴京和易烊千玺身上，有头没尾。战争部分节奏紧张，两场大型的爆破对抗戏份有很多细节展现，中间缓冲过渡做得也比较明显，但就凸显出本来没几句台词，一说台词根本不是在角色对话，而是说给银幕外的第三者听的……或许等等第二部
123$25845392$长津湖$艾里迪布斯$2021-09-30 15:16:58$383$三星给演员的演技和配乐。接近三个小时的剧情太散碎，有些人物甚至都不怎么刻画就便当了，终究还是商业片。特效也太尬了，美国空军那部分蚌埠住了。唯一的惊喜就是音乐了，与大部分剧情相得益彰，更好的感染观众
124$25845392$长津湖$我想改个昵称$2021-09-30 11:29:13$1044$25号有幸看了点映，想了这么多天发现确实不知道怎么用语言正确的去描述自己的感受。（因为是个语言匮乏的人）抗美援朝战役是只存在在我脑子里一个词，而长津湖把抗美援朝立体化在我脑子里了。谁是最可爱的人？这部电影告诉了我们答案，他不是一个具体的人，而是我们的志愿军们。影片全程高能，战争场面很刺激宏伟，当然也打的很艰辛。（现实应该更残酷）影片结束的时候，全场观众自发的掌声，让我久久无法平息。
125$25845392$长津湖$糊乱的张贴$2021-09-30 09:23:27$832$史诗级战争片就需要大的投资，才能撑得起大的场面与史诗感，《长津湖》就是一部史诗级战争片，让人有一种置身战场的感觉，每颗子弹都仿佛从我身边划过，不自觉的为里面的演员咬紧了牙关，攥紧了拳头，每位演员都可圈可点，将当时中国人的军人气质展露无遗，虽然是战争片，但内核却有另一种反战的思想，这场仗我们为何而打，我们不得不抗美援朝；我们努力将仗打完了未来下一代甚至下下代就不用打仗了。
126$25845392$长津湖$清栀$2021-09-29 00:25:17$2933$战斗场面的紧张激烈，与战友间的逗趣温情交相呼应，平衡了电影节奏，三个小时丝毫不觉得冗长。吴京自身的军人气质与角色十分贴合，千玺诠释的灵动稚气少年，在战争背景下完成了蜕变与成长。角色各具特色，却令人对“七联”这个集体印象深刻。
127$25845392$长津湖$一棵竹子$2021-09-30 17:35:41$130$有这么一群人，他们不是一寸也没挪动过，却是生生克制住了摇晃，守住了自己内心的“阵地”。
128$25845392$长津湖$不正坐标系$2021-09-29 22:43:24$2499$176分钟的历史回顾，场面应该是国产片至今最大的(至少是我看的电影里面是最壮观的)，事件叙述很清晰，人物特色很鲜明，没有以往看的战争电影的那种快节奏或者画面切换过多过乱。这样主旋律的电影请一年一部，当下的和平时光都是前人的牺牲换来的，铭记历史，壮大祖国，是对他们最好的报答。场外提醒，看电影前一定要少喝水和上厕所。可以的话，观影途中请别刷手机，既是对电影对历史的尊重，也是对旁人的尊重。
129$25845392$长津湖$无糖红茶$2021-10-24 15:46:21$282$很棒的作品，三小时一点也不觉得长，差点被douban上这些差评蒙蔽双眼，无论是我军细节，还是美军细节，都彰显了人性的可贵、对生命的尊重以及和平幸福的不易。
130$25845392$长津湖$Ben$2021-09-29 22:50:46$1211$国内投资最大电影，战争场面宏大，同时刻画了角色鲜明的人物，时长3小时，情节紧凑，参演人员众多，片尾人员字幕走了十分钟，没有彩蛋。看得出导演和演员投入了巨大的心力，可以作为战争片的教科书。几个不足的点，第一场战斗过于冗长，打了半了多小时，实际推动的剧情很少，使影片整体重心偏前。二是CG敷衍，细看都是没打磨的模型。电影精彩的主要原因是抗美援朝战争的残酷，实际上当年的战争远比电影展现的残酷，包括物资与美军的差距比电影展现的更大，战术甚至是自杀式的。结尾概括性地草草结束宣告肯定有续集，可能导演想在下一部展现近乎绝望的战场和更惨烈的牺牲。
131$25845392$长津湖$刘南瓜$2021-09-30 17:50:53$650$革命先烈永垂不朽！！！！！
132$25845392$长津湖$SadDogParty$2021-10-02 22:03:45$340$太平洋战争那部剧里，陆战一师的士兵们不理解为什么日本人要来排队进攻。九年后，陆战一师的新兵走了日本人的老路。三个小时冗长的剧情与战斗，晃来晃去的战斗镜头，假的不行的cg，堪称是折磨了。
133$25845392$长津湖$邓安庆$2021-09-30 09:11:10$69$很合格的战争片，虽然长，但却非常紧凑，一直吸引人看下去。几场大的战场群像戏，非常复杂的场景调度做得很到位，兼顾了情节推动和人物刻画，且能够让人沉浸其中，如此多的镜头，却丝毫不感觉到乱。而在人物塑造上，每一个都有鲜明的个性，演员把人物演绎得真实可信，战友牺牲那场戏很动人。真实的长津湖战役是非常残酷的，战争无情，中国军队有保家卫国的正义感在，而美军战争只是战争，他们并不为保卫国土而战，双方心态是相当不同的。本片对于美军，也没有刻意丑化和妖魔化，这点也难得。
134$25845392$长津湖$米兰米兰$2021-10-04 18:32:34$76$其实陈凯歌拍的电影只有两星，三个小时的电影拍的支离破碎。另外两星是中国人民志愿军加成。最可爱的人！
135$25845392$长津湖$啵米$2021-10-03 11:30:03$223$好拖沓，在看得昏昏欲睡的时候就来一阵枪林弹雨，跟朋友吐槽看完我就得聋了晚上做梦估计都是枪声😓时长太长坐到最后腰酸背痛还头疼到泪点就哭不出来了已经
136$25845392$长津湖$小小$2021-09-30 22:27:19$481$"长津湖真的！！！！！
我要好好珍惜现在的安定，可以想象当时肯定比电影还要难很多倍。谢谢先辈们！四字弟弟真的是靠谱的演员，起码还没电影让我失望过。尤其小红花我电影院刷了四遍，手机看了两遍。打算二刷长津湖！三个小时远远不够！！！！ "
137$25845392$长津湖$clover$2021-10-02 17:16:22$289$"三个导演各拍一部分，没有整合好。想展现的线太多，宏观线没有讲清楚，微观各线之间没有很好的联系，看的有点一头雾水。片长过长，且不是很有必要，略显拖沓。优点是没有矮化丑化敌人。
之前有一个评价褒贬不一总体来说中庸之作的战争片，《决战中途岛》，被戏谑为ppt式电影。我觉得能写一个好ppt也不错啊，至少我把来龙去脉前因后果了解的很清楚，算上了一堂历史课吧。这片子哪怕能这样拍呢？看完观众都一头雾水。志愿军赢了没懂为什么赢，志愿军艰难的地方也没懂为什么艰难，美军阿尔蒙德和史密斯部队之间的矛盾也没讲清楚。
"
138$25845392$长津湖$超级毛仔$2021-10-09 11:19:50$92$本来只想三星，多一星给先辈。三个小时讲故事都没讲明白的感觉，剧情流水账得和我朋友圈一样，以为高潮要开始了结果电影结束了。。？？
139$25845392$长津湖$mumudancing$2021-09-30 17:32:34$41$把美军戏份大幅删减，把文戏控制紧凑，把高潮留给冻死在战场的烈士，这部戏可以剪得更好的。
140$25845392$长津湖$H$2021-10-02 21:13:39$175$往往期待值拉满的电影最后剪的都好让人失望……剧情太长且揉杂
141$25845392$长津湖$咸蛋黄公主$2021-09-29 23:29:00$1348$许是因为有至亲曾为抗美援朝老兵一员，观感尤为强烈，心情久久难以平复。虽然是战争片主题 中间也参杂了亲情、友情、生死之交，多次反复地点题军人士兵们为何而战 为谁而战的决心 由衷敬佩所有用血肉身躯为我辈换来和平年代的军人士兵志愿军烈士们 感谢影视作品 能让这段血染冰雪的历史烙入年轻一辈的心中 现今繁华盛世 皆如您们所愿
142$25845392$长津湖$FionaZ$2022-01-01 18:13:17$161$画面太假大空，外籍演员演技也不在线
143$25845392$长津湖$榴莲$2021-09-30 17:50:32$781$太震撼了！真的太震撼了！长津湖绝对是今年电影的王炸！！三个小时一下子过去了一点也不夸张，绝对的全程无尿点！易烊千玺的新兵蛋子成长线太有意思了！太成功了，看完一个小时了我还没缓过来，反正就是长津湖牛逼！
144$25845392$长津湖$时光$2021-10-05 22:18:25$170$太惨烈了，我知道真实的战场只会比这更惨烈，珍惜今天的美好生活，致敬英雄们！
145$25845392$长津湖$金多虾$2021-09-29 21:59:07$75$断裂感是有的，但是几场战争戏非常棒！
146$25845392$长津湖$阿玺$2021-09-30 14:36:18$530$勇士和阵地同在 英雄和日月同辉 
147$25845392$长津湖$浅疏叠影$2021-10-04 08:42:03$164$"不是冲着悲壮的历史现实致敬我及格分都给不到…三小时到底拍了些什么？
真正的长津湖战役放在最后没几分钟，前面手撕美国鬼子拍俩个多小时；
真正的吃土豆、成冰雕等志愿军群像写实的感人事实没拍出心路历程，个人打不死的英雄煽情拍了半天；
充满毅力和智慧的战略过程我没看到，只有一些冲冲冲和开车诱导敌军轰炸的离谱情节；
刻意的台词、造作的情节、琐碎的人物，这是我对本片的总结。"
148$25845392$长津湖$Mr.Candy$2021-09-27 19:45:35$2657$有幸观看首映，且不说抗美援朝精神带来的感动和震撼，单说这部电影本身，观感非常非常爽，此前最为担心将近三个小时的时长会拖沓和让人疲惫，但176分钟看完绝对还是意犹未尽，甚至找不出任何尿点。必须说这是国产电影史上最牛逼的战争片，制作绝对不输任何国际大片。最棒的是战争戏，除了令人震撼的视觉效果和大场面之外，难得将节奏也拍得逻辑条理清楚收放自如，全程紧张握紧小手。陈凯歌把控的人物塑造也非常好，寥寥几笔主配角性格都塑造得非常生动，还有车厢外万里江山的浪漫，没有刻意煽情但赚足了眼泪。各位主演也都稳稳的。
149$25845392$长津湖$zgyndmzsj $2021-10-02 21:13:58$304$煽情无处不在，有点乱
150$25845392$长津湖$唐某人$2021-09-29 22:59:06$408$历史不能被忘记，那些为祖国牺牲的人更不能被忘记！！！ 战争场面太真实了，而现实情况应该比那更惨！
151$25845392$长津湖$洋先森丶$2021-12-23 23:58:45$214$被单位强制着拉去组团看这部电影，虽然电影票报销，但是整个观看过程相当煎熬。居然一个多小时之后才真正开始出发到长津湖？难怪能拍这么冗长？易烊千玺饰演的伍万里三番五次闹脾气，这不是胡闹一样的吗？根本就体现不了一个少年的叛逆特点，反而觉得很尴尬。至于战争戏，能不能层次分明、适可而止？
152$25845392$长津湖$tfgays$2021-10-02 19:38:11$169$战争场面绝了！！！！最后雷爹牺牲的时候哭晕了，还有教员和他儿子我永远的泪点😭总而言之全程无尿点三小时很值得！！！
153$25845392$长津湖$青葉$2021-10-09 10:49:46$99$我方饱满，对方刻板，老表演艺术了
154$25845392$长津湖$咖喱牛排$2021-10-01 23:32:27$286$全程三个小时几乎无尿点，就是有尿意。真的震撼，建议去看IMAX
155$25845392$长津湖$🤯$2021-09-30 06:18:48$1100$山河已无恙，光影敬英雄。如果你看完电影，你就会知道，这绝不是电影宣传的一句空话。无论是和平年代的老兵，还是那场战役的亲历者，都告诉我们，这部电影值得去看。
156$25845392$长津湖$蒙太奇$2021-09-30 11:29:33$769$热血！劲爆！大手笔！
157$25845392$长津湖$我有一个梦境$2021-10-10 13:56:47$167$😭😭😭三个小时电影，才看到半小时就开始哭，宋时轮动员大家奔赴朝鲜的那段，bgm太燃了，看着志愿军身后的“一定要解放台湾”，莫名心酸😭😭😭
158$25845392$长津湖$逢凉$2021-09-26 14:33:06$2556$看了首映之后 真的最直观的感受就是完全担得起是近些年来最好的战争电影 无论是画面还是拍摄以及演员们的演绎 都太真诚了 太好看了 真的很绝 真的感谢革命先烈们的奉献 正因为有了千千万万先烈们的奉献 才换的我们如今和平年代的幸福 志愿军战士们永远都是最可爱的人 所幸如今的繁华盛世没有辜负他们的付出😭
159$25845392$长津湖$blaandbla$2021-10-01 23:32:37$110$寸土寸血的主题，满满当当的战斗，偶一细腻的情感，互不兼容的败笔。
160$25845392$长津湖$Jolie$2021-09-29 22:37:01$973$好看！节奏紧凑，看的都快把携带的流苏包揪秃了。
161$25845392$长津湖$巴納巴斯$2021-10-04 23:14:37$110$把好好的战争片拍成动作片，编排失重，加上年画般的景观渲染、电视剧级别的套路和群演……整体实在无法令人满意。此外，伍万里这条线真的格外累赘突兀，浪费篇幅，充斥槽点，吃力不讨好。当他双手扔手榴弹的场景被慢放，电吉他🎸BGM响起的时候，俺整个人直接愣住……
162$25845392$长津湖$土豆$2022-01-02 10:11:15$80$政治意义大于观影体验
163$25845392$长津湖$午夜乱成章$2021-09-29 22:47:57$100$"最喜欢的两个场景
1. 七连第一次遇到美军在石头上静静趴着
2. 雷公带领炮连小分队在山坡伏击美军增援部队
回头看看是哪一位导演出手。"
164$25845392$长津湖$齐达内$2022-01-15 08:28:33$111$包着爱国教育包装的商业电影，用美国大片的拍摄方式来致敬先烈，细节里没有最可爱的人之精神，道具粗制滥造，3D特效难以描述，主角光环晃瞎人眼，一会儿狙击爆头，一会儿驾驶坦克与敌人装甲部队决斗，整体故事混乱不堪，这类商业电影还是不要消费先烈们的崇高了
165$25845392$长津湖$阿德$2021-09-30 00:29:38$37$作为抗美援朝题材的主旋律作品，完成度远超预期，三位导演的风格很好的融合在一起，节奏控制的也很好，有战争大场面，也有人物情感，三小时意犹未尽。个人最喜欢段奕宏和胡军的表演，胡军最后那一下也最打动我。
166$25845392$长津湖$🐋$2021-09-26 21:05:25$1210$一部对绝大部分观众来说都非常有观影快感的影片。无论是紧凑的剧情、有血有肉的每个战士，还是震撼的场面和音效。从来没觉得电影院的时间过得那么快过，结局依然意犹未尽。四字弟弟饰演的伍万里眼神戏精准，从小混混成长成不屈战士的过程让人动容，不愧是新生代扛把子。吴京胡军发挥精彩，对手戏看点十足。
167$25845392$长津湖$气质小朱$2021-11-16 13:32:58$137$今年一共在电影院看了两部，其中这部是单位要求的，现场签到，三个小时看得昏昏欲睡。
168$25845392$长津湖$蜜桃爱乌龙$2021-10-04 10:13:58$199$"看完以后的最大感觉是，掌握制空权，发展军事非常的重要和必要性。
但是，整部电影造景很假、非常失真，感觉画面饱和度过高。剧情欠缺逻辑，不该煽情的地方硬煽情，全程看完无感…"
169$25845392$长津湖$DissolveSummer$2021-09-30 17:49:23$704$看特效的就别追求剧情，看剧情的就别追求特效。金刚川超大杯，同样是三个导演小组，同样以地点名命名，不同的是故事的时间是线性顺序。全场突突突的战争电影，新意还是有的，易烊千玺空爆的桥段将电影推向高潮，可以说易烊千玺就是电影里最大的亮点，他的演技又进步了，开始转型，层次出来了，自然也有了。不知道是不是陈凯歌导演的作用，全片比金刚川多了许多“人味儿”（浪漫主义镜头）笑点刚好够调剂突突突的战争场面带来的疲劳。
170$25845392$长津湖$道阳弥江$2022-01-16 01:38:27$65$把美军拍的跟傻子一样
171$25845392$长津湖$紫璇宝宝$2021-09-30 19:56:15$509$"期待演员易烊千玺！！
万物皆甜，而你胜过万物✨"
172$25845392$长津湖$🤔$2021-10-01 19:52:41$102$整个故事叙事线拉的太长，前因后果没必要交代得那么清楚。太讲求画面的美感，画面的饱和度高得吓人，颜色艳得出奇，感觉缺少一点纪实感，缺少了影片的纪实感，也缺少了人物的纪实感，对英雄人物的歌颂还是过多了点。既然是史诗片，那还是得要点纪实感的。电脑特效真的太出戏了，还不如一些游戏的cg，可以学习一下《铁雨》投核弹的cg部分。庄内cqb 那场戏节奏不错，但是仿佛在看复仇者联盟
173$25845392$长津湖$玛尼玛尼啦啦啦$2021-10-01 22:42:43$158$家里老人参加过抗美援朝，小时候就常听那时候的故事，听说拍了相关的电影，一直很期待，趁着假期去贡献了一下票房，整场看下来，说实话有点失望，篇幅真的太长了，看下来好累，关键剧情撑不起来这个时长，衔接的不够好，可能是我期望太高了吧。
174$25845392$长津湖$Hilda$2021-09-30 16:01:46$387$不是主旋律里最煽情的，但说是主旋律的NO.1也不为过
175$25845392$长津湖$没有感情吐槽机$2021-10-07 20:34:23$75$"我平时可以说是催泪片水龙头，但这部电影的红色主题植入确实有些强行煽情。有两处个人认为有更好的处理方式：一是雷大爷牺牲，在家乡的民谣中倒在卡车之下已足够催泪，众人赶来送终硬生生将观众泪腺堵断了。让雷大爷孤独地离开，再单独来个七连士兵缅怀雷大爷，把情节推向大高潮，不是更好吗？二是结尾，美军领队面对活活冻死在前线的中国士兵行了一个军人的礼，这个时候如果能黑屏放字幕，本可以给观众一个情绪大释放；可偏偏这个时候美军领队很政治正确地说了一句“我们永远无法战胜他们”，真的很画蛇添足。"
176$25845392$长津湖$秋和$2021-09-30 17:50:35$531$他们永远都是最可爱的人
177$25845392$长津湖$你们的小f$2021-10-05 20:24:32$107$真实性？不存在的
178$25845392$长津湖$11号捕手$2021-10-01 21:53:57$183$"真的太震撼了！！
千里在火车上敬礼的时候我也默默的撑了下头，敬了个礼。我同火车下面的士兵想的一样，希望他们能平安归来。
美军在雪山顶上朝被厚雪覆盖的志愿军们敬礼，我也再次撑了下头。应了雷公对万里说的那句：“被敌人瞧得起才叫本事！” 

伟大的中国人民志愿军万岁！！"
179$25845392$长津湖$Bou1evard$2021-09-30 19:12:08$118$战斗场面确实震撼精彩，不过文戏方便稍微弱点
180$25845392$长津湖$王百万$2022-06-29 13:11:26$46$大杂烩，拼凑
181$25845392$长津湖$姨妈的鸭$2021-10-02 20:52:27$43$要为战争电影找一个合适的结局确实太难了。
182$25845392$长津湖$yuppi$2021-09-30 17:35:22$263$4.5星，除了有点长别的没毛病。这场仗我们不打，就是我们的后代要打。感谢你们用生命换来的和平
183$25845392$长津湖$凯Run$2021-09-29 17:38:57$1161$这是一部电影，人、战争；这又不仅仅是一部电影，由此联想到今日之和平，三个半主权国家的世界；基础科研领域得强，防止“卡脖子”，军事和金融领域得强，以战止战！
184$25845392$长津湖$Elaine$2022-01-05 15:23:45$46$总有种劲儿没使出来的感觉
185$25845392$长津湖$Vin$2021-10-02 17:18:10$176$制作水准肯定是有的，但是我觉得真的不需要这么多的大范围移动的镜头。有的情节全都是大范围移动的镜头连屏幕内容都看不出来是什么。本来电影就只有24帧，而且我本人对帧率也不算敏感，但是镜头又卡又难受。看三小时的电影不累，但是看这个真的很累。
186$25845392$长津湖$不心冰$2021-09-26 00:53:53$834$三个小时没看够，最后戛然而止，期待下部春节上映。三个导演融合的还行，没有太大的割裂感，战争场面以小见大很震撼，少年的成长与兄弟情建立的还行。四字弟弟还有《少年的你》影子，配角太出色了，意犹未尽，集结中国最优秀荷尔蒙演员，开心。特效稍微差点意思，但是工业感不错。为台前幕后的电影人致敬，为历史人物致敬。于老板牛逼，操盘难度可想而知。
187$25845392$长津湖$自律贝极星$2021-12-20 21:52:24$125$没有金刚钻别揽瓷器活，叙事全崩
188$25845392$长津湖$沙瓤猛男$2021-10-09 11:19:38$77$向英雄的致敬是无法用打分来衡量的，但是电影的呈现就那样那样吧。
189$25845392$长津湖$你是冷的$2021-10-05 18:19:21$127$我失望的是这么恢弘壮美的历史被拍成了一部中规中矩的普通战争片。
190$25845392$长津湖$扭腰客$2021-10-01 00:55:43$31$抗美援朝的一道伤疤，一面旗帜，一声冲锋号，却实在过于冗长。吴京和四字弟弟的【百千万里上战场】在努力跌宕起伏，但却远不如胡军的【雷公传】催人泪下
191$25845392$长津湖$carter$2021-09-28 16:56:13$1003$一段意味深长的历史！
192$25845392$长津湖$瓣豆$2021-09-30 11:21:22$654$还是很适合普通观众进电影院去看的，时间虽然长，但节奏控制的比较好，剧情也有递进，也并不复杂，容易理解。大场面很壮观，看得出来是花了大钱的。而且一般战争场面很多的话，很容易看不下去，但是这部电影好几场对决处理的很扣人心弦，也很燃，反正我看哭了好几次。印象比较深的就是对于美军战机的处理，从高处投下炸弹的视觉爆炸效果太触目惊心了。回到几个主演的处理，都刻画的比较清晰，没有因为角色众多而搞不清楚人物关系。总之，不会让你失望。
193$25845392$长津湖$戴夫$2021-09-30 14:17:36$356$"【4.5】基调很明确，就像教员说的""打得一拳开，免得百拳来""，电影完美的诠释为了什么抗美援朝。谢谢兰晓龙，在这么一部作品里给岸英""正名""，不管是岸英也好教员也好，这么多年受尽了""敌人""的污蔑造谣，我心好痛，本以为会因为这段剧情在影院因为岸英跟教员哭崩，但没有，也要谢谢陈凯歌把这段剧情拍得这么克制，最后观影的我只是鼻子酸酸的，就像电影里教员得知噩耗后表面平静，在四合院里踱步来回走一样，此时的我能了解他的心情，心在滴血。好久没有在主旋律作品里见到不是只会喊口号的指导员了，超级能打！还有钢七连的同志们，一场火车里的对手戏就把这些人物们立住了，不愧是你兰晓龙[赞]
缺点也有，比如，特效没那么完美，但从电影不用史料这点还是佩服的，结尾给人感觉仓促收尾，意犹未尽，但明显还有第二部，还是继续期待"
194$25845392$长津湖$恶魔的步调$2021-10-24 14:41:14$15$长津湖确实是长了点，希望未来水门桥不要太水。
195$25845392$长津湖$李长青$2021-10-05 10:30:38$100$长，但没必要。视觉观感很累，全片是高潮等于没有高潮。人物形象千篇一律，好像一提硬汉永远就只有这么几个人。总觉得可以更好的，看个纪录片都会哭但看电影完全没感觉。
196$25845392$长津湖$小白兔_萝卜头$2021-10-05 21:41:44$292$“这场仗如果我们不打，就是我们下一代要打。我们出生入死，就是为了他们不再打仗。”
197$25845392$长津湖$大宝贝儿$2021-10-08 09:29:22$72$没有那个金刚钻就不要揽这个瓷器活，浪费这么多演员，这么好题材，导演是怎么能做到三个小时，三个小时啊！！！一模一样的套路讲了三个部分的故事，重复的东西看三遍，好累好累好累😔
198$25845392$长津湖$Arc_U$2021-10-02 19:38:25$158$"我妈妈说：“主要是陈凯歌”
我觉得
难看
但是我很开心
希望不要忘记他们。"
199$25845392$长津湖$Hello苏慌慌$2021-10-07 22:58:10$74$太费眼泪了，几乎场场爆满，我旁边坐着老爷爷，老奶奶，旁边的旁边坐着妈妈带着孩子，致敬伟大的中国人民解放军！
200$25845392$长津湖$L-Horn$2021-10-01 12:43:18$190$"我们的国家依然是五岳向上
一切江河依然是滚滚向东
民族的意志永远向前

战争是残酷的，希望世界和平，但内心的小我在说美国人日本人英国人不配

无论是过去，现在，将来，在我们国家发展的路上都会有敌人，竞争对手想要搞乱中国，颠覆中国，非我族类其心必异，应该时刻保持警惕

祝祖国母亲生日快乐"
201$25845392$长津湖$Louis_YY$2021-10-08 14:20:19$89$吴京就成了主旋律担当了呗，战士们是值得纪念的，但第一场也拍的太浮夸了吧，易烊千玺原地入伍靠扔手雷就成英雄了？？
202$25845392$长津湖$不吃葡萄说酸$2021-10-05 03:29:18$61$“为了我们的后代不用打仗”“为了百年后依旧和平”
203$25845392$长津湖$刻耳柏洛斯$2021-09-30 17:40:32$105$目前来看，这应该是国内近10年来场面最大、最壮观的战争片了，美军的压迫感十足，各类服化道也很用心，中段部分的通信塔攻防战相当精彩。但同时影片的文戏就薄弱许多，简单来说就是想拍群像剧但没把握住，繁多的人物视角分散了笔墨，人物刻画流于表面，更像是服务于剧情的套路人设，整体节奏也比较混乱，特别是一些段落的迷之运镜，不知道导演在想啥…没能看到对志愿军战士的深层次刻画还是有点可惜吧。
204$25845392$长津湖$心有所属🌸$2021-09-26 16:02:48$111$如果说又是主旋律和拥抱红色宣传的话，可能难成为经典。 就像《金刚川》《八佰》一样，无视历史和合理性，虽然煽情但让人觉得不合逻辑。  会买票去支持国产电影，既恨之又爱之！
205$25845392$长津湖$饭珍香$2021-10-11 14:27:50$46$从摄影和剪辑的角度看，很像大片！战争片我国也拍得越来越好，很有质感。主角光环总是不受伤和打不死也算正常，毕竟真实的连长也好好活下来了。缺憾是志愿军的困难比如受冻受饿还是拍得太简单，看不出零下41度的感觉。还有为什么只有敌军米国，那些我们帮助的朝鲜人呢？他们的受苦民众应该也有参与才会显得这场战争更正义，除了保家卫国我们毕竟是援助朝鲜。
206$25845392$长津湖$影探$2021-09-25 19:35:44$123$开始有笑声和掌声，最后都是抽泣声。影毕，鼓掌，为电影，也为那些战死的生命。
207$25845392$长津湖$积木$2021-09-30 13:24:05$394$敬当年把陆战一师逼到绝境的人民志愿军战士们
208$25845392$长津湖$Mockingbird$2021-10-25 23:42:32$20$看完电影后又去翻看了导演幕后特辑，三者的分工与预想的比较接近：林超贤主攻战争及宏大特效，徐克承担细节处的特技设计，陈凯歌负责文本及历史叙事。而三者的存在感与贡献值成正比：林&gt;徐&gt;陈。预料到了本片在文本层面的薄弱，但还是没想到其文本竟然蹩脚到了如此令人吃惊的地步。当所有叙事元素都极其显著地化身为功能主义部件时，一切主题表达都是轻浮、乏力、无味，因为人们似乎不仅可以预料到某个元素的出现，还可以预料到它出现的意义，甚至可以预料到它为什么会出现这样的意义。回顾历史固然重要，但太多处理又显得极度不真诚。近几年主旋律电影的一个大问题：普通话中心主义。这种语音层面的统摄完全宰制了历史至少在一些最基础事实上的自发性，时间的厚度被抽走了，只剩当下的政权“大他者”无时无刻不在发出证明自己在场的迫切和焦虑的声音。
209$25845392$长津湖$自白$2021-09-29 22:51:00$1$没抱太大希望，超出预期太多。同样是战争片，同样是主旋律，同样是抗美援朝题材，比去年的《金刚川》好出多少倍。枪林弹雨中，还不忘安插几个笑点，张弛有度。俗话说“三个臭皮匠，赛过诸葛亮”，更何况这仨并非臭皮匠呢！
210$25845392$长津湖$牛逼协会会长$2021-10-03 18:10:35$12$a.灾难级的镜头调度。有几场戏根本没必要摇镜头以及采用“网课式”的分屏，完全可以用固定镜头人物特写来进行切换，这样人物的情绪会更为集中。摇来摇去摇丢的不是视频的焦点，而是人物的情绪重心。b.本片的特效得分为两方面一场，一方面是远场，飞机爆炸场景特效实在是太差了，甚至在开头出现了大颗粒的石块悬浮在烟雾中的超级bug，另一方面近场特效，林超贤在这部分处理的还是比较出色的，确实有那种近身肉搏血肉横飞的紧张逼仄感，但是差劲的摇镜头实在是令我完全没脾气。c.本片的文戏是《士兵突击》编剧写的，从7连这个番号来讲，像是消费当年的情怀，要是将易烊千玺的角色比作许三多的话，本片似乎有那么一种赶鸭子上架的感觉，他的这个人物的成长一定程度上缺乏内在的驱动力，但是描写士兵生活那段包括胡军的人物塑造勉强还算成功。
211$25845392$长津湖$李念念$2021-09-30 16:41:46$475$不得不说，配乐真的太赞了。战斗场面惊心动魄，最后雷公的牺牲不禁让人泪目。我们不打这场战，就得由我们的下一代来打。我们现在的和平都是因为有我们的先辈为我们冲锋陷阵。
212$25845392$长津湖$曼彻斯特大首都$2021-09-30 16:34:20$216$真的是一部优秀的战争电影，虽然有点瑕疵但是导演和演员整体发挥出色
213$25845392$长津湖$彻青$2021-09-28 20:02:44$673$语言匮乏，真的很震撼。看完之后联想到了千里万里的招飞宣传，制空权真的重要。另外千玺演的很可爱，七连也很可爱，他们之间的日常就是沉重战争中的亮色。抗美援朝，保家卫国
