$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26270502$绣春刀II：修罗战场$小鬼家的师公$2017-07-15 17:06:00$1696$“由于经费用完，所以只能自己做了”
49$26270502$绣春刀II：修罗战场$哪吒男$2017-07-15 17:03:47$227$气概堂堂，节奏窝囊。
50$26270502$绣春刀II：修罗战场$CharlesChou$2017-07-21 22:07:35$104$夜戏摄影很强，一种『要做古装黑猫侦探』但变成了『酷男孩绝对要憋住不谈恋爱』的感觉。杨幂真是全国说台词就出戏女演员第一名。
51$26270502$绣春刀II：修罗战场$诸葛若见$2017-07-25 21:00:11$163$长相俊朗，武艺高强，公务员编制，正科级干部。在北京有房，还可以撸猫。沈炼这样的都单身，而且是备胎。你们还有啥好抱怨自己是单身狗的？
52$26270502$绣春刀II：修罗战场$风间隼$2017-07-17 08:39:54$140$故事比第一集更集中更曲折。张译、雷佳音、刘端端、武强、刘峰超……自然还有金士杰，配角个个出彩，把官场众生刻画得呼之欲出，端着架子的男女主角反而平淡。动作戏借鉴了不少《浪客剑心》，烧档案库一场最好，郑掌班的流星暖炉抢眼。决战设计和节奏略有点乱。川井音乐有《攻壳》和《七剑》的影子。
53$26270502$绣春刀II：修罗战场$瓦力$2017-07-14 21:27:59$368$对这类片子无抵抗力，真实历史背景下虚构，大时代下小人物的身不由己，有些台词从史书上摘下，一如既往用心考究服化道，浓烈古风厚重感，无孔不入监察机制，氛围萧杀，同样讲锦衣卫，路阳比李仁港不知高到哪里去了！除了杨幂不在状态，其余演员表现都很出色。保持第一部水准，保护月良心大作。7.7/10
54$26270502$绣春刀II：修罗战场$小A$2017-07-19 23:34:57$83$比第一集更精进。张译以男二之名行男一之实，朴实无华收放自如，邪气逼人非常出彩。影片情节紧凑有详有略，快中求稳干净利落，鞭辟入里辛辣无情。权力的获取、行使和交易，没有谁是永远的正义和邪恶。导演学了不少商业动作片的视听语言套路，效果非常好。
55$26270502$绣春刀II：修罗战场$蜉蝣$2017-07-13 16:22:27$553$用心且有能力的制作团队，路阳无论是动作戏还是故事逻辑都异常清晰沉稳。再次，我震可是从未演过烂片的演员~
56$26270502$绣春刀II：修罗战场$请尊敬王道长$2017-07-15 17:57:48$384$好看还是好看，情节更复杂，打斗也不错。略遗憾的是上部有兄弟情，这部连张译的动机都比沈炼更明确，主角内心想法除了最后打斗时都没啥特别表达。女主的剧情功能更强，但杨幂没演出来这角色的感觉，全凭观众想象
57$26270502$绣春刀II：修罗战场$邓安庆$2017-07-20 11:11:38$164$有一种看电视电影的感觉，假假的，有些地方难以说通（比如说结尾吊桥的处理）。给雷佳音和刘端端的戏不多，但表演之细腻生动让人难忘。
58$26270502$绣春刀II：修罗战场$荔枝超人$2017-07-13 17:20:16$132$较上一部制作上终于有真正电影的样子了，剧作也有用心编圆，可惜出来效果还是不够紧凑，明明有悬念跌宕的故事却看得哈欠连连。
59$26270502$绣春刀II：修罗战场$榜上有名猫$2017-07-19 15:57:17$132$全员情节得体，除了杨幂戏份；全员道具闪亮，除了杨幂装粉；全员走位考究，除了杨幂娇跑；全员对白深远，除了杨幂简短；全员造型冷峻，除了杨幂柔软；全员声线沉稳，除了杨幂爹气；全员设定高手，除了杨幂不打；全员演技在线，除了杨幂哭戏；全员表现圈粉，除了杨幂随意；全员颜值可观，包括杨幂其中
60$26270502$绣春刀II：修罗战场$托尼·王大拿$2017-07-20 23:13:36$62$电影语法水平较之第一部大幅提高，潜台词也暗示的相当到位，就怕是你们老拿明末说事，容易出事。
61$26270502$绣春刀II：修罗战场$柯里昂$2017-07-15 17:13:53$146$高于预期。喜欢那句台词，“谁也救不了这世道”，对照最近来看十分应景。第二部还能延续如此高水准，在华语中已是不易，并且还是单独把沈炼这条线挑出来拍前传；意外的是几个配角表现都不错，雷佳音格外抢戏，而最难得的是续集在故事和动作场面上都做到了创新。大概是近期最想看它拍下去的系列电影了。
62$26270502$绣春刀II：修罗战场$琧婯$2017-07-23 00:25:11$45$这他妈才是中国电影好吧。。。除了臭脚和结尾强行接第一部外，整体很流畅；这样的电影你他妈还给三分以下，活该看烂片，明明天天搬砖的命，还他妈想每周在影院看一部肖申克加第七封印加你丫闭嘴加艾曼纽；最大的笑话难道不是三条腿的蛤蟆没找到，皇帝没续上命吗？陆阳你再学习学习戏曲，做胡金铨第二吧
63$26270502$绣春刀II：修罗战场$Peter Cat$2017-07-28 20:34:51$890$最后半个小时剧本是杨幂亲自写的吧.....
64$26270502$绣春刀II：修罗战场$二月鸟语$2017-07-16 01:54:22$320$5.0/10，整体不如第一部，这部也就主题不错。第一部的热血和大量精彩的手持摄影以及调度还有灵气在这部基本消失殆尽，越拍越像电视剧。其实杨幂演的还真不错，她就是台词上不去，片子不行也不能都怪演员，这部的剧本是比较平庸了，人物性格没那么优秀，冲突跟不上导致没有高潮，爱情也是莫名其妙的。
65$26270502$绣春刀II：修罗战场$Xaviera$2017-07-16 20:09:05$164$在今年國產電影裡面算是非常非常良心的了 雖然我還是很討厭女主的設定 連帶這部動作戲都覺得比第一部奇怪 但美術、部分攝影還有男演員們的部分都相當不錯 至於女主 最可怕的是演技這樣都還給那麼多特寫 還不如看張震和雷佳音湊一對
66$26270502$绣春刀II：修罗战场$秦一$2017-07-22 14:15:53$91$就不能没有感情戏吗？这样会酷很多啊，纯男人戏为什么不能拍，落水狗男人戏拍的多好，北斋是男人的设定一点都不违和啊！断桥的bug简直毁整剧！杨幂能霍霍电视剧不要来烦电影吗，从撑伞开始出戏一直到结束。整部电影服装考究，武器考究，武功考究，景观考究画面考究，连声效都特别考究。可惜了。
67$26270502$绣春刀II：修罗战场$乌鸦火堂$2017-07-19 17:46:04$45$换种活法，终究逃离不出世道摆布！延续风格和品质：不是武侠片而是古装悬疑动作片，暴力美学风格十足，整体气氛阴郁肃杀，点缀着明亮柔美之色。服化道依旧考究，摄影调度一如既往，场面更大一些，前半段打斗太赞，流星锤一战最佳；后半段换成了殊死血拼，刻意惨烈，但缺乏张力，雷佳音意外之喜
68$26270502$绣春刀II：修罗战场$李小丢$2017-07-23 15:44:18$40$为沈莉安打call！这部的暗喻玩的真6，但我还是最喜欢第一部啊，三兄弟和打斗设计完全没废笔，然后第一部的飞鱼服那个大红的裙摆莉安穿上才真的是美爆了！！！第二部亮点在和郑掌班的流星锤大战，绣春刀系列的公公们都是真汉子，每一个都那么能打，完全没有后天不足感觉，佩服佩服。
69$26270502$绣春刀II：修罗战场$百骨金titi$2018-01-09 09:34:22$67$整体很看好，算是很不错的电影，对于杨幂部分就出场那么几分钟，我还以为很多呢？她粉丝还到处洗脑吹抗票房多少多少？就她演那群戏烂片小时代票房全算她头上就知道是什么样的人了，真是粉随真主一点没错
70$26270502$绣春刀II：修罗战场$吵$2017-07-21 23:32:55$119$实在是不明白为啥不先过河再拆桥一起过上幸福生活非得在那儿装逼
71$26270502$绣春刀II：修罗战场$SingLesinger$2017-07-17 00:04:53$72$雷佳音挺抢戏的。
72$26270502$绣春刀II：修罗战场$吴地越人$2017-06-27 17:15:12$234$不及第一部
