$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
416$1418019$大闹天宫$乖沙皮$2010-06-22 11:26:27$0$经典无需评论
417$1418019$大闹天宫$结夏$2008-06-17 16:19:50$0$我家有录像带的，哈哈哈
418$1418019$大闹天宫$Soaring$2008-03-21 12:33:08$0$经典啊！
419$1418019$大闹天宫$杨园卡拉特拉瓦$2013-05-31 16:26:41$0$画面真好
420$1418019$大闹天宫$aQuabLus$2011-07-03 19:23:09$0$我们自己的动画片
421$1418019$大闹天宫$pandae$2011-07-31 10:20:57$0$中国无法超越的经典
422$1418019$大闹天宫$T-MAX$2010-03-15 21:53:40$0$童年的回忆
423$1418019$大闹天宫$团小纸$2020-04-21 22:15:38$1$动画和配音都是完美的，配乐的锣鼓点我听的有点疲劳。但还是要说，国产动画起点这么高，是怎么越做越回去的？
424$1418019$大闹天宫$runorun$2012-08-14 17:32:27$0$古里古奇
425$1418019$大闹天宫$躲猫猫$2010-07-27 22:24:01$0$看过也不记得了 只记得动画的笔触
426$1418019$大闹天宫$影毒肥佬$2015-07-29 15:46:34$0$大闹天宫 经典 童年
427$1418019$大闹天宫$热夜之梦$2011-09-15 23:52:46$0$神作 国粹
428$1418019$大闹天宫$先进磁力棒$2012-03-26 10:08:45$1$混亂...旋暈.....即使有上譯廠也無濟於事...
429$1418019$大闹天宫$黑黑狼Ω$2011-04-29 00:12:13$0$2004年的还没看过
430$1418019$大闹天宫$柠檬小幽$2012-03-03 21:21:35$0$小时候的记忆
431$1418019$大闹天宫$薛以柠$2010-01-15 00:44:08$0$我稍有的几个VCD之一
432$1418019$大闹天宫$xinxinw$2008-05-23 05:52:51$0$曾经写过文章比较大闹天宫和宝莲灯
433$1418019$大闹天宫$八月四日$2009-03-04 13:43:28$0$经典
434$1418019$大闹天宫$VeraWong$2009-08-02 16:57:16$0$童年经典
435$1418019$大闹天宫$xiaohui$2012-02-19 12:09:00$0$经典，有些忘记了，配乐很京剧风
436$1418019$大闹天宫$火包$2009-12-08 21:51:53$0$我只是觉得 我们要制造更高的辉煌
437$1418019$大闹天宫$向日葵d兽$2012-04-25 22:43:50$0$这特么跟戏剧一样一样的啊，锣鼓喧天到片尾啊，台词说的慢的都赶上唱戏剧的啊 
438$1418019$大闹天宫$你们人类$2011-03-16 20:45:01$0$让我想起了很多
439$1418019$大闹天宫$其实$2010-04-14 15:20:00$0$绝对5星
440$1418019$大闹天宫$阿曼达‖微微思想一下就卡壳了。$2008-08-05 18:07:49$0$怀念啊。
441$1418019$大闹天宫$影瘾继$2012-02-07 13:05:29$0$中国最好的动画长片！没有之一！！
442$1418019$大闹天宫$maguorong$2014-05-10 23:55:37$0$集中国传统文化于一身的佳作
443$1418019$大闹天宫$和也$2008-12-19 14:32:50$1$有电脑就会不用四年吗？
444$1418019$大闹天宫$翻牙膏。$2011-08-05 02:27:53$0$现在家里还有碟....皮影的味道
445$1418019$大闹天宫$半醒着的猫$2010-11-11 12:39:51$0$愤怒的小猴。
446$1418019$大闹天宫$世界真无趣$2011-02-13 21:38:50$0$中国的动画电影，你还能找出更棒的吗？
447$1418019$大闹天宫$宝宝宝宝宝猴子$2009-08-03 23:22:04$0$猴头～我爱你～～～
448$1418019$大闹天宫$王富贵$2010-07-24 17:53:22$0$也不能过于神话它
449$1418019$大闹天宫$荦旯蒯庖$2013-10-19 20:09:43$0$极致的动画，去到尽。
450$1418019$大闹天宫$安又$2011-08-03 17:35:53$0$早年国产动画
451$1418019$大闹天宫$第七大陸$2017-09-24 20:50:54$1$补记，中国动画史艺术商业完美结合作品。
452$1418019$大闹天宫$vanon$2013-03-13 18:50:15$0$现在的动画只要不商业 就会更好
453$1418019$大闹天宫$小姜$2012-07-15 19:30:46$0$看了2012年的骗钱版，特来膜拜，当时65年的中国动画完全超越现在的水准啊。
454$1418019$大闹天宫$⑦$2009-04-23 10:58:20$0$国产动画何时才能再续当年辉煌?
455$1418019$大闹天宫$CD君$2010-12-07 01:01:24$0$所谓启蒙
456$1418019$大闹天宫$一梦遥红尘$2019-08-16 20:50:52$1$配乐沿袭自中国传统戏曲，片尾古筝很棒。动作和美术设计都无可挑剔，人物形象栩栩如生，战斗场面活泼灵动。其中仙女摘桃，与二郎神斗法等片段很好地展现了中国的传统特色。“俺在这花果山就是齐天大圣，谁要他封，不去不去”，“你们背地下手，暗箭伤人，算不得什么好汉”，孙悟空以这样一个率直单纯的形象示人，着实可爱。中国神话故事有不乏反抗者的身影，可惜的是他们在别人的故事里常常摇身一变，成为统治阶级的工具，像是一种宿命。故事以大圣大闹天宫之后，回到花果山为结局，让我很惊喜，因为孙悟空的故事我就喜欢到这为止，也算是一种安慰，我心目中齐天大圣永远是这个样子的。
457$1418019$大闹天宫$子曰$2010-01-13 13:24:54$0$邱岳峰
458$1418019$大闹天宫$辰时二月$2011-05-28 13:16:27$0$美妙啊美妙~可以称得上中国动画的顶尖作品！
459$1418019$大闹天宫$张苑希$2016-11-11 16:37:22$1$动画片的圣经。孙悟空这个猴子丰富了多少代人的童年啊~
460$1418019$大闹天宫$摸头姐姐$2012-01-08 13:37:06$0$童年啊~
461$1418019$大闹天宫$U 兔$2009-07-10 17:33:13$1$赞！1927？？我没看错吧！
462$1418019$大闹天宫$Grey$2011-10-06 18:26:53$0$中国电影史上的神来一笔。整天在网上给动画片起些莫名其妙名字的人，成年后是否又看过这些曾经让我们迷恋的影像呢？这是新出的修复版，色彩和清晰度都是目前最好的，值得收藏！请再次被那只于锣鼓点中大战天兵天将的猴子感动一次吧！
463$1418019$大闹天宫$Tweecy$2011-11-05 13:53:01$0$童年的回忆
464$1418019$大闹天宫$#$2012-01-15 10:14:27$0$京剧鼓点~鼓点
465$1418019$大闹天宫$我也不想的$2010-05-17 18:01:39$0$小时候
466$1418019$大闹天宫$小瑾$2010-05-25 19:12:37$0$童年啊。。。
467$1418019$大闹天宫$竹子$2011-02-19 18:19:51$0$"小时候咱妈带着我去看的
"
468$1418019$大闹天宫$吐槽儿$2007-11-25 18:23:15$0$大闹天宫
469$1418019$大闹天宫$张翔森$2021-04-01 00:08:37$2$大闹天宫。西游记。直到现在还在翻来覆去地拍。叮叮当当的鼓点儿，像京剧。
470$1418019$大闹天宫$巴斯光年$2011-02-10 19:33:35$0$ 看这封面.还以为是千年某部国产3D的呢. 还超惊讶,怎么可能到9.2
471$1418019$大闹天宫$归属的心$2011-01-19 20:05:58$0$中国最好的科幻电影。
472$1418019$大闹天宫$飞红成阵$2011-10-12 21:25:49$0$不喜欢
473$1418019$大闹天宫$那头头$2018-05-02 12:37:56$1$可以看无数遍的国产动画
474$1418019$大闹天宫$大音希声$2011-12-15 14:44:41$0$"小时候的经典
"
475$1418019$大闹天宫$wjszy$2013-08-15 13:00:22$0$天朝再也不会有这样水平的动画了
476$1418019$大闹天宫$驴打滚$2007-05-13 14:38:41$0$堪称华丽
477$1418019$大闹天宫$艾茹糖水$2008-03-30 11:19:28$2$这是精美的无懈可击的，堪称完美
478$1418019$大闹天宫$小鳗鱼$2012-02-20 14:27:19$0$童年的回忆
479$1418019$大闹天宫$斩杀$2015-11-09 19:33:52$1$毫无疑问中国最好的动画，1961年。
480$1418019$大闹天宫$一小片$2012-03-07 16:04:02$0$小时候都看过吧。。。
481$1418019$大闹天宫$一事无成孟烦了$2012-09-11 02:46:43$0$赤果果啊赤裸裸
482$1418019$大闹天宫$deepwhite$2011-01-30 13:54:53$0$爸爸妈妈参与制作~~
483$1418019$大闹天宫$偷窃自由的贼$2010-11-08 13:19:51$0$经典。
484$1418019$大闹天宫$七里八里$2009-11-12 14:16:40$0$西游记中最精彩的部分
485$1418019$大闹天宫$megumi$2014-01-14 20:15:52$0$中国动画电影的珠穆朗玛峰
486$1418019$大闹天宫$梵高的耳朵$2011-07-07 22:32:32$0$小时候电影频道肯定放过，我也应该看过。
487$1418019$大闹天宫$注销$2011-11-15 10:03:57$0$无法复制的永恒经典，那份精致那份怀念
488$1418019$大闹天宫$ole luk-oie$2009-12-12 21:17:56$0$这版很有爱~
489$1418019$大闹天宫$彩心之境$2019-12-01 23:01:08$1$A。回看这部影片，画风配乐都极具中华文化特色，这几年国漫崛起，还是没有像这部故事和动画都出彩的动画电影。
490$1418019$大闹天宫$星尘战场$2007-10-04 00:16:31$0$力挺！！永远的经典
491$1418019$大闹天宫$孑秩$2009-08-02 11:24:16$0$中国的骄傲
492$1418019$大闹天宫$王大可$2011-06-01 22:47:22$0$文  革前的东西
493$1418019$大闹天宫$不愿透名布雷迪$2009-03-14 21:27:33$0$我猜到了开头 却没有猜中结局
494$1418019$大闹天宫$撒芮那$2011-08-18 15:21:09$0$最好最好的动画片。。。陪伴我成长
495$1418019$大闹天宫$Konnor$2009-02-20 23:52:36$0$传说中的中国动画巅峰之作。
496$1418019$大闹天宫$影子$2009-12-05 18:59:43$0$画风太美了
497$1418019$大闹天宫$餅牙牙$2011-01-25 19:35:19$0$回憶。
498$1418019$大闹天宫$scherzo$2011-06-02 08:45:39$0$太他妈牛逼了！！！！！！！！！！！爱死了
499$1418019$大闹天宫$大象也是只猩猩$2011-07-24 19:19:46$0$堪称完美的想象力。
500$1418019$大闹天宫$Lillian$2010-09-04 09:00:55$0$幼儿园去电影院看的。。。
501$1418019$大闹天宫$马来可$2007-02-21 12:13:42$0$致伟大的60年代……
502$1418019$大闹天宫$饭夫斯基$2010-11-04 23:47:47$1$一声叹，现在的动画没古韵
503$1418019$大闹天宫$柠檬精$2014-01-12 06:22:48$0$观影盘点期，看过留脚印
504$1418019$大闹天宫$关山。$2021-04-28 15:50:42$12$夸也不知道怎么夸，想想这是五十年前的动画，除了respect还能怎样？
505$1418019$大闹天宫$荷猪$2007-11-10 07:40:33$0$小时候
506$1418019$大闹天宫$曼仔$2019-08-15 22:27:53$1$令人惊叹，比哪吒闹海好很多，不愧是倾上美厂全厂之力做出来的动画作品。不过那个年代出来的动画片都有大量的戏曲元素，从人物外形、到打斗场面的设计与节奏、再到配乐，完全是从京剧（应该也有地方戏，配乐里感觉有小调儿）来的，很亲切，二郎神估计是花脸。孙悟空真是中国文学史上最生动、可爱、鲜活的无产阶级形象了，看着齐天大圣，简直想到“无产者失去的只有锁链”这句话。。。
507$1418019$大闹天宫$Dr.Ray$2014-04-17 15:17:52$0$并没有太多感觉，只是做的真是精良
508$1418019$大闹天宫$兔子$2014-02-19 20:36:03$0$谈论中国电影不得不说的之一
509$1418019$大闹天宫$Bill$2007-06-18 16:50:44$1$中国第一部彩色动画长片 获奖无数 中国电影的骄傲
510$1418019$大闹天宫$sandyhiggins$2010-08-23 18:42:30$0$我想中国以后不会再有这样的动画电影了。
511$1418019$大闹天宫$离相$2011-08-25 13:46:59$0$小时候看的，已经快没有印象了
512$1418019$大闹天宫$H$2009-08-13 23:18:06$0$经典！~
513$1418019$大闹天宫$想飞的鱼儿$2010-08-27 01:29:36$0$1965年
514$1418019$大闹天宫$Soc$2012-09-11 21:37:08$0$跟二郎神变各种动物那段好精彩~~
515$1418019$大闹天宫$Mellr$2010-11-10 20:20:28$0$怀念
516$1418019$大闹天宫$ccjd$2012-01-15 05:26:07$0$60年代的中国能拍出这样的片子确实让人感动，想一想那时候科技啥啥的都不如外国，资金也是根本没有，可中国人却用自己的智慧取得了各种成就。再看看今天，几个亿的投资什么的拍的都是什么大烂片，真是悲哀啊
517$1418019$大闹天宫$牙刷夜猫$2008-05-30 16:15:29$0$经典
518$1418019$大闹天宫$Chris  一切由无聊开始$2007-12-22 22:34:22$1$最近看了个数码修复版，找不到感觉了。
519$1418019$大闹天宫$藍寶$2010-07-13 14:07:40$0$经典到没有比这个更经典的了.
520$1418019$大闹天宫$带盐味糖水$2011-06-30 10:37:03$0$神奇的配乐和动作，让人很难忘记啊。那个年代有着嘲笑现在动画的资本。
521$1418019$大闹天宫$清風明月$2013-10-30 10:19:31$0$小時候好像是看過 記不清楚了 沒有覺得有多麼經典 主要是看80年代西遊記長大的 現在看來 67年的動畫能到這個水平 給5顆星不為過啊
522$1418019$大闹天宫$秋晼-Emmanuel$2011-04-17 13:25:04$0$这个谁都看过吧
523$1418019$大闹天宫$刺儿巍$2009-02-09 16:19:27$0$看着长起来的
524$1418019$大闹天宫$夏❤目$2012-09-03 10:51:29$0$经典。
525$1418019$大闹天宫$白牙尖$2013-04-11 17:05:37$0$这个电影的画册我都有好几本，不知和我一起看这部电影的邻居家小孩现在好不好。
526$1418019$大闹天宫$PLAYTOY$2010-10-01 07:43:59$0$中国最好的动画，没有之一
527$1418019$大闹天宫$Constance_Chen$2010-03-08 20:03:24$0$雷人
528$1418019$大闹天宫$哇！斑马$2011-02-16 20:02:20$0$哎~哎~日了那个怪、齐天大圣闹翻天。艹！
529$1418019$大闹天宫$柠檬Air版$2011-04-28 13:08:16$0$为了失去的童年，五星
530$1418019$大闹天宫$寡欢$2009-08-11 14:08:02$0$经典中的经典，如果国产动画能够像这样认真制作，中兴有望。
531$1418019$大闹天宫$影$2023-04-09 05:41:19$0$连看“孙悟空”三部曲，大闹天宫最精彩，从孙悟空东海取金箍棒直到大闹天宫完，画面最美最为华丽大气，打斗场景也很棒；金猴降妖其次，讲得是“三打白骨精”的故事，画面虽不及大闹天宫，但角色塑造最佳，造型更为生动些；人参果垫底，剧情也最无趣，动画形象也是垫底的。ps：西瓜视频4K修复版
532$1418019$大闹天宫$浮生一日$2009-07-30 11:35:05$0$经典中的经典，万籁鸣中国动画第一人.很可惜后继无人
533$1418019$大闹天宫$mo$2011-06-13 11:14:58$0$中国动画巅峰之作,直到现在
534$1418019$大闹天宫$jerry$2006-10-03 00:12:09$0$刚才看了个尾巴,隔了那么多年
535$1418019$大闹天宫$卯月猫$2012-02-11 20:55:22$0$神作。
536$1418019$大闹天宫$無音亡霊$2009-12-12 00:04:49$0$小的时候还买了碟子~
537$1418019$大闹天宫$- -$2010-03-31 22:18:18$0$我们自己的经典
538$1418019$大闹天宫$virgin$2016-03-19 08:51:54$1$廿年前看得吧 童年忆趣 现今依然经典 那段儿时不时缠绕嘴角的旋律～～大圣啊!。。
539$1418019$大闹天宫$牛小饼$2014-02-10 12:03:16$0$脚本配乐人物造型配音全方位的到位啊～太赞了！笑起来跟路飞好像啊～yi～heeheehee~
540$1418019$大闹天宫$一文$2010-11-04 19:26:42$0$哇，好古早的记忆~
541$1418019$大闹天宫$bay135$2011-03-27 23:50:12$2$什么时候看都好看！！！
542$1418019$大闹天宫$凡凡不在家$2020-09-12 21:05:15$1$去年上影节观感，上海美影厂2K修复技术不错。今年在长影节二刷，虽然觉得有些冗长，但如果从社会政治隐喻等角度，去观摩，会得到不一样的观感。
543$1418019$大闹天宫$一键成梦$2008-03-23 12:25:19$0$神作
544$1418019$大闹天宫$秦幽轩$2010-09-27 19:07:30$0$影响了不只一代人的动画片，这个孙悟空的形象深入人心啊！
545$1418019$大闹天宫$owen$2011-03-14 09:55:27$0$哈哈哈哈哈哈哈哈哈哈，我的童年啊。
546$1418019$大闹天宫$小喆$2011-08-30 11:29:30$0$这个国产经典怎么可能没看过呢~话说老一辈做的东西真是精细啊~令人惊喜~为什么新的动画片们就这么操蛋呢？
547$1418019$大闹天宫$hotzenplotz$2009-04-20 23:17:48$0$闹吧闹吧 这样的团队才配翻拍经典！
548$1418019$大闹天宫$脱氧核糖十三$2019-02-12 20:31:51$0$变庙和四大天王两段儿现在看也好喜欢。
549$1418019$大闹天宫$鹿子花开$2012-01-08 00:58:11$0$好像现在越来越走不出动画产业困境了
550$1418019$大闹天宫$外卖男P老湿$2008-02-09 01:35:45$0$看看~看看现在~国产动画一片颓废……
551$1418019$大闹天宫$老王$2009-10-04 23:43:22$0$中国动画艺术的最高成就
552$1418019$大闹天宫$prost$2018-08-25 19:29:51$0$更喜欢哪吒闹海
553$1418019$大闹天宫$虫腰腰$2011-01-27 19:54:39$0$补
554$1418019$大闹天宫$啊？$2012-06-26 19:08:34$0$喜羊羊赶紧来跪
555$1418019$大闹天宫$人间惆怅客$2011-05-21 19:54:36$0$中国的动画是越混越回去了。那什么3D大作，雷锋的故事，草泥马的什么坑爹玩意
556$1418019$大闹天宫$Mr.lala$2012-01-17 19:29:56$0$經典中的經典！已經買盤留念了！60元！在貴也收藏！
557$1418019$大闹天宫$太阳。神$2012-02-29 15:29:35$0$再拍一万遍经典也拯救不了中国动漫~
558$1418019$大闹天宫$Paradox$2013-04-24 22:24:56$1$太经典了，我还做过相关的手工。。中国动画真是在不停抛弃自身特色的基础上一步步走向毁灭阿。
559$1418019$大闹天宫$neverland$2012-06-20 12:51:11$0$和二郎神斗法那段相当深刻
560$1418019$大闹天宫$压力山大$2011-01-07 12:09:46$0$中国早期经典动画神作
561$1418019$大闹天宫$加班的猫$2010-04-27 02:18:09$0$除了故事以外，都喜欢
562$1418019$大闹天宫$王帝心仙人$2011-11-11 13:50:40$0$儿时的经典！！
563$1418019$大闹天宫$猴面包树种子$2011-05-16 23:20:46$0$不可逾越的巅峰啊...
564$1418019$大闹天宫$ToTo$2006-06-18 15:47:38$0$中华瑰宝
565$1418019$大闹天宫$Foley$2014-04-22 15:57:41$0$最经典。
566$1418019$大闹天宫$何文田没有花$2010-05-11 13:13:46$0$京戏味很浓
567$1418019$大闹天宫$minox$2006-10-25 17:22:47$0$40年前的大片
568$1418019$大闹天宫$鼠标可以充饥$2011-07-18 08:52:08$0$电视上看的
569$1418019$大闹天宫$猫咪胡子爱巴尼$2011-03-30 16:44:50$0$这一版叫经典！！！！！！！！！！！！！！
570$1418019$大闹天宫$Grenoble$2011-05-19 21:04:11$0$现在想来依然会让人感动。
571$1418019$大闹天宫$顾小坏$2010-06-29 01:29:26$0$中国风十足
572$1418019$大闹天宫$Suri$2011-08-01 10:39:49$0$小时候的我们好幸福，看得是中国的原创优质动画。阿凡提，葫芦娃，都是不朽的经典
573$1418019$大闹天宫$kakakarl$2012-12-25 21:44:56$3$这部电影就证明了，中国动漫是衰退了，而不是一直这么差。
574$1418019$大闹天宫$jessiestone$2007-09-24 17:22:34$1$07.8.18中国自己的动画片历程应该好好研究.民族风格,绘画特色等等也不提,只是这个片子可以相当醒目地使人想到政治,社会意识是怎样地影响了艺术的创作,本来,艺术是应该脱离了这些而自由的,虽然从具体上它是脱离不开这种实在的政治社会环境的,可是它应该是拥有某种游离性的,从本质上,它是自由的.本片从其本身艺术价值和其历史启示上值得观看.
575$1418019$大闹天宫$喵小有为来欧欧$2013-05-22 17:48:04$0$虎皮裙的美猴王调皮极了(&gt;^ω^&lt;)
576$1418019$大闹天宫$evaaaa$2012-09-22 01:35:03$0$谁来闹一个
577$1418019$大闹天宫$小张$2015-08-01 18:16:49$0$大闹天宫
578$1418019$大闹天宫$抹茶神乐控$2012-01-02 14:32:57$0$叛逆倔强的孙悟空令人敬仰。
579$1418019$大闹天宫$mic$2010-04-10 17:28:11$0$小时候的最爱吧
580$1418019$大闹天宫$花鏡$2010-01-26 12:55:17$0$屬於中國的經典。。。
581$1418019$大闹天宫$Cosmos$2010-11-21 12:25:34$0$玉帝长的好水呀
582$1418019$大闹天宫$大大大鲨鱼$2011-08-26 14:30:51$0$当时来讲算是神作
583$1418019$大闹天宫$cheer$2011-04-07 16:07:10$0$纯经典，无特效
584$1418019$大闹天宫$叉叉小箭猪$2009-11-30 15:37:30$1$巅峰
585$1418019$大闹天宫$一饱百不思$2010-12-04 14:54:03$0$永远拿着金箍棒的孙悟空，
586$1418019$大闹天宫$Mr....M$2010-04-16 19:27:10$0$天宫也是一群臭官僚...
587$1418019$大闹天宫$Nomad$2020-08-08 18:20:25$2$太白金星以当官为由想要招安孙悟空，孙悟空问他的却是“当官是什么呀？”然后他做了弼马温，说“马怎么能这样管？”把马儿都放开了大家开开心心地在天庭跑来跑去。其实在花果山小猴子们也听他的，但他没有想过什么尊卑，也没叫谁跪在他面前。流光溢彩的大闹天宫，让人眼花缭乱的七十二变都比不过这个猴子的天真，他也没说我就非要反抗，他就是不懂，可这种不懂在这个世界上太难得了。
588$1418019$大闹天宫$豆瓣路人己$2012-02-16 15:37:21$2$经典啊！！！
589$1418019$大闹天宫$TrevorWu$2012-09-15 17:57:58$0$昨天在机场接人的时候重看了一遍，好多地方找到笑点了
590$1418019$大闹天宫$19431818$2011-06-04 00:10:41$0$阿童木的真正原形！
591$1418019$大闹天宫$伶州鸠$2010-11-04 19:59:52$0$神作！
592$1418019$大闹天宫$一只羊$2013-01-05 12:54:00$0$带着国人的感情 走向了神坛
593$1418019$大闹天宫$戒$2008-10-02 11:45:48$0$儿时的记忆，还是父辈儿时的记忆？ 
594$1418019$大闹天宫$Vincent$2009-12-27 14:55:16$0$"配乐配音人设动作都很精致。
"
595$1418019$大闹天宫$陇琳文$2008-07-22 09:43:19$0$经典
596$1418019$大闹天宫$joshua$2010-10-01 13:02:47$0$这是所有中国人的骄傲！是中国动画的骄傲！
597$1418019$大闹天宫$小爱$2019-11-09 10:35:43$3$感谢祖国爸爸在我小时候给了我如此富足的精神滋养。
598$1418019$大闹天宫$Emily Strange$2011-06-20 00:27:48$0$比我還大20歲
599$1418019$大闹天宫$Nin$2022-09-09 13:20:04$0$十星补标
