$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
39$1292213$大话西游之大圣娶亲$伍德与夏洛蒂$2011-03-16 20:42:56$374$最触动我的，是孙悟空转身走掉时，周星驰和朱茵指着他的背说，他像不像一条狗啊。当场泪奔。
40$1292213$大话西游之大圣娶亲$李小缺$2017-04-12 21:26:43$431$简直就是为了圈钱的，情怀这个东西说多了就真不值钱了
41$1292213$大话西游之大圣娶亲$欢乐分裂$2014-10-27 21:17:22$133$#重看#看过无数次开头却从未目睹过结尾，悲伤；太多耳熟能详的台词、太多过目难忘的镜头，置于彼时场景，万千感慨涌上心头；爱或不爱，难道有理由吗？取经与否，难道你能选择吗？烂漫俏皮如紫霞，一颦一笑皆有情，那个脚踩祥云的人，若你心有刹那的异样，一定是我曾在你心里留下的泪。
42$1292213$大话西游之大圣娶亲$拓小云$2018-02-13 01:06:08$237$要救她就得必须戴上金箍，而戴上金箍就不能跟她在一起。以前的我会选择不戴金箍，觉得轰轰烈烈的爱情才是最伟大的，而现在我选择戴上金箍。有时候放手也是一种伟大，就让她一直等待她那踏着七彩云的意中人来带她走。
43$1292213$大话西游之大圣娶亲$王小邪$2008-02-04 00:37:04$228$笑着流泪...哭着笑出声...影响了太多人太久时间的经典
44$1292213$大话西游之大圣娶亲$琵小歌$2008-11-18 19:32:18$286$感动呜呜……一生所爱
45$1292213$大话西游之大圣娶亲$婷婷爱八卦$2018-02-13 08:26:29$89$周星驰的电影质量可以保证！朱茵太美了！
46$1292213$大话西游之大圣娶亲$抽到2012$2017-04-11 06:29:17$155$很多年以前就看过，我不觉得有那些人所说的那么经典，我也非常讨厌他们的那些意淫和解构，我认为这就是一部拍的还可以的喜剧，至于其他的部分，我觉得是这些无聊的人过度解构了
47$1292213$大话西游之大圣娶亲$多看电影爱电影$2017-02-17 13:23:22$78$那个永恒的经典。永远的周星驰，莫文蔚，朱茵……
48$1292213$大话西游之大圣娶亲$圈地自萌$2018-02-02 17:24:25$64$以前没有看懂过，重温时发现那句，“你看那个人好像一条狗”，蛮残忍的
49$1292213$大话西游之大圣娶亲$豆辛瓜辛$2018-01-17 13:48:26$76$好像一遍真的看不懂，可能阅历不够吧，什么时候看了第二遍第三遍…懂了后，我会再来。
50$1292213$大话西游之大圣娶亲$老阿飞—故园$2006-01-08 17:40:10$181$伴我成长
51$1292213$大话西游之大圣娶亲$吃薯片的猫$2018-01-26 14:20:27$60$星爷经典，港片必看，他和吴叔掰开前，功夫？之前的片基本都好看。
52$1292213$大话西游之大圣娶亲$、佚$2018-02-10 22:39:36$55$刚又看完大话西游系列忍不住过来拉高一下评分，最爱的国产喜剧电影。
53$1292213$大话西游之大圣娶亲$卡戎$2017-04-12 00:47:23$178$封神了？我觉得一般 
54$1292213$大话西游之大圣娶亲$欣欣向荣$2018-03-09 21:05:06$171$大圣去取经了，城楼上的和自己长得一样的人类和一样的紫霞仙子，过着愉快的生活，有点悲伤。
55$1292213$大话西游之大圣娶亲$焖面$2020-01-05 13:28:24$66$"什么年少不懂星爷，就一群成年人犯矫情用带入感看这部灯光烂、剧情简单无脑的电影。
至尊宝当时对紫霞是在撒谎，他要她的月光宝盒去找他的爱人……他的爱人不爱他才回去做了孙悟空……结果紫霞也爱不成了，落得当和尚取经的故事……一部渣男现世报电影么……
-2020.1.4电影频道重看感想-"
56$1292213$大话西游之大圣娶亲$宁宁$2018-01-12 11:23:24$183$电影第二次上映我是第一次看，我觉得看懂了又好像没看懂……不过紫霞仙子好美，朱茵现在还是那么美
57$1292213$大话西游之大圣娶亲$周男神的迷妹YL$2018-03-15 23:44:57$49$小时候看到的是乐趣，长大了看到的是无奈。被情所困，困住我们的又何止是情？至尊宝变成了孙悟空，我们又变成了什么？随着年纪的增长看懂了这部电影，其实多想仍旧看不懂啊，可惜时间不可逆。
58$1292213$大话西游之大圣娶亲$小熊娃娃$2009-06-22 23:40:11$69$★★★★★ [讲堂] 其实真正的命运没那么巧合也没那么简单。
59$1292213$大话西游之大圣娶亲$godzilla$2018-03-19 19:03:49$60$不懂是情怀还是什么，觉得以前的演员都特别有灵气。
60$1292213$大话西游之大圣娶亲$八月$2018-03-19 19:40:20$37$永远的至尊宝，永远的紫霞，最爱的星爷，最爱的西游改编，有星爷无厘头的笑点，但也有动情至深的泪点，再回忆起来，依然是其他西游改编不可比拟
61$1292213$大话西游之大圣娶亲$三十八级台阶$2016-03-27 18:30:45$54$我一直觉得硬把人生哲理安在这样一部片子上，是赋予了它本没有的深度，给予了它本不该受的荣光。
62$1292213$大话西游之大圣娶亲$grace-xhu$2018-03-19 11:03:28$50$通过无厘头的方式表现电影想表达的内容，或许有的人会开怀大笑过后就忘记了，有的人却流下了眼泪，感受很深 。
63$1292213$大话西游之大圣娶亲$忧伤的德古拉$2022-01-02 18:20:47$57$恕我直言，我觉得影评里什么第三层第四层的的全在放屁。像极了以前小学做语文题，鲁迅说“家里有两棵枣树”，问，鲁迅这么写有什么含义。鲁迅os：我真没想表达啥啊兄弟们🤦‍♂️。也很烦你们一直讲的那句话，什么“再看已是剧中人”“你们还太小还看不懂”（很不想承认但我还真不小了），我的妈起鸡皮疙瘩..真是矫情啊....怎么，要舍身取义啦？要担起重大责任放弃真爱啦？啧啧啧（此处缺一个李安八字眉龇嘴图）。一大帮子人在寥寥几个胡扯的人的引领下硬生生神化了一部片👍为我浪费的这几个小时而向自己道歉。
64$1292213$大话西游之大圣娶亲$命中注定的爱$2018-03-22 07:39:48$48$看过无数遍，一直到现在都不明白电影演的是什么，很郁闷，但是很喜欢里面的一句台词“人和妖精都是妈生的，不同的是，人是人他妈生的，妖是妖他妈生的……你妈贵姓啊？”很有深意！
65$1292213$大话西游之大圣娶亲$世界尽头$2018-03-21 14:47:03$52$我的心上人是个盖世英雄，会踩着七色白云来接我～这是每个女孩子的愿望吧，紫霞把女生的痴情表现的淋漓尽致。
66$1292213$大话西游之大圣娶亲$伊卡洛斯$2011-05-11 20:54:13$134$不开心，就算长生不老也没用，开心，就算只能活几天也足够！
67$1292213$大话西游之大圣娶亲$梦询$2018-01-04 12:04:27$38$经典，看了不知道多少遍了，至尊宝和紫霞仙子看哭了我。一生所爱。
68$1292213$大话西游之大圣娶亲$瓶子不能倒$2016-11-13 15:09:22$114$看了不止五遍了，重映亦去了一次。当紫霞说飞蛾就是这么傻，当孙悟空落寞地远走时，掉下泪来。一生所爱的BGM相当地贴合这个情境，朱茵亦在此片中贡献了她最美的样子和最精彩的表演。至尊宝的梦中，常常回荡的，是紫霞出现时的那一片芦苇。可惜只有开头被猜中，时光寥寥略过，结局是遗憾的。
69$1292213$大话西游之大圣娶亲$薇羅尼卡$2007-07-25 13:08:06$160$我的意中人是个盖世英雄，有一天他会踩着五彩祥云来接我。我猜中了前头，但却猜不到那个结局。
70$1292213$大话西游之大圣娶亲$呆萌小七$2018-03-19 10:44:36$48$我希望紫霞仙子和至尊宝能在一起长相守！
71$1292213$大话西游之大圣娶亲$猫咪.萌萌$2018-01-15 17:22:52$111$这表面看起来像喜剧，实际上就是个悲剧，紫霞仙子和齐天大圣之间隔着500年，500年前的齐天大圣和紫霞仙子的爱情，500年后至尊宝和白晶晶的爱情，那么多的纷纷扰扰，到最后不过是一场梦，真真假假各自体会，
72$1292213$大话西游之大圣娶亲$草上炊事员$2022-07-07 22:54:28$44$最低级的男性神话，女人存在只是因为男人的欲望不纯洁，他的欲望纯洁后她就不复存在。台词经久不衰因为牢牢掌握咱国人缺乏的骑墙的自由，忠贞的目的在前方所以当下被迫做什么都可以，在每一处阵地都有完整的解释权，我表现得逗贫因为我是深情的，我表现得严肃因为我是戏谑的。每一处转折和台词记忆点都像永不会输的俄罗斯轮赌，不懂商业片在许诺观众什么幸福的可以滚了。
73$1292213$大话西游之大圣娶亲$Minta$2015-01-05 10:18:30$81$你以为你在笑，其实你笑完就会哭。紫霞仙子在美梦中。
74$1292213$大话西游之大圣娶亲$[己注销]$2011-03-18 10:43:16$81$很搞笑，但被网上过度夸大
75$1292213$大话西游之大圣娶亲$老鸡｜扶立$2008-01-10 16:45:45$195$永远的至尊宝……永远的斧头帮……
76$1292213$大话西游之大圣娶亲$娜莉梦游仙境$2016-12-31 11:22:53$44$喜欢这种魔幻剧，至尊宝和紫霞仙子的爱情很美，却不能在一起。紫霞仙子代表一大批女性，都梦想能有个盖世英雄，脚踏七祥彩云来迎接自己！朱茵在剧中真的很美！至尊宝帅气，孙悟空有点丑！
77$1292213$大话西游之大圣娶亲$真敷衍$2017-04-14 12:15:08$203$今年的戛纳电影节跟中国完全鸟关系都没有，红毯都懒得去蹭了。我们却还在漆黑狭小的电影院里对着二十三年前被吹上天的电影自我感动，抹一把高潮泪。怎么说才好呢？
78$1292213$大话西游之大圣娶亲$amelin$2017-01-02 01:05:06$41$大学了才在室友的强烈安利下看的。粤语配音看起来有点费劲，不过片子是真的不错。“它好像一条狗啊”现在听起来好像在嘲讽单身狗[😂]星爷那时拍的电影真是很耐看，然而现在……
79$1292213$大话西游之大圣娶亲$sharon$2017-03-19 22:28:04$39$或许我是为数不多的不能被紫霞仙子和大圣之间终究错过的爱情所感动的人之一
80$1292213$大话西游之大圣娶亲$蓝色啄木鸟$2017-03-22 10:39:52$41$补标经典，那会看紫霞仙子真的惊为天人，痴情又灵气逼人的女神！
81$1292213$大话西游之大圣娶亲$林探惜$2013-02-09 13:14:07$39$“我的意中人是绝世的大英雄，有一天会在万众瞩目的情况下来娶我，身披金甲圣衣，脚踏七彩祥云。我猜着了开头，却没猜着这结局。”——用成熟的心认真从头到尾看下来，竟然这么容易猛戳泪点一次又一次。贪嗔爱欲的是短暂尘世，无欲无求的是西游。“我不是傻，这叫做理想。”
82$1292213$大话西游之大圣娶亲$tokimekihansya$2017-07-31 23:22:20$93$真•过誉。从来没看一部评分如此高的电影这么失望过。不是看不懂的优秀，是俗套的无趣。无缘无故的爱情，姑娘们无缘无故的钟情，令人呕吐。剧情也是支离破碎莫名其妙。或许抛开开头感情线还可以令人动容，然而爱一个人怎么不需要理由？能看的就只有碎碎念的唐僧和美丽不可方物的朱茵。
83$1292213$大话西游之大圣娶亲$橘猫爱吃鱼$2018-03-20 07:21:21$39$一部喜剧片如此地打动观众，太有深意了，不愧是经典之作。
84$1292213$大话西游之大圣娶亲$biang$2018-03-19 00:31:27$28$我的意中人是一位盖世英雄，有一天他会身披金甲圣衣，驾着七彩祥云来娶我。————《大话西游之大圣娶亲 》 
