$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
450$1862151$疯狂的石头$efuchan♡$2012-01-24 23:16:35$1$别摸我啊混蛋 没看到我是BMW么...TvT
451$1862151$疯狂的石头$幻影刺客$2009-02-26 20:25:46$1$有点新意。
452$1862151$疯狂的石头$Touma$2010-10-31 01:54:09$0$@MOMA。胶片，加一星吧，不过还是没有疯狂的赛车好
453$1862151$疯狂的石头$W侠客行A$2017-01-25 19:47:17$3$国产版两杆大烟枪。剧情设置合理不拖沓，笑点十足，有料。国产片翻拍的成功范例。
454$1862151$疯狂的石头$Tito$2010-08-17 13:05:47$0$当年艺考考重大时初试影片分析的片子，内容写得完全不记得，只记得题目是《玩转黑色幽默》
455$1862151$疯狂的石头$NaSK$2011-06-21 10:50:42$0$低成本 黑色 国产 小作坊 
456$1862151$疯狂的石头$托尔$2010-04-17 18:24:36$0$看过落水狗和两杆大烟枪 就不觉得好了
457$1862151$疯狂的石头$s以默$2008-12-19 16:07:13$0$就是好玩
458$1862151$疯狂的石头$哆啦做梦$2011-05-16 15:48:48$2$终于看见国产好电影了！
459$1862151$疯狂的石头$magicdreamin$2011-02-11 01:02:13$0$中国版老烟枪 还是不错的
460$1862151$疯狂的石头$我gay家家慌$2010-01-03 17:54:30$0$小制作 大电影
461$1862151$疯狂的石头$然潘$2015-07-20 02:14:36$3$五年后重看才找到笑点
462$1862151$疯狂的石头$黄海$2009-02-05 14:51:02$0$中国比较出名的一部黑色幽默
463$1862151$疯狂的石头$aiya风$2010-05-31 16:44:59$0$笑抽了！
464$1862151$疯狂的石头$451½°F™$2020-05-27 12:48:24$3$拿来主义在本土喜剧类型上的成功嫁接，宁浩的才华在于让观众品尝到完全的「乡土气」，在珠玉的结构与框架上也就确保了电影本身的质量，众多如今如日中天的喜剧明星在片中的表演也有某种「启始感」，作为某种「电影考古」上的价值。
465$1862151$疯狂的石头$山上风下$2010-07-22 15:15:42$0$黑色幽默能拍成这样不错了～～
466$1862151$疯狂的石头$Alfie$2011-09-28 20:40:02$0$一部电影就可以让你爱上一种风格和一座城市的，只有疯狂的石头
467$1862151$疯狂的石头$大智若鱼$2009-02-06 15:53:35$0$小市民的荣辱。
468$1862151$疯狂的石头$品客$2007-05-19 20:00:43$4$实在不喜欢.
469$1862151$疯狂的石头$非思$2006-11-19 11:21:44$0$比想象中的优秀
470$1862151$疯狂的石头$七宝$2008-05-08 03:30:02$0$别（B）—摸（M)—我(W)！！！
471$1862151$疯狂的石头$二去$2007-06-21 15:10:56$0$但中间觉得有点拖沓 但不算大师 算是物超所值 搞笑 
472$1862151$疯狂的石头$童天天$2006-07-26 17:15:24$0$有意思
473$1862151$疯狂的石头$鉛筆04$2008-10-08 04:42:10$0$我觉得，这是巅峰了，巅峰一定是五颗星！
474$1862151$疯狂的石头$静下来$2007-12-22 13:47:27$0$郭涛表演很到位.班尼路和香港大盗是最可爱的反派人物.
475$1862151$疯狂的石头$pksky$2007-07-14 15:13:02$0$抄袭
476$1862151$疯狂的石头$马达在奋起直追$2011-02-12 16:15:07$0$"起码在国内开了个头
"
477$1862151$疯狂的石头$洛洛$2011-03-19 18:48:14$0$虽然很受好评，却不觉得很有趣
478$1862151$疯狂的石头$SL$2007-09-13 08:49:28$0$黄渤！黄渤！黄渤！你不是一个银在战斗！
479$1862151$疯狂的石头$不如的我的$2006-07-23 01:33:25$0$对国产电影的支持
480$1862151$疯狂的石头$毋米粥汪煲$2010-09-21 22:31:14$0$两杆大烟枪的小成本
481$1862151$疯狂的石头$jj007$2006-07-31 01:20:07$0$超傻
482$1862151$疯狂的石头$瑶瑶$2012-09-19 16:32:33$0$还好，笑点多，但是有点浅
483$1862151$疯狂的石头$橘兮。$2013-12-26 15:56:08$0$被人捧得太浮夸了吧，个人感觉很一般，没有那么好
484$1862151$疯狂的石头$jessiestone$2006-09-09 16:42:09$0$06.9.8
485$1862151$疯狂的石头$阿夜$2010-01-26 17:07:26$0$巧合太牛X了。
486$1862151$疯狂的石头$Ms. 团子❧$2009-01-01 03:19:46$0$这片凭什么那么牛？
487$1862151$疯狂的石头$qckf2001$2011-02-17 17:19:55$0$如果没有盖里奇，我一定会为这部电影拍手叫绝
488$1862151$疯狂的石头$沿门听候$2011-01-14 09:23:44$0$导演真不错。
489$1862151$疯狂的石头$M$2006-08-02 22:15:34$0$上海．新世界電影城．大大
490$1862151$疯狂的石头$Cobra$2011-07-09 02:33:47$0$有点小清新的黑色幽默。
491$1862151$疯狂的石头$六哥$2007-04-24 17:46:13$0$半笑不笑之间
492$1862151$疯狂的石头$世纪末日卢瑟王$2011-02-04 09:00:32$0$完全复制了《两杆大烟枪》的喜剧元素，另外还有中国国情
493$1862151$疯狂的石头$黑稻子$2007-01-01 22:41:03$0$感谢宁浩
494$1862151$疯狂的石头$猪头山太子$2010-11-19 22:35:12$0$现在再看，原来导演是在恶搞《暗战》阿。
495$1862151$疯狂的石头$光光$2010-01-18 11:39:07$0$我不知道 为什么第一部这么好 后面的就都没落了……
496$1862151$疯狂的石头$叶子的歌唱$2007-03-01 17:48:18$0$风格模仿两杆老烟枪
497$1862151$疯狂的石头$甜春宝$2009-07-28 09:36:26$0$能看见俩杆大烟枪的影子。
498$1862151$疯狂的石头$狐$2012-07-14 14:49:57$0$并没有想像中的好，可能是他这种格式的东西看多了，审美疲劳……
499$1862151$疯狂的石头$leemajia$2011-05-03 20:08:30$0$其实还行，还有传的那么牛逼
500$1862151$疯狂的石头$豆瓣浆$2009-01-23 16:28:49$0$好笑
501$1862151$疯狂的石头$鹌鹑之丘白桃挞$2007-12-28 04:55:04$0$国内好看、流畅的类型片
502$1862151$疯狂的石头$西看电影$2010-12-13 17:58:44$0$不管你信不信，有些事情真的就是这么巧合。
503$1862151$疯狂的石头$风向未来吹去$2008-03-14 00:04:24$0$很久没看到环环相扣的喜剧了
504$1862151$疯狂的石头$esse$2011-12-21 05:56:20$0$那时我们专程去看罗汉寺，然后坐过江索道往下扔易拉罐。后来过江索道拆了，你也没了。
505$1862151$疯狂的石头$LynnS$2007-06-10 14:55:41$0$黑色大幽默。注意BMW！
506$1862151$疯狂的石头$阿Q$2008-12-30 22:31:50$0$挺好
507$1862151$疯狂的石头$Easy$2011-03-15 13:42:44$0$虽然有模仿嫌疑，但是让人惊艳！
508$1862151$疯狂的石头$ihelen™$2008-05-26 19:59:53$0$逗死了~
509$1862151$疯狂的石头$Daniel$2013-01-04 19:09:46$0$今天又看了一次，还是觉得很经典啊，没把观众当傻子，宁浩是个聪明人，我相信如果《无人区》能放出来给大家看宁浩又更上升一个层次。2006年我还在重庆读大学，再听到重庆话真的很亲切。
510$1862151$疯狂的石头$光与影$2008-03-14 00:41:12$0$"好电影，看过了三遍了
构思很巧妙，剧本设计的很精心"
511$1862151$疯狂的石头$小米子$2008-01-03 07:01:00$0$另外一部我可以背出来的电影
512$1862151$疯狂的石头$木$2007-07-03 14:52:15$0$这是我一生最难忘的两部电影之一，不是因为它的情节，而是因为在看电影期间发生的事
513$1862151$疯狂的石头$bureaucracy$2011-09-10 18:25:09$0$国产支持一下
514$1862151$疯狂的石头$Faust$2014-04-20 14:41:53$2$宁浩的笑点欣赏不来。
515$1862151$疯狂的石头$Belgium$2010-02-25 15:25:01$0$比赛车好多了。顶你个肺。
516$1862151$疯狂的石头$想我说yes$2011-06-23 13:35:51$0$纯喜剧片。台词很有意思
517$1862151$疯狂的石头$柳晤首$2008-10-29 18:53:06$0$抄的不错
518$1862151$疯狂的石头$螟与蝗$2010-03-12 00:03:19$0$中国黑色幽默电影的里程碑
519$1862151$疯狂的石头$二三夏°$2010-06-07 13:53:34$0$我笑了。
520$1862151$疯狂的石头$毛嗑$2011-12-18 07:07:31$0$想不到的线索交缠在一起，yes，巧合，搞笑能不能别那么真实，好不啦
521$1862151$疯狂的石头$东学西读$2010-10-11 11:14:44$0$第一遍乏味，众人笑过之后，我也开始笑了
522$1862151$疯狂的石头$竹傲风$2013-02-01 18:44:26$0$大巴上重看了一次疯狂的石头，一如既往的牛A。
523$1862151$疯狂的石头$小核桃$2006-09-18 23:13:40$0$方言就是王道，做贼就是贼。
524$1862151$疯狂的石头$低碳的尼克$2012-11-24 01:33:28$0$不好看哎哎~
525$1862151$疯狂的石头$coca$2011-02-09 14:18:00$0$国产两杆大烟枪
526$1862151$疯狂的石头$熊不熊熊$2007-06-09 10:54:55$0$因为这部喜欢了重庆方言
527$1862151$疯狂的石头$Aing$2011-02-05 11:47:34$0$一直觉得不好看 比大烟枪差很多
528$1862151$疯狂的石头$Cappuccino$2009-12-30 15:39:46$0$虽然是盗用盖里奇的东西，不过还是表现的很精彩！
529$1862151$疯狂的石头$笑嘻嘻惹$2008-04-06 13:32:14$0$没什么意思
530$1862151$疯狂的石头$GIVIND$2021-09-12 16:06:20$3$久负盛名却一直没得时间观看，技巧型喜剧，充分利用了剪辑叙事，时间线杂而不乱，镜头语言上在国内具有开创性——虽然皆知有两杆大烟枪的影子，但本土化的故事和演员依然亮点频频。// PS. 不过这四颗星也是送给导演的“想法”的，如果说观众的品味各有所好，那我其实并不特别喜欢看这类型的片子。
531$1862151$疯狂的石头$Wayne$2007-01-26 03:32:27$0$好片@!!!!!
532$1862151$疯狂的石头$达瓦里希$2009-05-17 22:21:17$0$我顶你个肺
533$1862151$疯狂的石头$Spotless Mind$2009-03-18 22:44:04$0$翻的还不错
534$1862151$疯狂的石头$京片儿$2008-12-08 16:40:08$0$借鉴的成分过重。但与咱们自己的内容结合的不错。不过为中国的黑色幽默类型开了先河，意义颇大。
535$1862151$疯狂的石头$梦の雅哚$2009-08-17 10:21:33$0$第二遍
536$1862151$疯狂的石头$嘉沐難再續.K$2008-02-19 20:19:25$0$还ok
537$1862151$疯狂的石头$Band大暴走$2011-03-07 13:37:07$0$最印象深刻的竟然是BMW别摸我
538$1862151$疯狂的石头$东星斑$2008-10-12 13:00:28$0$大一暑假
539$1862151$疯狂的石头$谁$2010-02-06 16:40:39$0$当年在班里一起看的  我周围都无聊了  于是打牌
540$1862151$疯狂的石头$信电影得永生$2012-07-16 22:29:13$0$当年的黑马。
541$1862151$疯狂的石头$斯多亞$2007-12-20 21:09:37$0$《偷抢拐骗》《两杆大烟枪》。
542$1862151$疯狂的石头$蛋白斯基$2010-10-05 22:39:50$0$“狗屎滴 高科技~无人驾驶咯”笑瘫了
543$1862151$疯狂的石头$三十$2009-08-30 12:48:31$0$这才是《两杆大烟枪》的模仿品，而不是《赛车》
544$1862151$疯狂的石头$贝琪$2008-06-23 20:23:54$0$那种环境和条件已经很不赖
545$1862151$疯狂的石头$美胖$2007-03-09 23:06:50$0$在我們那兒拍的哦
546$1862151$疯狂的石头$颜颜$2010-10-01 20:37:39$0$小成本商业戏剧及国内现代疯狂喜剧的开山之作
547$1862151$疯狂的石头$一二$2020-10-28 09:29:38$1$中国版两杆大烟枪，节奏明快，结构扎实。一心想得到真翡翠的坏人没有落得好下场，一心为公的好人得到了真翡翠。他送给了心爱的人，以为是假翡翠还大方地承认是假的。但爱人的幸福，两人的情意都是真的，翡翠是真是假还有意义吗？有趣的是，两次以礼物出现真心赠送给女人的翡翠，都是真的。
548$1862151$疯狂的石头$杨淇羽$2011-07-07 11:55:42$0$除了镜头糙点都还挺精彩。
549$1862151$疯狂的石头$残梦碎$2011-09-06 20:35:38$0$模仿的痕迹太明显。
550$1862151$疯狂的石头$Bill$2008-08-18 22:31:48$0$小成本的好作品，叙事风格模仿《两杆大烟枪》，改编得很接地气。
551$1862151$疯狂的石头$碧落亦然$2008-05-10 22:21:12$0$应该是疯狂的贼……
552$1862151$疯狂的石头$赤膊姑娘$2008-09-14 15:40:47$0$大家都说好玩，我没看出有啥特别的。。。。
553$1862151$疯狂的石头$Haze$2006-08-04 19:36:47$0$2006-9-21
554$1862151$疯狂的石头$齊克斯尼力佐飛$2010-05-08 11:04:26$0$真的很搞笑，每个意外串联得十分巧妙但没有过分荒谬的感觉。
555$1862151$疯狂的石头$隐$2007-10-01 11:57:51$4$"中国电影要先学会入流，入主流。
要一大群装深沉的SB真是浪费资源"
556$1862151$疯狂的石头$Sunman$2011-11-13 13:45:05$0$宁浩在向盖里奇致敬。
557$1862151$疯狂的石头$陈牛$2007-07-05 19:33:02$0$小成本能拍成这样不错了，8.0/10
558$1862151$疯狂的石头$画瞳$2010-08-04 08:28:28$0$不错呢，就是还粗糙了点。
559$1862151$疯狂的石头$润昕$2011-10-24 19:43:54$0$用小便池的激光防盗
560$1862151$疯狂的石头$闪闪珠珠$2010-08-26 18:19:25$0$算是国产电影一次新尝试，而且算是成功了
561$1862151$疯狂的石头$Woo$2010-12-19 16:20:08$0$作为普通观众，如王小波说的一样，我们看电影不是为了受教育，而是为了娱乐。对于我们来说，电影只分两种：好看的，与不好看的。或者分的更详细一点：好笑的，与不好笑的。它好看，让我开怀大笑了好多次。对于电影来说，没有比观众走出电影院后说“这片子真好看”再高的褒奖了。随便从哪看都能让人捧腹
562$1862151$疯狂的石头$unsheath$2009-09-18 12:07:43$0$这部片子是我看过的国产戏剧中比较出彩的一个。平民化的场景，合理自洽的逻辑，各位演员精彩的演绎，从主角到配角真没有一个拉跨的。种种巧合叠加了强烈的喜剧效果，虽明知道夸张却没有丝毫违和之感。第一遍看的时候有些情节还云里雾里，似懂非懂，第二遍才看出镜头语言将三拨人或四拨人（厂长公子）的针对翡翠的各种心理行为和行动轨迹结合起来，非常精妙。取景地重庆号称是个魔幻城市，方言台词增加了很多喜感，主要戏分发生的地点都很有“复古感”，非常平民化，人物的塑造非常到位，渤哥凭此片一战封神，“我顶你个肺”更是成为风靡一时的流行语。多年后再看仍然拍手叫绝，依然是同类型影片的翘楚之作。
563$1862151$疯狂的石头$草木有本心$2006-11-02 22:29:43$0$说实话，没发现多么经典，为什么那么多人狂顶呢……
564$1862151$疯狂的石头$然悔悟$2017-04-02 23:12:35$2$喜剧就是这样，把世间的丑恶换一种幽默的方式体现
565$1862151$疯狂的石头$漠$2007-02-05 23:30:42$0$盖伊·里奇
566$1862151$疯狂的石头$骆夜$2007-08-10 18:25:39$0$内地近年来很不错的片子。。
567$1862151$疯狂的石头$鸟甲$2007-02-10 08:55:47$0$2006/7/2，北京，西单时代，lcn
568$1862151$疯狂的石头$我呼吸的空气$2012-01-20 11:21:25$0$在米国CSSA看的为数不多的几部国产片。相当有个性，让我觉得和遥远的祖国联系了起来。评分：9 out of 10
569$1862151$疯狂的石头$神秘金针菇$2010-09-07 12:41:10$0$初生牛犊不怕虎，宁浩处女作实在是惊艳非常，手法故事台词俱是素质很高
570$1862151$疯狂的石头$良夜正迢迢$2008-03-05 20:25:52$0$比想象中好
571$1862151$疯狂的石头$贝塔先生$2007-12-29 22:02:28$0$方言啊，呵呵，听得懂，纯粹娱乐
572$1862151$疯狂的石头$盲忙$2009-03-03 22:59:26$0$06年七夕的记忆...
573$1862151$疯狂的石头$行云流水$2011-04-05 11:39:18$0$这是和于涛刘阳一起看的唯一一部除了乱七八糟视频之外的电影。。。
574$1862151$疯狂的石头$jianmengdao$2008-04-04 00:45:39$0$由此多关注国产喜剧片
575$1862151$疯狂的石头$orangeworm$2011-07-24 23:02:06$0$后面看困了。。
576$1862151$疯狂的石头$紙舞$2010-07-17 09:10:37$0$之所以给三星是因为抄袭两杆大烟枪
577$1862151$疯狂的石头$蘑菇猫会吐泡$2011-10-29 10:50:26$0$两杆大烟枪？!
578$1862151$疯狂的石头$Adios$2010-05-12 23:35:42$0$还行
579$1862151$疯狂的石头$若存$2011-10-01 18:29:13$0$连贯的剧情，中国电影的希望
580$1862151$疯狂的石头$natapeng$2009-05-09 01:15:58$0$叠加的故事很可爱
581$1862151$疯狂的石头$子爵91$2012-05-25 21:16:26$0$太重庆了。
582$1862151$疯狂的石头$小P$2009-09-03 15:40:57$0$尽管有很强的《两杆大烟枪》的风格在里面，但总体的水准还是很高的，毕竟喜剧片的目的已经完成了
583$1862151$疯狂的石头$宽松睡裤又如何$2013-12-08 00:01:25$1$都说此片抄盖里奇，至今未看过两杆大烟枪，也不好评价。但我觉得形式结构上的相仿都是可以接受的，关键在内容上要有自己的东西。比如此片台词上就很活，即便七年后看来依旧逗趣，不像一些国产喜剧片只是通过堆砌当时的网络语言、无聊的俏皮话来糊弄观众。
584$1862151$疯狂的石头$空心人$2008-11-19 21:34:49$0$虽说有中国的两杆大烟枪一说 但还是值得相当肯定 就是好看
585$1862151$疯狂的石头$Amy$2011-04-16 00:38:06$0$火起来之后很久才勉强看完，看完了觉得还不错。其实郭涛根本没喜剧天分！
586$1862151$疯狂的石头$少年派的崛起$2013-11-26 15:15:03$0$一块翡翠引发的故事，黑色幽默，情节环环相扣
587$1862151$疯狂的石头$X$2010-03-29 15:12:57$0$黑色幽默终于也有国货了
588$1862151$疯狂的石头$谋杀游戏机$2010-01-28 19:33:12$0$小成本喜剧票房神话
589$1862151$疯狂的石头$jessie_金$2010-09-15 12:33:44$0$纪念片···那天的万达  我们的吵架片··
590$1862151$疯狂的石头$tony$2007-02-24 02:57:14$0$难能可贵的低投高产.恭喜'老得娃'在另一领域的成功.顺便推荐不错的主题歌'累斗累'
591$1862151$疯狂的石头$Jane$2007-09-19 09:38:04$0$很久没有看到这么好看的国产喜剧了，里面的发言也很添彩。
592$1862151$疯狂的石头$贝克$2011-08-02 20:17:03$0$好剧本，有点意思
593$1862151$疯狂的石头$一路有你$2017-04-21 16:19:35$6$黄渤太有意思了。
594$1862151$疯狂的石头$Icarus$2010-09-01 19:50:39$0$小成本的传奇之作
595$1862151$疯狂的石头$≧▽≦蚊米$2009-03-01 12:30:20$0$要笑死咯
596$1862151$疯狂的石头$yanagi是只$2006-12-22 22:11:09$0$看的有点晚，国内能拍出这样的片子还是挺难得的
597$1862151$疯狂的石头$鹿桥春·韓蕊陽$2007-04-14 15:19:48$0$勇敢的一击
598$1862151$疯狂的石头$这个假了$2012-04-23 23:27:07$0$看完《两杆大烟枪》之后再看这部电影，不得不说宁浩在这个类似题材的电影上处理的很聪明；导演很早就确定了石头的核心，一切关系都因为它而冲突，并且把《烟枪》的英伦流氓调调整个换成了大陆小城市的皮囊，用各种突出的小噱头（譬如山寨货，坑爹商人）来强化故事发生的背景。然后，故事讲的不错。
599$1862151$疯狂的石头$narcissus$2009-02-10 15:57:53$0$因为片名总让我想到疯狂的兔子= =，校友又说死了人，就一直不愿看。其实挺不错的，郭涛演平民角色演的都很好的，这个也是。不过我也就在我爱北京天安门的BGM中以及压上井盖爬不出时笑了笑...
