$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1961963$长江七号$颜良辰$2008-02-12 12:13:47$2352$"你相信我看这部片看哭了吗。
492$1961963$长江七号$DragonProudSky$2013-08-09 16:25:41$1$这是在砸招牌啊，从成年人的角度来看确实非常的一般，甚至烂
493$1961963$长江七号$Sai$2010-09-13 19:46:03$0$我异常讨厌徐娇
494$1961963$长江七号$玄月见草$2010-09-21 16:42:48$0$徐娇真能逗人乐，哭戏也蛮能感染人的，很可爱。
495$1961963$长江七号$小方方爱小兰兰$2019-04-03 08:41:08$2$每个爸爸多少伟大的，星爷真有才
496$1961963$长江七号$暂无昵称$2013-01-01 13:01:53$0$很温情的喜剧片啊。。小男生很亮眼。。
497$1961963$长江七号$天空之城kk$2012-10-25 20:48:35$0$电视不断播。。。不用讲了吧
498$1961963$长江七号$子陵$2009-06-16 12:03:52$0$當周星馳變得那麼正氣凜然，當說教變得那麼露骨明顯——電影還會好看嗎？
499$1961963$长江七号$蓝霉沉皮$2012-03-30 22:26:43$0$徐娇真是千年一遇。
500$1961963$长江七号$秦繼$2008-04-14 00:26:04$0$童趣，真挚。
501$1961963$长江七号$Damselfly.$2011-08-22 11:54:50$0$莫名的就是讨厌徐娇
502$1961963$长江七号$笑非$2008-03-13 10:06:51$0$还蛮感人的。
503$1961963$长江七号$烤土豆和米酒$2017-10-11 21:11:57$1$不骂人，不打架，多读书，做一个对社会有用的人。看哭了
504$1961963$长江七号$洛罗$2010-09-03 18:13:20$0$不是特别的好笑 只是比较冷 感觉如此之差完全是因为周星星以前的片太精彩 以至于有落差
505$1961963$长江七号$Badula$2010-01-10 02:26:54$0$一点都不喜欢
506$1961963$长江七号$light blue$2009-08-16 00:17:16$0$万全是冲着星爷的名字看的
507$1961963$长江七号$尧耳$2008-03-04 01:23:54$0$星爷当老师了。
508$1961963$长江七号$兜兜未来$2010-12-09 23:50:15$0$星爷下坡路的里程片！
509$1961963$长江七号$LEI$2008-03-17 15:42:59$0$比较适合小孩子看，不过还是很感人！
510$1961963$长江七号$。$2008-02-12 20:50:01$0$谁来给我买个长江七号的公仔啊..
511$1961963$长江七号$ahsimsim$2008-02-18 03:06:05$0$故事不完整至此，劇本竟然會寫成這樣，真讓人無話可說。
512$1961963$长江七号$糖纸里没糖果∷2013∷$2008-05-27 10:14:39$0$小绿球球儿还是挺有意思哒~
513$1961963$长江七号$逃之夭夭$2008-03-04 21:14:25$0$真没看出来小狄是个可爱的小女孩演的~真把她当男的了~~感觉这次周星驰没怎么发挥搞笑才能，他自己的戏份也不是特别多~这部电影故事不够饱满，有点显单薄了~但是，我有哭呢~
514$1961963$长江七号$Garcia$2008-03-28 15:20:23$0$小七蛮可爱的
515$1961963$长江七号$eva$2009-10-31 10:00:26$0$7仔！
516$1961963$长江七号$REDEYESKi$2008-07-21 14:29:05$0$不要再讓我看到那個綠球了……
517$1961963$长江七号$某四$2008-05-02 09:52:01$0$不懂，这是堕落还是回归。不过周星星的造型，好正@_@
518$1961963$长江七号$鱼$2009-05-09 20:16:36$0$蛮失望。。等了那么久做出来的电影 
519$1961963$长江七号$uUah$2012-05-04 15:54:25$0$从良的周星驰
520$1961963$长江七号$小魔女熊猫七。$2008-03-01 20:54:31$0$7仔。
521$1961963$长江七号$濛濛$2009-04-14 22:04:49$0$我喜欢7号毛绒玩具和缺电版
522$1961963$长江七号$刘建明$2012-01-25 17:46:14$0$所有未成年角色的性别都是颠倒的....
523$1961963$长江七号$徐小花$2008-02-01 15:44:29$0$没有功夫精彩，但是7仔很可爱
524$1961963$长江七号$到底凡人$2008-03-16 07:09:28$0$等着看下一步
525$1961963$长江七号$丸子猫$2011-01-31 16:10:33$0$哎。。纠结的片子。
526$1961963$长江七号$巴喆$2012-01-20 21:24:11$1$推荐带孩子看
527$1961963$长江七号$鸡毛台$2008-04-14 11:07:36$0$这并不能称得上是“大片”，应是一部温馨的小品，星爷的光辉让你只能忽略剧情上的单薄，不过，那个玩具真的是非常可爱
528$1961963$长江七号$HULIN$2014-02-16 01:38:26$0$神经
529$1961963$长江七号$Monica♥$2012-06-19 19:03:40$0$有意思 特别有意思
530$1961963$长江七号$Le Samourai$2012-01-02 21:21:54$0$这是星爷的电影？
531$1961963$长江七号$文wen$2012-01-11 01:54:00$0$周星驰，快回来！
532$1961963$长江七号$好嘢！$2008-07-23 18:39:13$0$恶心
533$1961963$长江七号$Mmm$2011-07-24 13:20:37$0$你说这等烂片叫我连考虑它要表现的情怀的心情都没有。
534$1961963$长江七号$牡蠣殼$2009-08-29 17:38:29$0$只有打蟑螂的部分笑了,還有!..七寶好醜
535$1961963$长江七号$汽水|不core不得嗨$2008-02-20 02:58:07$0$"大家看了都哭了，我却毫无反应……
很难不怀疑自己冷血了……"
536$1961963$长江七号$麦朵$2008-09-23 10:19:47$0$让我失望……
537$1961963$长江七号$蜘蛛$2009-03-19 12:46:37$0$看完后，我对我很喜欢的周星驰失望了
538$1961963$长江七号$苍★☆☆☆☆$2008-02-23 20:05:53$0$狗很不错
539$1961963$长江七号$bay135$2010-08-27 23:15:48$1$基本上是哄小孩儿。。。
540$1961963$长江七号$拉丝蟹$2019-04-02 17:29:03$2$感觉是星星最后一部好电影
541$1961963$长江七号$immediately$2008-02-23 13:42:32$0$很感人,就是很喜欢星爷教育儿子时候的样子,幽默的他终于成熟稳重咯...
542$1961963$长江七号$大圣娶亲$2008-04-03 18:10:58$0$有很多牙嗔的幽默
543$1961963$长江七号$dodoblast$2008-03-01 01:03:51$0$除了&lt;喜剧之王&gt;最爱这部
544$1961963$长江七号$黑樱桃摩卡$2008-11-14 15:55:01$0$sunny那首歌选的不错，7仔蛮可爱的，各位反串的小朋友也是笑点之一~
545$1961963$长江七号$丸酱！$2010-07-08 16:43:51$0$其中的夸张搞笑剧情还是很有周星驰的调调。
546$1961963$长江七号$墨MO$2012-05-25 17:35:52$0$星爷最烂片。
547$1961963$长江七号$Jerry-Yu$2012-05-25 23:53:00$0$父子情是看点
548$1961963$长江七号$子爵91$2012-05-25 21:27:23$0$可以可以。
549$1961963$长江七号$凹凸曼|㍿$2011-11-19 01:14:31$0$有失水准
550$1961963$长江七号$左左☮$2008-06-26 05:58:09$1$不知道这个是星爷的倒退还是进步，至少这片子不错
551$1961963$长江七号$忘不了$2010-05-10 12:14:53$0$星爷，俺想你了，可是不是长江七号
552$1961963$长江七号$安氏甜品旗舰店$2014-05-28 00:34:19$0$起码看了5,6次了 还是很好看的 总之就是给小孩子看的
553$1961963$长江七号$满川风雨$2008-03-01 20:10:36$0$对周星驰没有什么想法很久了。
554$1961963$长江七号$陌生的天花板$2008-02-11 23:25:45$0$很差！烂剧本，童真带暴力……
555$1961963$长江七号$宇文宙$2012-02-05 13:22:34$0$只有徐娇是亮点。
556$1961963$长江七号$樱桃子$2011-03-09 02:07:52$0$我哭了~
557$1961963$长江七号$Meteora$2008-05-06 11:55:18$0$CJ7
558$1961963$长江七号$小黄豹$2008-03-19 19:46:14$0$周星驰值得尊敬。
559$1961963$长江七号$作别灵$2008-03-29 21:55:34$0$一则玩具广告。
560$1961963$长江七号$豆包儿$2019-07-16 11:19:39$1$前几日陪孩子重看了一遍，真的难看。笑点尴尬的金刚芭比，莫名其妙的恐怖氛围，七仔的“工具人”形象。。。原本以为会有“温故知新”的感觉，然而重看下来还是最初的感觉，非常难看。唯一的新发现是在玩具店的一幕看到谷德昭的背影。
561$1961963$长江七号$无咎$2008-06-05 16:06:25$0$  很好，但没有预期那么好，况且片子片长还不到九十分钟，怎么看都有圈钱的嫌疑，相比之下，《美国往事》就太值得人尊敬了
562$1961963$长江七号$寂地$2008-02-14 19:23:54$2$有点失望．
563$1961963$长江七号$cos$2009-08-24 01:12:31$0$心情不好的时候看这个都能哭。。。
564$1961963$长江七号$裸奔的香蕉$2010-02-13 16:11:01$0$星爷 拍得最一般的电影 七仔是亮点
565$1961963$长江七号$燕燕于飞$2008-02-04 00:40:13$0$灰常一般，恶俗！
566$1961963$长江七号$魔女幼汐$2009-06-08 17:19:20$0$好看的儿童电影
567$1961963$长江七号$不存在的犬小姐$2011-08-22 03:01:04$0$要不是朋友一起要去看，我也不想大年夜的跑去电影院看这烂片。给小学生看看还行。
568$1961963$长江七号$Kylin$2017-02-19 23:07:25$2$那时候可喜欢七仔了 超级可爱 还记得给我推这部电影的人 很久没有联系了 希望她一切都好
569$1961963$长江七号$那山那云那月$2011-08-07 12:04:48$0$长江七号已经热卖了
570$1961963$长江七号$疯眼穆迪$2008-02-02 19:32:19$0$娃哈哈，大中午和老爹蹲电影院，虽然搞笑～励志，但是其实吧，如果不是星爷的电影，或许就连2星都没了，汗，不过永远支持周星星，娃哈哈哈。。。。
571$1961963$长江七号$红袖刀$2010-02-23 18:40:08$0$故事有点单薄
572$1961963$长江七号$Iris$2008-05-06 12:03:09$0$国语版。精神支持周星驰的第一部儿童电影（行为还是支持了盗版）。有些人思维定势太严重。
573$1961963$长江七号$oczero$2008-04-04 19:57:52$0$幼稚片
574$1961963$长江七号$utem$2008-04-13 21:56:25$0$可爱的七仔
575$1961963$长江七号$王小妞$2008-12-21 19:28:27$0$on hu flight
576$1961963$长江七号$草莓__三月$2017-03-13 14:44:27$3$七仔好可愛！！！很好看的電影
577$1961963$长江七号$≌菩提风花$2010-01-17 21:13:27$0$唔。。。=-=
578$1961963$长江七号$慕詩$2017-06-22 09:55:53$2$挺有创意的，看到片里的星爷那么落魄真的很难过。
579$1961963$长江七号$逃跑$2010-04-17 16:00:47$0$星爷最失败的一部了
580$1961963$长江七号$菲林橙$2008-07-03 15:12:37$0$电影院
581$1961963$长江七号$junepig$2008-02-19 11:32:07$0$从前看星星的片子流过这么多眼泪么~？
582$1961963$长江七号$Vivie$2008-05-18 12:20:58$0$失望
583$1961963$长江七号$逼逼叨叨$2008-02-23 20:02:39$0$奇怪我为什么要看。。。哦，陪别人而已
584$1961963$长江七号$mecca$2010-07-11 05:16:47$0$虽然一向不待见星爷，这个片子愚蠢的立意和五元式便餐的快而无当也难叫人满意，但细节上的想象力和CG还是蛮叫人刮目的，至少我们俩都笑且萌翻了好几次，诶诶诶，明珠暗投呀~
585$1961963$长江七号$橘兮。$2012-02-01 15:14:47$0$不喜欢
586$1961963$长江七号$伝説の少女A$2008-04-12 21:44:36$0$很现实意义啊
587$1961963$长江七号$.$2016-03-28 21:42:38$3$周星驰是个有赤子之心的人，国内这么干净的电影很少见了。
588$1961963$长江七号$宫也$2012-02-02 13:55:58$0$情怀很好，可是整个剧本太单薄了。。。
589$1961963$长江七号$科时代$2011-07-10 20:14:01$0$我觉得很可爱啊。
590$1961963$长江七号$烏龍3.3茶仔$2010-02-17 00:34:03$0$星爷毕竟老了。
591$1961963$长江七号$jo$2009-08-02 20:01:04$0$七仔很可爱，然后。。。。没了
592$1961963$长江七号$胡克$2008-04-16 21:52:56$0$如果我还在上小学可能会觉得拍的不错
593$1961963$长江七号$豹豹jion$2008-02-06 12:05:36$0$我想弄只小七～
594$1961963$长江七号$瑋$2008-03-28 16:27:52$0$剧情偏弱
595$1961963$长江七号$chrissy$2009-01-31 20:38:07$0$真的比我想象的好看
596$1961963$长江七号$Sunny$2008-09-14 15:25:03$0$刻意的东西太多了。
597$1961963$长江七号$Youkang$2008-02-05 15:27:15$0$不要逼我骂人~
598$1961963$长江七号$Mathilda$2008-02-12 21:16:55$0$上至我下至我弟弟, 一家老小都笑中带泪了.
599$1961963$长江七号$数人的绵羊$2008-03-11 22:53:37$0$我啊想要一只七仔~
