$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1961963$长江七号$颜良辰$2008-02-12 12:13:47$2352$"你相信我看这部片看哭了吗。
76$1961963$长江七号$一棵开花的树$2008-07-18 13:29:48$0$不喜欢周自己导演的电影
77$1961963$长江七号$沐夕$2009-10-03 17:53:56$0$败在戏剧冲突
78$1961963$长江七号$拎不清了不起$2017-04-13 08:06:51$6$现在徐娇长大了。长江七号也是经典了。
79$1961963$长江七号$谋杀游戏机$2009-09-11 18:26:18$1$merchandising很成功
80$1961963$长江七号$酱爆$2012-06-24 16:56:05$0$又是部转型作，都快变成幕前客串了。
81$1961963$长江七号$壹安²$2014-07-04 13:53:38$3$当年的周星星一年三四部电影，现在的周大导三四年一部电影。《长江七号》几乎没有了他早期的表演风格，基调也太深沉。而且整部电影更像是为了捧红当时的新人徐娇。所以这是一部“很不周星驰”的周星驰电影。
82$1961963$长江七号$blb$2010-07-07 09:13:43$1$烂片补记
83$1961963$长江七号$mon babe$2010-02-21 18:13:18$8$跟妈妈一起看的，CCTV6，想起以前爱妃给我讲述的情节，那情景还历历在目。我和妈妈笑得前仰后合，真是开心，希望这一刻永远延续。现在我对亲情电影的抵抗力为零，可能是越来越老了吧
84$1961963$长江七号$Andy$2008-02-01 19:23:27$0$周星驰也算是主演？不如功夫好看
85$1961963$长江七号$中雪君$2008-08-01 23:35:50$1$星爷低龄化不适合你
86$1961963$长江七号$麦麦吃啥都不胖$2009-12-17 11:10:24$1$星爷让我们失望了。。。
87$1961963$长江七号$Top♛Ace$2008-05-26 23:58:48$0$……无话可说
88$1961963$长江七号$大脸$2008-12-18 18:41:00$0$在电影院里的我，没笑
89$1961963$长江七号$小小白药不能停$2011-03-30 12:22:19$0$这个不好，很不好。
90$1961963$长江七号$X$2017-05-29 13:13:04$3$新一代的周星驰电影我都不太习惯，家里至今还有七仔的毛绒玩具
91$1961963$长江七号$小变态$2008-05-12 13:42:51$0$回头是案啊
92$1961963$长江七号$天生是明星$2008-04-05 16:06:39$0$最后一幕很可爱。
93$1961963$长江七号$Anni P$2010-11-07 11:18:40$0$里面那个毛绒玩具挺可爱滴～
94$1961963$长江七号$皮皮的皮神$2012-11-03 19:21:47$14$太多的人只能看懂搞笑的周星驰，而看不懂悲伤的周星驰，他们觉得周星驰只能是、永远是、必须是无厘头的，恐怕只有我们星迷能够体会其中滋味吧。
