$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$4873490$失恋33天$哈维尔$2011-11-03 23:55:55$2834$"  真正失恋要经过三个阶段：第一阶段当然丧尽自尊，痛不欲生，听到他的名字都会跳起来。第二阶段故作忘记，避而不提伤心事，可是内心隐隐作痛。到了最后阶段，他的名字与路人一样，不过是个名字，一点儿特别意义都没有。
                                   "
55$4873490$失恋33天$内陆飞鱼$2011-11-12 02:21:29$143$善了你个哉，恭喜电视剧观众占领电影院，恭喜国产电影完美达到中国电视剧水平，你们慢慢看。要听段子相声，我去找郭德纲；要看电影短评，我去找桃桃林林；要找回初恋，我去找张柏芝；要找回失恋嘛，还是找老相好王家卫吧。古德你个拜，慢慢看。
56$4873490$失恋33天$凹凸代餐$2011-11-09 16:49:07$7$看过小说再看电影竟意外的不觉得拖沓 小说里犀利的对白也还原得很到位 满满的共鸣和欢笑 身为一个陈珊妮黑听到《情歌》却被狠狠地打动了 不足的是节奏的掌控太像是电视剧而不是电影
57$4873490$失恋33天$ァ钡宠ぬˇ$2012-05-24 15:22:39$0$完全是一人撑起一部片，我表示是冲着文章才去看的
58$4873490$失恋33天$TrueSiu$2012-05-24 14:49:43$0$都市白领治愈系。其实我也只喜欢陈珊妮的歌而已~
59$4873490$失恋33天$蘑 菇 姐$2011-11-07 23:17:59$92$还是别看了奉劝大家
60$4873490$失恋33天$暴走系乙女药$2012-09-04 11:40:46$0$呵呵后~
61$4873490$失恋33天$八渐谒$2012-05-24 02:52:22$0$去哪儿找个王小贱？ 情节什么的有点勉强啊。。
62$4873490$失恋33天$チョウエイ$2017-03-12 02:47:08$15$失恋不好受，但是姑娘，请你坚强。
63$4873490$失恋33天$菠萝油条虾$2012-05-24 00:46:36$0$黄了一个来月哇哈哈哈哈哈哈哈哈
64$4873490$失恋33天$眠去$2011-11-15 21:15:30$47$“我想是天份不够难掌握，唱不好的你爱我”，陈珊妮的歌出现在这部电影里，显得太高档了
65$4873490$失恋33天$[已注销]$2011-11-09 23:14:57$35$最喜欢孙红雷在刀锋里面的豪迈，然后他演了顾小白。最喜欢文章在雪豹里面的气派，结果他演了王小贱。TAT我只想说你大爷！！！
66$4873490$失恋33天$bo妞$2012-05-23 19:48:35$0$爱情的平衡是相互给予，说白了就是各取所需。
67$4873490$失恋33天$辛弃疗$2012-05-23 21:23:03$0$When does it end ?
68$4873490$失恋33天$握不住的灵魂$2011-11-11 17:52:10$32$平淡无奇 说台词像是高中背诵课文 背完就算了 剧情散的一逼啊 
69$4873490$失恋33天$longlongloss$2012-05-23 18:33:02$0$还行
70$4873490$失恋33天$Cee_C$2012-06-18 16:17:22$0$妈的我忘了这个有被阉过，随便找了一部看，没看到完整版！
71$4873490$失恋33天$Miss。Diao°$2012-05-22 20:35:21$0$挺逗的呀。。。
72$4873490$失恋33天$Trent$2012-05-23 00:54:54$0$盛名之下，其实一般。感觉有d做作，结局也落俗套。倒是里面一些道理有些参考价值。
73$4873490$失恋33天$有心打扰$2011-11-09 04:23:14$11$一个人在深夜里，从凌晨两点半看《失恋33天》看到了4点18分，心再一次湿漉漉的，不是失恋33天，仿佛有失恋了33次的伤痛。片尾的采访，那些被采访者的话语，更是深深地刺痛着我的神经。完整的4星，里面的对白确实触动了我笑的神经线。
74$4873490$失恋33天$紫贝风铃$2012-09-04 20:36:13$0$还不错额
75$4873490$失恋33天$123木头人$2018-03-18 19:47:06$13$男闺蜜暖男在这部电影中表现的很强烈，让人想有一个这样的朋友
76$4873490$失恋33天$叶子$2012-05-22 19:49:48$0$凑合的剧本凑合着看
77$4873490$失恋33天$Dark倌$2012-05-22 22:25:43$0$这是经典，在学校和她看的，却想着另一个不相干的人。
78$4873490$失恋33天$Yiking$2012-09-04 09:51:34$1$京味十足的痞子腔调爱情！
79$4873490$失恋33天$小白乐个不停$2012-05-22 19:43:21$2$我还记得去年他和我分手的时候 借用了一句这个电影里的台词 说 分手不一定是一件坏事 或许是一次重生。
80$4873490$失恋33天$木子$2012-05-23 12:25:41$0$里面的语言挺幽默的，但是我怎么不觉着现实生活中，男女主角这样的人物性格会配呢？
81$4873490$失恋33天$木卫二$2012-01-13 00:59:58$22$电视剧，救中国，我深深地敬佩谭家明和半辈子老师
82$4873490$失恋33天$芦哲峰$2011-11-12 22:21:11$30$台词尚可，镜语不合格。典型的电视剧冒充电影。
83$4873490$失恋33天$神气女侠$2011-11-12 01:41:54$20$剧情简直烂透了
84$4873490$失恋33天$→_→$2012-09-04 15:33:01$0$只是台词比较贱而已
85$4873490$失恋33天$电影狗$2012-09-04 21:05:37$0$"接地气
"
86$4873490$失恋33天$粉红象$2012-05-23 23:59:22$0$不错哟 
87$4873490$失恋33天$烦什么翻妮$2012-05-23 13:46:09$0$王小贱这样的人哪里找。
