$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
32$20435622$环太平洋：雷霆再起$齐木楠雄$2018-03-27 13:55:34$38$前半段真的太长太无聊了，铺垫不够，新驾驶员的戏份太少了，直接从一帮在宿舍里瞎胡闹的小朋友拉过去开机甲实战，一点心理过度都没有，也不燃，最后半小时还行
33$20435622$环太平洋：雷霆再起$蜉蝣$2018-03-23 15:23:57$60$已经完全没有了机甲和怪兽的独特美学魅力，变成两个物体之间的争斗。毫无人类智慧的无脑爽片。最后的大怪兽看起来分明就是荒原狼嘛。
34$20435622$环太平洋：雷霆再起$左宇$2018-03-22 18:17:01$361$对比第一部比奥斯卡更能体现陀螺的水平
35$20435622$环太平洋：雷霆再起$鲱鱼和橘子酱$2018-03-22 14:46:19$600$真的，我应该看的是部盗版环太平洋，山寨货即视感。。。low到爆炸连bgm都变难听了！而且讲真，我竟然他们讲的中文都听不懂得看英文字幕，台词尬到不行。甜甜，求求你在国内发展吧，咱们别出去丢人了：）陀螺回来拍第三部吧！！！最后我要给变形金刚道歉，我错了，我不应该说你难看的。
36$20435622$环太平洋：雷霆再起$🍒$2018-03-23 09:49:03$348$整部片质感很low，男主真的太丑了好赶客，景甜好尴尬，衣服换了一套又一套，不知道她在做show还是拍电影，果然有景甜的都是大烂片，希望她不要再拍戏了！！好喜欢第一部，但是知道是景甜拍第二部就很失望了，但还是去看了，好浪费我的感情！！
37$20435622$环太平洋：雷霆再起$. Hypnos .$2018-03-23 02:06:38$127$点映。看完哭着出影院，不是有机器人就能向隔壁变形金刚比烂的好吗....
38$20435622$环太平洋：雷霆再起$只为你而来$2018-03-22 12:55:56$160$你知道有一套从天而降的掌法吗？
39$20435622$环太平洋：雷霆再起$潇湘烟雨$2018-03-24 20:02:02$29$还行吧，总体不如第一部，特效不错，打斗场面再多一些就好了，看的不过瘾
40$20435622$环太平洋：雷霆再起$Rie$2018-03-23 03:21:46$563$多一星情怀，少了无论在水平还是情趣上都非常Hardcore的陀螺，续作不再是那种黑夜中湿哒哒充满机油迷醉味道的调子，更亮的场景和更灵活的机甲带来的是更为塑料感的观影体验。当然对萝卜爱好者来说依然是不能错过的一大年度爽片，毕竟出现Kaiju和钢大木的世纪大合影这种事情就够高潮很久了
41$20435622$环太平洋：雷霆再起$瑾朵朵$2018-03-24 21:19:33$18$还行，比变形金刚系列强一丢丢，既然剧情不行就应该把第一部的主题曲不要钱一样循环播放呀导演，请你听听群众的呼声
42$20435622$环太平洋：雷霆再起$欢乐分裂$2018-03-23 13:28:15$47$无限怀念四年半前的那个暑假看完第一部时的激动，还能忆起恨不能马上看到续集的畅想。2018年3月唯有靠一小段原bgm不至幻灭到零，不如重温原声更过瘾。将近一半的冗长尴尬文戏铺垫所为何事，宣扬团队精神与家人概念近乎无聊。事实证明：讲不好中文无法拯救世界，颤抖吧歪（异）果（星）仁！
43$20435622$环太平洋：雷霆再起$安德烈大叔$2018-03-24 20:59:21$47$怪兽请暂停攻击一下，中美双方围绕机甲要不要征收30%的关税展开了激烈的讨论，毕竟“301调查”征税门类里有工业机器人项。
44$20435622$环太平洋：雷霆再起$樱花飞舞时$2018-03-23 08:00:44$62$没有第一部有诚意了，整部电影可以用差劲说了。
45$20435622$环太平洋：雷霆再起$托尼·王大拿$2018-03-25 09:21:15$25$什么《环太平洋2》，纯粹就是《变形金刚6》，基本是按一个剧本大纲填充起来的标准流水线产物，德尔·托罗之前所构筑的庞大世界观未能有丝毫拓展甚至还萎缩了不少，灌注的趣味感也消失殆尽。
46$20435622$环太平洋：雷霆再起$Disturbed Angel$2018-03-22 21:40:57$62$比《变形金刚》好看，最后居然出来个组合金刚，比电影版大力神的效果好！
47$20435622$环太平洋：雷霆再起$曾良君$2018-03-24 23:57:44$34$还可以把，超过预期，就是文戏时间拉得那么长，却没有把几个机甲训练员的性格描述清楚，也没有讲他们哪个人训练哪个机甲（我记得1里面大家是不能随意驾驶任意一辆机甲的）而且那么大一个军事基地，又十年过去了，应该有一批成熟的机甲员才对啊，为什么非要让还有6个月才完成训练的学员拯救世界呢？
48$20435622$环太平洋：雷霆再起$恶魔奶爸Sam$2018-03-23 02:09:23$53$整部都很赞，只有最后一招设置的太蠢了，扣掉一分
49$20435622$环太平洋：雷霆再起$Clarence$2018-03-24 09:12:47$41$No 景甜，环太2 is over.
50$20435622$环太平洋：雷霆再起$青年人电影协会$2018-03-23 15:16:32$241$凭空想象的科技也是值得夸奖了，景甜这次演绎的比任何一次好莱坞合作都自然，值得夸奖，电影打斗怪兽可圈可点。胆子大的话，剧情特效都值得去影院一看
51$20435622$环太平洋：雷霆再起$偏要勉强$2018-03-25 20:10:45$34$特效堆砌而成的好莱坞大片，景甜比想象中有存在感。
52$20435622$环太平洋：雷霆再起$20个小明≯$2018-03-23 22:20:08$13$这故事根本让人燃不起来，你拿第一部的BGM逼我我也燃不起来啊……卡司的演技让人捉急，小个女主用力过猛，小东木压根面无表情，这俩人平均一下刚好，令人意外的是景甜相比之下竟然还过得去……话说得亏有大甜甜了，要不然真心更没眼看……
53$20435622$环太平洋：雷霆再起$尽欢$2018-03-23 18:06:39$41$还行吧。景甜没那么尴尬了。
54$20435622$环太平洋：雷霆再起$李小丢$2018-03-23 23:14:22$34$因为第一部的BGM我才给它一星，景甜就不说了，好莱坞那么多有演技的黑人男演员，为什么星球大战和这部都要选那个一点观众缘都没有的蠢蛋？不要以为白天的戏多真实感就有所上升，屁，跟奥特曼打小怪兽似的，机甲和怪兽都没有阴影的，什么鬼！中国特供，人傻钱多速来……
55$20435622$环太平洋：雷霆再起$焰熠$2018-03-26 17:26:55$27$不及第一部 爆米花电影就看一特效吧。前半段不如后半段 打发时间的电影
56$20435622$环太平洋：雷霆再起$18岁的猪肉$2018-03-23 03:28:27$19$我给五星。一，公司参与了一点投资...。二，把大中国说的很NB。三，中国演员、品牌都有足的戏份。然后说电影本身，看的首映，杜比影厅送了海报，开头wtf？大哥单口相声啊。中间也很乱，特别不连贯。结尾更莫名其妙，一下死了？虽然多了机甲vs机甲，但走变形金刚的套路太严重了，本身三星水平
57$20435622$环太平洋：雷霆再起$傲天$2018-03-22 18:09:32$129$其实《环太平洋》就是成年人的“奥特曼”。为什么环2的评价各方面都不如环1，因为换导演了。吉尔莫·德尔·托罗他为了《水形物语》推掉了环2，结果大家都知道了，《水形物语》成了奥斯卡大赢家，最佳影片，最佳导演。系列电影除非第一部口碑票房双扑街，否则不能轻易换导演。
