$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25824686$变形金刚5：最后的骑士$杰尼杰尼$2017-06-20 08:26:37$4481$从初中拍到我工作，一堆废铜烂铁炸了十年。
40$25824686$变形金刚5：最后的骑士$方枪枪$2017-06-23 02:40:07$99$从第一部开始，该系列的惊喜就在一步步被消磨中，主要问题还是一切都太太套路了，这部也一样，优缺点依然很明显，典型的美国爆米花电影，就像看A片一样吧，过程很爽很刺激，但完了之后呢，大概也就是那样吧。不然你回想一下，这系列到现在，除了零星的片段，你还记得究竟讲了啥故事吗？
41$25824686$变形金刚5：最后的骑士$小岩井$2017-06-23 20:35:49$59$槽点1.权杖那么重要的东西，塞伯坦的骑士们竟然轻易给了一个人类酒鬼骗子巫师？2.明明新闻在放地球很快就要完蛋了，女主角的一家人还在关心催婚。3.擎天柱发扬宇宙主义圣母情怀，帮助人类把自己的母星毁了.......这种爆米花电影，还是别带脑子看比较开心......
42$25824686$变形金刚5：最后的骑士$国产凌凌期$2017-06-23 22:00:21$34$①抵制某狗音乐和某信二手车，比某牛奶还（粗鄙之语）恶心。②五部里面唯一看到想睡觉的一部，没有丝毫热血的感觉。开头二十分钟都剪了一堆什么东西出来，各种想要铺开的线索毫不负责的拧巴在一块。前半部是卖拷贝找人代工的吧。编剧栏众多人手写了个系列最烂。③老角色回归了高兴，不过存在感真尴尬。
43$25824686$变形金刚5：最后的骑士$redhousepainter$2017-06-24 19:13:26$85$一共睡了三次，有次醒过来看见霍普金斯说莎士比亚，伽利略等等都是保守变形金刚秘密的协会成员……fuck！我建议第六集拍变形金刚协助我党二万五千里长征！！
44$25824686$变形金刚5：最后的骑士$amkw$2017-06-23 13:42:51$110$Isabella頭上那兩條頭髮能不能別這麼礙眼啊，簡直逼死強迫症
45$25824686$变形金刚5：最后的骑士$嘟嘟熊之父$2017-06-23 17:21:24$99$完美隐喻当下。永远的吵吵闹闹忙忙活活，却没有人知道他们在干嘛。
46$25824686$变形金刚5：最后的骑士$北流$2017-06-24 17:36:50$81$多年失哑儿子开口说话唤醒弱智爸爸。
47$25824686$变形金刚5：最后的骑士$MR.Charles$2017-06-23 03:52:56$73$hiusjufbjijhjjsfightdjsiosnwnbombsisjwnexplosionwhshbdbwwhatfuckjusthappenddhsjsndhdjfighrekizjekilldbiejsshotdhsjsnthatbitchsjdjjffuckjejsh
48$25824686$变形金刚5：最后的骑士$妖比桃花$2017-06-24 13:49:58$7$看画面啊！很好了呀~变形金刚都看到5了还在等剧情的孩子，怪不得别人。
49$25824686$变形金刚5：最后的骑士$乌鸦火堂$2017-06-25 01:21:29$48$作为从G1时代就入迷的老粉丝，最不能忍的。不是混乱的故事和崩坏的人设，而是变形金刚全体打酱油，机器人戏份系列最少，这次连变形金刚过程都省略了，下一部你干脆换个名字的了，这片绝对是不好好拍，9位编剧也写不好个命题作文，都跑题了。只喜欢两个地方：霸天虎全员亮相，热破变形把女主角甩飞
50$25824686$变形金刚5：最后的骑士$夜神月的猫$2017-06-23 16:02:27$20$1、如果人类政府不和擎天柱对抗，剧情基本可以砍一半！2、外星飞船像巧克力曲奇一样脆的掉渣，如果人类提前使用核弹，这部片已经没有存在意义。3、超爽全程全屏的IMAX视效值回票价。4、只是，有多少人希望是编剧团队之一，来拉高这部片的智商，唉~，卖拷贝好像也是全程在呐喊他是真的不想再拍了~！
51$25824686$变形金刚5：最后的骑士$喃 大 丢.ai$2017-06-23 11:48:29$85$机器人打群架就好好打，强行安排个寻根溯源桥段有什么意义，又不是达芬奇密码！人类也是可怜，一战遇到神奇女侠，二战遇到神盾局和美队，现在连亚瑟王和梅林都不放过，人家统一个不列颠还要遇见变形金刚，照这么下去过几年我党估计能在延安开高达。人物和剧情完全没出场必要，两星给特效再见。
52$25824686$变形金刚5：最后的骑士$崇子$2017-06-23 02:51:17$74$想表述的故事线太多，然而又说不清楚，感觉乱七八糟的。像一只在农场里偷玉米的灰熊。虽然很紧张，但还在一边跑，一边胡乱掰着玉米…镜头也切换的很随意。
53$25824686$变形金刚5：最后的骑士$诸葛若见$2017-06-24 19:02:48$52$《新木乃伊》得感谢《变形金刚5》，变5夺走2017年好莱坞第一烂片的称号！男女主各种尬聊，编剧是不是大陆婆媳剧看多了？卖拷贝彻底不要脸，这次亚瑟梅林变形金刚一起亚克西，下次中国特供版闹个孙悟空大战变形金刚，都不惊奇。
54$25824686$变形金刚5：最后的骑士$菠菜$2017-06-23 22:02:53$57$没睡着是我坚强。。。
55$25824686$变形金刚5：最后的骑士$水湄物语$2017-07-04 13:44:04$12$其实我真的觉得还好。只不过不要当变形金刚系列看，把它看成擎天柱大黄蜂参与演出的《达芬奇密码》+《最后的武士》大片就好。
56$25824686$变形金刚5：最后的骑士$托尼·王大拿$2017-06-26 13:46:33$33$不清楚是不是卖拷贝最后一次拍《变形金刚》，反正一定是我最后一次花钱去电影院看《变形金刚》。
57$25824686$变形金刚5：最后的骑士$熊野爷(老年版$2017-06-24 13:01:18$52$极少打一星，但这一部彻底就是电影工业流水线生产出来的垃圾，庞大复杂但毫无诚意。情节推进支离破碎，为了炫技而炫技，结构设计基本就是网络微电影水平。这种垃圾，烂到不能称之为电影。
58$25824686$变形金刚5：最后的骑士$滚滚的麻麻$2018-01-02 21:28:03$45$变形金刚怎么堕落成这样，前面开头的小孩子出来干嘛的，莫名其妙。
59$25824686$变形金刚5：最后的骑士$丁小云$2017-06-23 19:29:19$17$三星半吧，看睡着了。这种电影，何必搞这么复杂这么又闷又长（复杂还不是诺兰版蝙蝠侠那种复杂）。这么多集电影版变形金刚看下来，唯一留在脑海的就是梅根·福克斯的惊世性感……
60$25824686$变形金刚5：最后的骑士$河狸$2017-06-23 19:51:23$13$一部看特效看场面的爆米花影片，讨论剧情就没意思了。
