$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
51$1578714$神奇女侠$陀螺凡达可$2017-06-08 04:09:12$61$派恩的角色写的不错
52$1578714$神奇女侠$栗$2017-06-05 12:37:59$77$看完之后才发现导演是那个拍过《女魔头》的女人。一瞬间明白了为什么女主角的母性光辉毫无说服力，而亚马逊女战士对抗德军男人们的情景却拍得如此动人。至于男主角，当童话看就好了，从天而降的纯情帅哥，给你完美的吻，激情初夜，然后为了爱与和平变成天上的烟火。
53$1578714$神奇女侠$种田小懒包。$2017-06-01 11:23:43$517$又臭又长，全程灌输爱与和平毒鸡汤( ･᷄д･᷅ ) DC能不能争口气！还指望你们吊打漫威呢！唯一亮点大概是亚马逊人真是身材好！女主仿佛国外版安吉拉北鼻，大眼厚唇瞪眼睛！好多表情不知道做来干嘛的！迷之尴尬！
54$1578714$神奇女侠$内陆飞鱼$2017-06-07 09:19:42$38$欧美小电影公司可以跟风，拍一套成人版，叫拉拉land，把天堂岛母系氏族社会和宙斯的爱欲情仇，拍一遍，一定活色生香。又名，你的长度超过平均值，我的套索拴住你的心。
55$1578714$神奇女侠$Evenc伊文西$2017-06-02 15:59:03$79$一部中规中矩的电影就是DC翻身之作了？DC电影在你们心里究竟是多差？
56$1578714$神奇女侠$瓦力$2017-05-30 15:31:50$64$文戏过重，节奏略慢，动作戏酷炫但气短不够爽。大boss藏得好可存在感低也弱，DC反派理应往更高了走。高颜值不会飞女超人带小男友拯救世界，在超英片男雄遍地当下独树一帜，派派负责DCEU迄今最悲情一幕，I can save today，you could save the world...其实背景放二战更合适，一战哪有正义性可言。7/10
57$1578714$神奇女侠$余小岛$2017-06-02 15:40:49$431$人类自私、胆小、懦弱、无能，但是人类有爱啊，所以我们不能毁灭他们。。。。。这么多年过去了，还是靠这么点梗。。这片子除了剪辑流畅一点，女主好看一点之外，一无是处；剧情一塌糊涂，满满的槽点；配乐简直太省力了；还有又臭又长的无聊对话；根本想不懂怎么就被吹上天了。。。。
58$1578714$神奇女侠$嘎啦$2017-06-01 22:11:58$335$DC你能认真点么。。。
59$1578714$神奇女侠$工藤新一的猴子$2017-06-01 16:08:41$190$口碑爆裂啊，劇情合理而且張弛有度，戰鬥場面十分滿分打十分，女半神vs 一戰士兵的打鬥雖然一面倒但是找回了無雙的快感。而這些都是其次的，女主這個選角是神跡。可以說是DC的鋼鐵俠了，一邊看一邊讚歎怎麼能有人集合最甜美和最剛強於一身。不看會後悔！
60$1578714$神奇女侠$离离塬上草$2017-06-01 16:06:46$132$女神超帅,captain trevor也超帅啊！captain还骑摩托人设也有点他队的意思，不过在我这儿比他队帅多了。在我这儿这部应该是dc最好看的一部或者说目前唯一好看的一部了。
61$1578714$神奇女侠$心生$2017-05-31 22:24:10$66$神奇女侠太帅，盖尔·加朵太帅！当初看完《蝙超》就满脑子神奇女侠，这次单人电影更是疯狂给，再加上标志性音乐时不时响起，好几处被燃到，对女侠我只能服了我……
62$1578714$神奇女侠$无奈无赖，。$2017-06-01 19:54:58$339$一出圣母成长记。为了打造一个能与主角抗衡的反派，已经不在乎逻辑了。男主狗带的莫名其妙。       ——8.2降到7.6了，还应该再降一点，差不多6.0到6.5的水平
63$1578714$神奇女侠$Eve|Classified$2017-06-03 12:10:42$16$你们给我2011年想看的标语打了592个有用……我来报告一下，还是单身……好像没什么悬念……==（又及，但是这些年在豆瓣认识了很棒的朋友，今天我们一起看的电影！如何不爱豆瓣……）
64$1578714$神奇女侠$美女菜kun$2017-06-01 22:14:15$25$超级英雄真的是少见女人，我女神真的是太帅了！很精彩的电影！推荐！
65$1578714$神奇女侠$蜉蝣$2017-06-02 23:14:39$200$几乎每场戏都是稍微搭建好框架后马上中途垮掉，所有配角的前期特征铺垫都没有用到。战争戏烂得没法描述。大爱的主旨完全没有同理心，世界观一句话一变。各种类型片的烂梗。感觉也就看了场加朵个人的维密。多半星给没有彩蛋。
66$1578714$神奇女侠$seabisuit$2017-06-02 03:45:56$534$初恋拯救世界拿反派练级，DC继续往高大上的路线走到黑。一张照片引发的前戏居然搞了这么冗长，从女儿国到伦敦和战场，充数了男与女和原始到现代很多烂俗的梗还有无味的配角。冷兵器一战背景混搭神力，毫无悬念的炫技打斗戏，全为了塑造单纯的加朵女王和展现她的绝对领域，派恩淡定，万达IMAX3D。
67$1578714$神奇女侠$米粒$2018-01-26 22:20:48$50$加朵很美。但是剧情如意淫，打架如SM。。。可别提女权了，求求您
68$1578714$神奇女侠$草威$2017-06-03 16:45:29$32$打啥啊，谈恋爱得了，船上那场戏写得夺好啊。
69$1578714$神奇女侠$浆糊骗子$2017-05-31 23:59:35$474$女的设定唯一的作用是讲荤段子 改成男英雄就是非常普通的流水片了而且完全不影响发展  现在的趋势是再肤浅的剧情能撑过两小时就算大片 剪三十分钟版本的那位请出来教教导演如何做人
70$1578714$神奇女侠$艾晨$2017-06-03 15:38:07$45$"中二女神下凡尘，有如哪吒变了身。
单枪匹马有光环，你叫别人怎么玩。"
71$1578714$神奇女侠$䒳$2017-05-31 22:51:57$132$Superhero and gender equality movie should be done at this way！
72$1578714$神奇女侠$大奇特(Grinch)$2017-05-31 22:50:47$19$好像反串版“雷神”来到“美队1”的主场，不过DC算是找准了一定的节奏，不至于像《钢铁之躯》《超蝙》那样暗黑，也不至于像它们将太多人物性格和剧情支线介入主干，使用女性导演也纳入了女性视角和现代视角，更不至于像1975版那样女权。只是中后段陷入情节窠臼，反派出现突兀打斗也是审美疲劳。
73$1578714$神奇女侠$桃花石上书生$2017-06-04 21:56:30$62$女演员大多数都是很漂亮，可是很少有人美到真的打动你，美到占满银幕，女主又美又有力量，真是世界之光，以及电影里男女主角以及所有亚马逊女战士都身材好到炸，看了只想立刻去操场跑步
