$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$2131940$魔兽$隐$2016-06-07 01:00:31$3030$请接着往下拍！
35$2131940$魔兽$纸巾跪族$2016-06-08 07:38:09$165$所以说情怀很重要，这个东西在国内非常吃得开，反正我个人觉得不是一部好电影，但是看看国内影评，简直爆炸了一样，我们看的是一场电影吗？别的大片首映场imax 100左右，这一部要200……卖的是情怀，看的是情怀，情怀永不为奴！
36$2131940$魔兽$偶见$2016-06-08 12:07:23$144$"先1星降降温

现在打分：3星
各种尚可，最终还算合格"
37$2131940$魔兽$怒风$2016-06-08 05:36:03$160$什么玩意？正因为是从05年开始玩的老玩家，所以忍受不了这样乱改的魔兽。看这个就像看国内那些歌唱节目一样乱tm改歌，你说你改得比原唱好还行，改得烂得一比还老喜欢改，真恶心。
38$2131940$魔兽$有寂$2016-06-08 02:05:12$73$希望越大 失望越大 但还是要给五星 给艾泽拉斯
39$2131940$魔兽$灵魂$2016-06-07 22:30:18$71$必须5星…就冲我对魔兽的爱。玩过魔兽的我们都知道。我们是单纯的生活在里边…部落万岁！不是五星的都去屎
40$2131940$魔兽$Wonder真澄$2016-06-07 20:21:15$76$艾泽拉斯传说 我们永恒的魔兽世界
41$2131940$魔兽$X$2016-06-06 13:32:56$131$并没玩过游戏甚至没看人玩过，全程什么鬼。出来后对基友说I don't understand though... （about that magic thing）基友说：what? I don't know what to understand in this movie, or not to understand so to speak．2333322
42$2131940$魔兽$夜光$2016-06-08 03:47:50$86$令人出戏的伽罗娜，乱改的设定，五毛的特效，强行推动的剧情——至此被贴上烂片的标签
43$2131940$魔兽$C h r i s . W$2016-05-31 05:21:14$55$我就是魔兽脑残粉 5星妥妥的 但是道理我都懂 杜隆坦你儿子萨尔为什么是绿皮的 为什么为什么为什么？ 这电影对魔兽玩家的震撼太多 麦迪文 卡德加 洛萨 莱恩 古尔丹 暴风城 铁炉堡 达拉然 卡拉赞 这些熟悉的一切再次出现在眼前还是忍不住落泪 当黑暗之门被打开 德拉诺和艾泽拉斯相连 这还只是一切的开始
44$2131940$魔兽$Anemone$2016-05-26 06:46:21$65$不少地方很仓促有的演员表现力甚至还不如cg首轮口碑不佳票房可能不一定大爆……我可以跟你说上几百字的缺点但是，最后一句为了联盟响起的时候我知道自己绝对会看第二遍
45$2131940$魔兽$戚阿九$2016-06-08 02:15:27$139$真特么是难看炸了 本不想踩一捧一 但比起几天前天启结束时的全场鼓掌 这次魔兽的蜜汁沉默 简直不能更尴尬
46$2131940$魔兽$清文$2016-06-08 12:40:18$108$"和小时代一样的粉丝电影，还谈什么高贵呢？不就是比谁的脑残粉多吗？


好久没看过这么贵的电影了，心痛。"
47$2131940$魔兽$笑挽冷风$2016-06-08 14:07:51$57$电影远没有游戏带来的真实刺激、大气磅礴，尼玛结局也忒草率了吧，真是侮辱了我的青春
48$2131940$魔兽$请不要害羞??$2016-06-08 09:07:35$62$那些说不好看的黑子滚吧！需要你看了？你们玩过魔兽？懂得为了艾泽拉斯！懂得什么联盟？什么是部落！
49$2131940$魔兽$麻绳$2016-06-08 17:34:00$63$情节、制作无不粗糙，全片看不到一点新意和灵气，只有音乐是合格的。120分钟因乏味而显得无比煎熬，磨叽到最后发现只是一个漫长的前戏，你耍我啊？我想我即使玩过游戏也不会改变上述看法。
50$2131940$魔兽$同志亦凡人中文站$2016-06-10 13:25:34$95$仿佛看到“魔戒”隔着一个decade传来的法式不屑，1粉抵10黑这话没说错，韩棒粉、小时代粉、魔兽粉你们一战吧，让我看看到底谁是脑残界的No.1...
51$2131940$魔兽$小儿勾$2016-06-08 10:03:24$49$雪中铁炉堡神还原 狮鹫不管游戏里还是电影里都是PVP满分 作为一只掌握了邪能的绿火术士看到我那绿色祖师爷古尔丹倍感亲切 为什么铁炉堡到暴风城只能狮鹫呢因为没侏儒就没有地铁呀:P 五星是感情分 | 160608 和平影都 with 狼人猎人
