$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
50$24879858$分手大师$相逢何必不认识$2018-02-09 18:59:03$32$当时看到这部和恶棍天使，我还以为邓超是疯了，事实证明疯了
51$24879858$分手大师$有凉风$2014-06-27 11:03:10$30$烂大街的段子加上《万万没想到》级别的特效，以及几近疯癫的表演凑成了这部大杂烩，起初对于这种不要脸的行为理解不能，当看到结尾字幕改编自某话剧时才幡然悔悟，于是不经感叹网络段子手才能拯救中国电影的未来，
52$24879858$分手大师$EL_CR$2018-01-11 15:34:28$40$呃…个人觉得不算是一部好的作品吧…看过之后都不太记得电影演了些什么…演员就不评价了…自认为还不太够格去评价别人…
53$24879858$分手大师$找不到我$2014-06-27 10:30:15$523$我觉得挺好看的 为啥豆瓣上的人给的评价都这么低 我觉得能把全场观众逗乐就是一种成功 难道看个电影还特么要跟看个鲁迅文集似的结合上下文谈谈你的看法吗？？
54$24879858$分手大师$豆苗$2014-06-27 11:44:31$30$原来真的有看到一半想走的电影啊…亏我以为另一个徐峥又诞生了，原来只是出了一个没头脑让买了票的人看完都变成了不高兴。
55$24879858$分手大师$iokanaan$2014-06-22 23:45:15$48$以疯戏著称的邓超，在导演首秀中卖命不遗余力，全片笑点奇多，但生硬而缺乏幽默，看后即忘；同时也犯了诸多处女作导演的通病，恨不得将自己多年来对电影拍摄的理解，统统塞在第一部片子里，想要表达呈现的东西过多，但又缺乏娴熟的驾驭手段，于是整部电影杂、散、乱，缺乏流畅。
56$24879858$分手大师$易老邪$2014-07-08 16:00:44$25$呸！
57$24879858$分手大师$五摆五折$2014-06-19 17:54:26$47$邓超靠着装疯卖傻愣是硬撑了将近俩小时，在一个笑点过后总是会陷入无处可笑的尴尬，剪辑混乱，故事无趣，北京的天空是被您俯拍了多少次？
58$24879858$分手大师$鱼缸式仰泳$2014-06-27 08:41:26$21$杨幂出产，必是烂片。
59$24879858$分手大师$Tatellah.$2014-06-27 13:09:04$23$为毛谈恋爱的时候总要被拉去看这种虐心的二逼电影...真是催人尿下
60$24879858$分手大师$Sunny$2014-06-25 17:21:01$21$不是你演喜剧 就是喜剧 自认为喜剧 在别人看来就是悲剧 最后还给一个星的翔剧
61$24879858$分手大师$胡桃$2014-06-19 19:26:19$54$我就知道豆瓣狗们看到杨幂就要给这片打1星噜 真想把你们都吸进淋逼惹 【我今天看了点映很好看好吗 你们带着有色眼镜当然觉得难看噜呵（呸呸呸你们一脸）
62$24879858$分手大师$两位数$2014-06-27 12:10:48$26$电影自从有了周星驰，于是很多人都自以为能成为周星驰，而事实上这些人拙劣的模仿实在叫人恶心。
63$24879858$分手大师$笋笋$2014-06-26 21:29:17$17$真的是恶心吐了 完全没有任何值得记住的地方 摄影 声音 编剧 表演都是low到不行 在电影院从来没有这么愤怒过 还想跟变4拼票房？等着哭吧
64$24879858$分手大师$不森$2014-06-27 13:27:15$25$不出所料 烂片
65$24879858$分手大师$嘟嘟熊之父$2014-06-26 21:17:45$20$再美的杨幂也救不了邓超的自我膨胀。
66$24879858$分手大师$vamos S$2014-06-27 10:38:31$17$不知这部电影意义在哪
67$24879858$分手大师$糖豆$2018-02-08 10:01:53$22$剧情狗血，邓的演技需要好导演加持，自己导演完全放飞了，浮夸尴尬，这么多年了杨的演技还是那样
68$24879858$分手大师$jessica$2014-06-20 21:29:15$105$什么叫天雷滚滚？这就是天雷滚滚，妈蛋的一个个场景穿成剧本，是好笑，但是这又不是话剧，场与场的中断也太明显了吧，而且片子整个剧情雷到爆。我知道今天媒体场有不少人站着看，但是中途受不了走的也有一些
69$24879858$分手大师$不曾离开$2018-03-15 10:02:38$16$不好笑硬是搞笑女主的面无表情真可怕
70$24879858$分手大师$亵渎电影$2014-09-08 13:21:34$13$也许看话剧会更好点。
71$24879858$分手大师$YU$2014-06-26 20:56:24$20$邓超老老实实演电影就够了，杨幂老老实实闻臭脚也够了。。。
72$24879858$分手大师$我叫大圆脸$2014-06-20 08:24:42$6$看过点映，邓超是下一个王晶的节奏么？
73$24879858$分手大师$没有好的$2018-01-24 22:39:41$32$听说前几天的微博之夜king queen是邓杨？想到了历届金扫帚奖，拉着进度条观赏了分手大师 我以为能有多差 有恶棍天使差么 有小时代差么 有爵迹差么 看了我才知道对比出真知 真的差不多了 邓超有演技啊幸福像花儿一样艰难爱情乘风破浪都很好啊 怎么拍出这种片子 两分给我记忆中的白杨
74$24879858$分手大师$闲人$2014-06-26 16:30:09$16$只看预告片就感觉它又要创历史新低分了。。
75$24879858$分手大师$安短$2014-06-27 01:25:24$25$导演得了二次元综合症。
76$24879858$分手大师$BOSSLIU$2014-06-27 13:56:30$25$恶心
77$24879858$分手大师$麻绳$2014-08-30 15:41:06$18$原来以为他们只是不懂喜剧，后来发现他们根本就是不懂电影，只是来糟蹋电影的，在两千万观众的鼓励下，他们还糟蹋得理直气壮的，甚至糟蹋出崇高感来了。
78$24879858$分手大师$tttbaolattt$2014-06-23 14:51:45$19$你们觉得还用看么？
79$24879858$分手大师$艾米纳姆$2014-06-27 12:36:37$19$恶俗 低俗 无聊 恶心 烂到家了 还真有人捧！
80$24879858$分手大师$neurasthenia$2014-06-27 10:21:14$12$✌️人格魅力体现不在电影里是一种失败，杨幂的电影有高过7分的么？！
81$24879858$分手大师$smile bird$2014-06-26 18:01:45$13$巨差无比，一分给柳岩
82$24879858$分手大师$mr.li$2014-05-28 07:52:27$19$大幂幂的电影从来没有上过五星，所以提前黑
83$24879858$分手大师$Obtson$2014-06-26 22:45:07$23$其实怕被忘记，至放大来演吧。
84$24879858$分手大师$沛$2014-06-27 05:47:54$15$这是电影吗？小品都算不上，一再坚持，还是没法看到最后
85$24879858$分手大师$午夜骑手$2014-06-24 14:09:21$12$不被变4虐死才怪，话说这等烂片被虐也实属正常。
86$24879858$分手大师$Reaper$2014-06-26 20:18:08$11$大！烂！片！0分！要不是抢的10元电影票谁特么来看这玩意儿！里面居然还有韩寒客串卧槽！！
87$24879858$分手大师$黄青蕉$2015-12-29 13:14:00$25$别人也就罢了，邓超这样搞自己真是他娘的浪费
88$24879858$分手大师$yyq$2017-04-08 00:17:47$15$我真的想说神经病啊
89$24879858$分手大师$诸葛若见$2014-06-28 21:05:11$13$满屏屎尿屁玩笑，各种三俗段子层出不穷。最后鸡汤结尾，倒有点老港片的味道。片内片外，老邓刷了前半辈子的脸，请了这么多明星龙套捧场。
90$24879858$分手大师$庸人便利店$2014-06-26 16:07:55$14$分手大师，有钱就赚。
91$24879858$分手大师$ᥫ᭡້໌$2017-04-10 15:07:51$17$搞笑不是智障，真当观众没脑子的吗？幽默是智慧的美妙升华，不是脑残的低俗。
92$24879858$分手大师$宋小君$2014-06-28 18:44:26$20$全片只笑了一次，那就是在影片终于终于结束的时候。
93$24879858$分手大师$芊颖$2018-05-16 20:29:29$13$邓超是一个很棒的演员。
94$24879858$分手大师$焦糖饼干$2014-06-27 11:21:04$13$这片真是集中了三个我不喜欢的人~
95$24879858$分手大师$baobaodu$2014-06-27 09:17:57$17$笑过即忘，据说原片素材有4小时...
96$24879858$分手大师$一條魚佔滿了河$2014-06-27 00:04:21$16$同場有觀眾笑瘋了，而我卻完全不知所措，那些刻意堆砌的廉價笑料只能讓人一再地翻白眼和豎中指。影片怎一個混亂了得，完全無電影章法可言，敘事、節奏、剪輯、配樂、表演各個層面都一塌糊塗，鄧超已經把放得開和做作地瞎胡鬧徹底搞混了，如果我有藥，我真想死命給他灌上一百瓶。
97$24879858$分手大师$Morning$2014-07-16 22:14:00$8$太可怕！连带客串韩寒都让我讨厌了。
98$24879858$分手大师$巴乌$2014-06-26 21:36:54$14$。。。给一颗星有点不好意思
99$24879858$分手大师$puch$2014-06-27 11:48:29$12$比整容日记还烂，
100$24879858$分手大师$even2525future$2014-06-02 00:51:53$19$光看演员表 就可以给分了   同意的点有用
101$24879858$分手大师$你是づ唯一$2014-06-27 09:23:17$14$又来骗钱？
102$24879858$分手大师$包包儿$2014-06-23 12:04:11$15$2颗星全部给带给我妈妈的欢乐。
103$24879858$分手大师$潇公子$2014-06-26 22:01:09$11$垃圾。没星。
104$24879858$分手大师$吃多会变胖$2014-06-04 19:20:22$14$可能期望值太低。反而感觉没那么烂
105$24879858$分手大师$化作尘泥碾作尘$2014-06-19 13:09:21$9$怎么笑？爆笑的都是什么人啊？
106$24879858$分手大师$墨  尘$2014-07-01 10:20:36$23$哎呀，分数好低好可怜，我来拉高一下评分啊，很好笑啊，搞笑片好笑就行了，剧情是很狗血，但是还是好笑啊。只买到晚点的场次，依然没犯瞌睡看完，这就够了
107$24879858$分手大师$云吞面$2014-06-22 14:21:35$15$一星完全是给友情客串。剧情似曾相识（我就直接说我想到野岛伸司编剧的手机剧逝爱吧），内容流于表面缺乏内涵，最重要是喜剧片我一点也笑不出来，是我笑点太高了麽
108$24879858$分手大师$元宝宝$2017-03-12 12:13:40$11$无厘头过火，就是恶搞无底线！并不可笑！
109$24879858$分手大师$姨妈的鸭$2014-07-18 21:12:44$16$电影全程都在告诉我们邓超的朋友圈很广。这么多打酱油的明星当中，汤唯扮演的金星老师是最棒的！
110$24879858$分手大师$我叫大圆脸$2014-06-20 08:24:42$6$看过点映，邓超是下一个王晶的节奏么？
111$24879858$分手大师$别人老公$2017-02-26 18:07:33$9$看完想戳瞎自己
112$24879858$分手大师$诸葛若见$2014-06-28 21:05:11$13$满屏屎尿屁玩笑，各种三俗段子层出不穷。最后鸡汤结尾，倒有点老港片的味道。片内片外，老邓刷了前半辈子的脸，请了这么多明星龙套捧场。
