$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
375$24879858$分手大师$大脑袋喵$2018-11-16 01:35:46$1$艺考看的 故事俗套 但讲清楚了 
376$24879858$分手大师$起初$2018-09-04 09:09:24$1$这么好笑的电影咯！！！！！！很久以前看的，评分低了
377$24879858$分手大师$hailey_lhl$2018-11-26 00:36:03$1$挺搞笑的
378$24879858$分手大师$Laugh80姐姐$2015-01-07 10:56:07$2$不知道为什么我就是不喜欢杨幂，
379$24879858$分手大师$SUOLON$2017-07-01 22:22:12$2$其实很不现实，纯粹为了搞笑吧，很浮夸
380$24879858$分手大师$歌德尖塔$2014-06-28 15:30:37$2$看幂的电影一向都跟电影没什么关系，就为了这个人，看她哭哭笑笑卖卖萌就挺开心的。。。。。。
381$24879858$分手大师$拉赫玛尼诺妇$2014-12-05 20:32:36$1$有几个朋友告诉我非常搞笑。。。开头五分钟后我就开始快进，这玩儿也能叫电影？邓超真是病得不轻，还是好好演电视剧吧
382$24879858$分手大师$陆壹肆$2015-05-26 05:36:06$2$邓超也是醉了。。。
383$24879858$分手大师$zoroalice$2014-07-06 22:52:38$2$好笑是好笑，就是没什么内涵
384$24879858$分手大师$一只熊猫$2014-10-01 12:25:24$2$比想象中好看，反成功学、各种自黑、各路大牌跑龙套，还是有亮点。邓超帅爆，收放自如。幂幂是个努力的演员，可惜面瘫。大师的角色塑造印象深刻
385$24879858$分手大师$蓝灰你$2018-08-25 18:58:29$1$emmmm
386$24879858$分手大师$秋风一叶$2018-11-22 08:14:56$1$好吧！笑死我了！多给一个星！
387$24879858$分手大师$草帽岳飞$2014-12-04 22:30:25$2$剧情很渣，不过邓超太搞了，真是个逗比啊哈哈哈。杨幂比白百合顺眼多了。看完就删的电影里这部还算可以。
388$24879858$分手大师$最美的时光$2017-04-19 13:26:25$2$冲个这个恶搞加上邓超不惜扮丑扮女人的拼命劲了，再加上基本上还能衔接上的剧情，给个鼓励奖吧
389$24879858$分手大师$战狼$2014-07-13 23:19:19$1$堆砌笑点的电影，卖贱不要钱，不断亵渎情感问题，还有叶小春与唐大山这一对真的立不住脚，看这样的电影也就笑笑得啦，不能当真…
390$24879858$分手大师$影君子$2021-03-21 11:56:57$0$啥价值观...
391$24879858$分手大师$西西弗的幻影$2014-08-23 09:19:41$2$娜扎真是极品，能来一发也不枉了
392$24879858$分手大师$g1823$2019-02-21 22:16:23$0$邓超辣眼睛表演片段拼凑而成，各路明星凑人数
393$24879858$分手大师$鬼卿$2018-09-13 22:44:40$1$无聊的时候看还可以
394$24879858$分手大师$喜欢看电影的我$2018-08-27 17:06:09$1$不错了。。看的很舒服。。。夸张，无厘头，前面感觉尴尬。。后面就慢慢习惯了。。。有笑点也有感动。。。
395$24879858$分手大师$望穿秋水裤$2018-11-27 18:39:30$2$"也不跟别的电影比
就跟恶棍天使比的话
我看分手大师笑得还挺开心的"
396$24879858$分手大师$东北地三鲜$2018-10-07 08:29:10$1$当时觉得挺好的 因为笑点挺多的
397$24879858$分手大师$YancySung$2018-11-16 03:04:41$1$邓超极度喜欢卖弄自己的搞笑，让电影变的低俗不堪，杨幂的演技尴尬到不挑剧本不挑对手。
398$24879858$分手大师$已注销$2018-11-30 18:32:27$1$还行吧
399$24879858$分手大师$不在焉$2018-12-02 07:28:19$1$一个结局拉低全片水准，何况本片水平也不高。
400$24879858$分手大师$斋藤杏奈$2018-10-11 13:23:22$3$邓超和娘娘以后不要再拍喜剧了好吗？一点也不好笑。希望邓超以后好好拍像烈日灼心那样的剧，真的很好看
401$24879858$分手大师$找自己$2014-09-20 22:21:25$2$我俗了，因为我觉得挺好看的，挺逗乐的，这年头就够了。我的需求已经充分被市场环境影响了。哎，惆怅。
402$24879858$分手大师$nichkhun$2015-01-27 21:05:21$2$3.6。这也算是近几年内地喜剧片较为出彩的一部 邓超的表演很卖力 剧情上还是有很多笑点 有些小设计还是很巧妙的 加油 中国电影
403$24879858$分手大师$纯良无害$2018-07-30 16:26:39$1$被迫看了两遍，可还是没有记住
404$24879858$分手大师$CharlesLi$2018-08-21 17:28:56$1$还可以吧，无厘头有点过头
405$24879858$分手大师$子宁$2018-09-10 00:54:45$1$完全沦为邓超的个人秀就一点意思都没有了，电影是群策群力的东西
406$24879858$分手大师$呵呵好吗$2014-07-09 15:41:15$2$同样是无逻辑无剧情的片子，同样是占去了绝大部分排档的电影，我更推荐看《分手大师》，而不是《变4》。虽然这片子贱至无下限，主配角演技俱浮夸，有些段子作的过头，不过整个观影过程依然非常愉快~ps：娜扎还是挺漂亮的，完爆幂幂，么么哒~
407$24879858$分手大师$只看演技$2018-11-25 13:00:56$1$看的时候还不错，挺搞笑的。。。
408$24879858$分手大师$1127½°$2014-07-01 22:06:32$2$鄧超太活寶了 整部電影鄧超HOLD住全場 不然肯定爛了要 但是我總能猜到劇情 猜到下一幕要演什麼 這怎麼破 20140701@萬達影城1號廳 6排5座
409$24879858$分手大师$513tattoo$2014-10-02 03:09:22$2$片尾花絮比正片好看啊！
410$24879858$分手大师$Rábano$2017-07-14 03:34:34$1$这片竟然能有五分？
411$24879858$分手大师$陈琪$2018-09-08 00:29:19$1$韩寒客串，还有大师演讲超哥捧哏的几段都挺搞笑的
412$24879858$分手大师$陈瑞智$2018-08-18 22:32:22$1$有些桥段挺搞笑的
413$24879858$分手大师$Amor$2018-08-15 09:13:37$1$给邓超...
414$24879858$分手大师$周周$2018-10-31 08:46:46$1$我jio的可以
415$24879858$分手大师$Hindseer$2014-07-02 21:13:24$2$看的时候确实笑了，杨幂真的不适合做演员。。。起码给个配音吧
416$24879858$分手大师$Jessy.Sedgwick$2015-02-04 00:56:48$1$两颗星給前半段
417$24879858$分手大师$纽扣$2018-09-10 00:41:11$1$图一乐，人生嘛最重要的就是开心鸭
418$24879858$分手大师$卡尔·霍克利$2014-06-29 20:59:01$2$剧情不咋地，影院里着实笑到HIGH了，可惜有好多出场明星都不认识呀
419$24879858$分手大师$感时花溅泪$2018-08-04 08:43:11$1$不知道邓超的演技有没有局限性，但是这部电影里的角色让他演的不错。剧情还将就吧。那个谁的演技在这个电影里面差点。
420$24879858$分手大师$大叶子$2018-03-06 17:57:52$6$很喜欢叶小春分手时的一句话，“无论如何，我都十分感激您出现在我的生命里”
421$24879858$分手大师$小稻s$2014-06-30 00:09:09$2$虽然不能免俗，但大家依旧笑得很开心
422$24879858$分手大师$爱在午夜降临前$2019-01-12 18:38:45$0$双胞胎吧，我是龙凤胎，我妹夭折啦。
423$24879858$分手大师$乌突突$2014-07-30 21:19:19$2$隔的有点久 忘了情节了都 虎头蛇尾
424$24879858$分手大师$兔子$2018-11-22 16:48:20$1$题材还蛮特别
425$24879858$分手大师$无名$2018-11-17 00:31:46$1$笑是挺好笑的，不过邓超啊，导演呢就别了吧
426$24879858$分手大师$进化论？$2018-12-01 22:47:45$1$补标
427$24879858$分手大师$没注销$2018-11-28 19:28:54$1$哈哈
428$24879858$分手大师$豆焗味怪$2018-11-25 22:43:09$1$补标
429$24879858$分手大师$呼延凯旋$2015-09-29 20:15:26$2$看着豆瓣的一片骂声，我有些郁闷，有些人真的是为了骂而骂，完全就是在瞎起哄，我承认这电影的剧情真的很糟糕，分手大师的分手方式真的不怎么样，虽然剧情不怎么样，但我真的笑的开心，看邓超在装疯卖傻，挤眉弄眼的耍贱，作为一部喜剧能让我笑那就够了。
430$24879858$分手大师$SingLesinger$2014-10-20 09:46:30$1$开全屏看都觉得对不起电脑。国产片恶趣味到底怎么办啊。
431$24879858$分手大师$欲雨与鱼遇$2018-11-10 23:25:33$1$邓超也救不了杨幂 也就只能多一星给他吧
432$24879858$分手大师$冰晶莹$2018-08-26 23:34:19$1$这种喜剧就没有什么逻辑可以说了，感觉挺好笑。足够了
433$24879858$分手大师$椰子妹$2014-09-23 14:24:34$1$杨幂的假脸
434$24879858$分手大师$虚度年华$2014-10-26 16:03:16$2$超级搞笑，邓超演技不错！
435$24879858$分手大师$瓦片||我tm浪漫的困惑$2014-06-27 02:35:16$7$开片急支糖浆乱入，各种不二神探的二逼耍宝形态，笑点高的就别去找虐了。素颜贴双眼皮可是很惊悚的。全场就觉得金星最美Σ(oﾟωﾟo) [你是怎么了喂
436$24879858$分手大师$会笑的昨天$2016-02-14 15:09:43$2$小小地讽刺了一下这个被成功学洗脑的时代，但也只是点到为止。
437$24879858$分手大师$绿腰$2014-07-24 23:00:23$2$算是类型片的又一次成功尝试，剧情嘛，别太较真啦
438$24879858$分手大师$Blank空白帧$2017-02-08 17:10:39$7$良心之作，在搞笑烂片泛滥成灾的时候我看到了这个挺好看的，值得一看！！！搞笑成分很足，情节设计也不错，值得一看！！！！！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
439$24879858$分手大师$spreeze$2018-12-02 04:24:43$1$挺搞笑的。不烂
440$24879858$分手大师$疯子一个$2018-12-04 12:59:13$1$确实挺搞笑的，但是我只觉得是个爆米花电影
441$24879858$分手大师$陌扶苏$2014-11-07 23:59:08$2$我觉得还挺有意思的，邓超还是很豁的出去的，杨幂素颜挺好看。
442$24879858$分手大师$かんら$2014-07-07 23:16:23$2$一直觉得男主角有种王大锤的感觉
443$24879858$分手大师$𝓉𝓊𝓌ℯ𝓇𝒾$2015-01-23 17:23:07$2$国内终于有人会拍、会演屎尿屁喜剧了。虽然笑点恶俗+恶心，但从小到大不也是这么欢乐地看《美国派》系列、《惊声尖笑》系列过来的吗？至少国产片探索出了一个新类型，也至少有人懂得怎么完全放开地演无下限喜剧了。邓超的卖命搞笑让其他登场演员都成了他的道具。
444$24879858$分手大师$毛栗老弟弟$2015-01-14 17:10:39$2$不管烂不烂反正是笑了，邓超扮女人还挺美的
445$24879858$分手大师$悲了伤的独孤宵$2018-11-26 11:23:05$1$还行，我很惊喜，因为期望不高。
446$24879858$分手大师$小小雨点$2018-09-21 10:48:20$1$一般，剧情很尬
447$24879858$分手大师$这鲤$2015-01-11 13:48:07$2$有点烂俗
448$24879858$分手大师$maruko$2014-07-18 00:44:50$2$最讽刺的是，原本在七一前夕组织党员学习观影看焦裕禄的，结果拷贝挂掉了于是就看了这部，满场大笑的可多了，觉得邓超这么浮夸又卖力的咯吱你乐呵就也还好啦，两星半。
449$24879858$分手大师$葡❤️萄$2014-07-03 20:31:09$2$哈哈哈哈哈哈哈哈哈哈
450$24879858$分手大师$嬉皮岩$2014-07-11 22:32:56$2$杨幂出来前都不错
451$24879858$分手大师$Cora_李$2014-07-06 12:57:19$2$用尽各种搞笑手段 嗯 发挥邓超逗比潜能 尤其金星说他对舞台的热爱 太符合他本质
452$24879858$分手大师$咸鱼王腐loli$2014-06-30 00:07:46$2$人至贱则无敌 客串嘉宾亮瞎眼 每个人都在玩自己的梗 剧情俗烂 邓超用力过猛 
453$24879858$分手大师$卜卜安$2014-07-12 20:40:11$2$是看在娘娘和邓超的面子上给3星的。卷钱可以，只此一次。
454$24879858$分手大师$末末。$2020-08-08 00:00:42$0$该片讲述了“分手大师”梅远贵，在开展“分手”业务的过程中，相识北漂彪悍女汉子叶小春，并由此上演了一出“史上最蠢却感人至深的爱情喜剧”。
455$24879858$分手大师$语$2018-08-02 09:50:40$1$5
456$24879858$分手大师$九幽幽余$2017-08-31 18:42:40$9$soso
457$24879858$分手大师$红氹$2018-10-03 21:48:30$1$这个其实还好
458$24879858$分手大师$世界和平。爱$2018-08-12 22:13:49$1$我觉得挺搞笑的
459$24879858$分手大师$momo$2018-08-22 02:46:12$1$还挺搞笑的
460$24879858$分手大师$外噻$2014-09-23 08:42:30$2$邓超个人的无节操耍宝秀。。。
461$24879858$分手大师$栀子$2014-09-20 20:29:59$2$喜剧片
462$24879858$分手大师$猪肉荠菜馅包子$2017-05-18 23:43:48$4$笑点是有的，比起邓超另一部这个算不错了，但还是挺难看的
463$24879858$分手大师$拾间集$2014-09-24 17:54:37$2$三分给邓超～太可爱了
464$24879858$分手大师$⑤$2018-08-16 18:29:20$2$演的不错
465$24879858$分手大师$胡二哥🤖$2018-11-23 15:03:30$1$当时居然觉得好看，娜扎是真漂亮
466$24879858$分手大师$麦田$2014-07-21 11:46:08$2$为啥评分低呢？ 调侃的很猛呀，真心挺逗的
467$24879858$分手大师$Lako$2014-07-01 18:46:59$2$邓超个人秀
468$24879858$分手大师$奇的葩$2014-07-09 23:16:53$2$三分给卖命的超哥
469$24879858$分手大师$CTfromUFO$2014-12-24 12:49:28$2$纠结
470$24879858$分手大师$西西Ariel$2014-07-03 22:26:14$2$还是挺搞笑的，邓超演的很卖力气，虽然看上去像个人展览秀，但是猛然发现这是一部励志片啊，一个男人化一化都能那么美，我们女人一定也能！
471$24879858$分手大师$岁月静好$2018-09-12 15:31:10$1$感觉还可以，有些地方挺搞笑的
472$24879858$分手大师$凛$2017-03-18 07:16:51$3$一笑而过的电影
473$24879858$分手大师$Amy$2014-08-22 23:39:03$2$邓超表情太贱了。
474$24879858$分手大师$ShaoZq$2016-06-19 10:06:23$3$逗逼
475$24879858$分手大师$你可以叫我水$2014-07-10 13:03:37$2$不用动脑子就对了。
476$24879858$分手大师$已注销$2017-04-13 14:12:20$4$还不错，都有很大突破，幽默搞笑
477$24879858$分手大师$贺兰鼠猫$2015-12-09 23:21:50$2$基本上是很多零零碎碎的，硬拗出来的笑点，也不是不能笑，就是看着有点尴尬。邓超一定拍得很过瘾吧？他自己觉得好玩就行了，谁让他帅呢
478$24879858$分手大师$沐恩$2014-10-02 00:35:12$2$耐心看到结尾，终于等到了……
479$24879858$分手大师$坏$2018-08-20 18:19:24$1$搞笑是搞笑，就是感觉有点可意。邓超表演的好贱
480$24879858$分手大师$李子维是理想$2018-11-27 13:21:47$1$特别烦邓超演贱兮兮的样子 以后还是演点正儿八经的吧
481$24879858$分手大师$菜包的小猫咪$2014-12-20 11:57:26$2$邓超表演挺卖力的哟
482$24879858$分手大师$XX缪斯$2018-08-23 10:52:23$1$不错的，邓超疯起来很搞笑
483$24879858$分手大师$decidels$2014-07-08 00:37:10$0$我不知道要怎么评价这个片子。好么？不好么？我是为了柳岩才看这电影的。她出场的时候也是我全片唯一笑了的地方。不得不说邓超这部片子里客串确实很强大，给人的感觉却是在浪费资源，她/他们都努力的演出了，但效果和笑果都寥寥。邓超的个人秀，可惜功夫不到家整部片子都感觉油腻腻。大幂幂还是挺萌的
484$24879858$分手大师$momo$2018-11-26 01:01:07$1$我只求邓超不要再和俞白眉合作，以及感慨一下当年杨幂还能看的模样。
485$24879858$分手大师$滨崎酱$2014-10-05 19:33:10$2$作为喜剧电影，个人觉得比《泰囧》之流的要好看呀！邓超也是蛮拼的，自己各种耍宝，还邀请了圈里很多朋友客串，赚足了眼缘。不知道为什么豆瓣上骂声一片……
486$24879858$分手大师$非梨$2014-07-03 08:32:58$2$无论如何，这部电影成功了，真搞不懂其他国产片那么胆小，不敢与变4同台，就冲这点，给分手大师打4星。
487$24879858$分手大师$Storm_Rider_Z$2015-09-13 20:09:31$2$邓超蛮拼的。借鉴了不少别的电影里的元素，只要在努力尝试，就是好的。
488$24879858$分手大师$人生若只如初见$2018-08-01 23:54:11$1$剧情弱，但确实很好笑
489$24879858$分手大师$尤普生$2014-06-29 15:09:06$2$保守5亿，中国还是不缺新鲜的内容的，各行各业的新势力都冲杀过来了，刚好煤老板、矿老板、房老板、大老板的钱没处搁，电影是个好去处啊！
490$24879858$分手大师$胸口碎大石$2018-09-20 18:31:23$0$5分吧，柳岩的颜值倒是胜过了两个小花。
491$24879858$分手大师$幼香鸡贼$2015-07-18 23:07:12$2$凭着邓超的卖力表演，[分手大师]与国产良心制作的名号仅有一个杨幂的差距....纵观短评区，我第一次如此真切地感受到豆瓣用户的离群索居。拜托请收起你们趾高气昂目空一切的自负和喋喋不休头头是道的逼格。偶尔陪着亲人朋友去影院里单纯开嗓子笑笑，那才是生活啊好吗？！
492$24879858$分手大师$黑翼群狼$2015-03-31 15:39:53$2$邓超的逗比个人秀，是不是每个演员自编自导自演都得来场个人秀？！创意不错，连九儿都给恶搞了，只是结尾是什么鬼？！日后少吹牛逼，所以才拒绝娜扎的吗？
493$24879858$分手大师$杜望川$2014-07-22 01:04:09$3$几乎就是邓超的个人秀，卖萌发疯无节操，给邓超点个赞，其他都一般
494$24879858$分手大师$相期无负平生$2018-09-08 10:38:39$1$到现在为止我只记得娜扎哈哈哈
495$24879858$分手大师$玫瑰酒$2018-10-31 20:21:49$1$我三年前好年轻啊，为什么还会因为邓超和杨幂这俩明星选择看这部电影呢？？大概这也算是国民度吧。但是没啥意思，要不然不会阅后即忘的
496$24879858$分手大师$林思$2014-10-31 09:11:50$2$我觉得还挺可乐的，段子很新鲜，邓超的演技好棒啊。不过也仅仅是段子合集罢了，不知道是不是剪刀手的关系，感觉情节跳跃，完全是几个好笑的小视频拼凑在一起，看幕后花絮时看起来还是有起承转合的，只是为了保留好笑段子剪的？可这样跟段子合集没区别。
497$24879858$分手大师$豆友170050444$2018-09-09 16:31:14$2$我觉得好笑就够了
498$24879858$分手大师$不二$2014-07-11 01:21:29$2$虽然邓超的表演确实有些过头，而所谓喜剧做的也不是那么成功。但是白眉确实在戏剧与电影中摸索，值得鼓励。
499$24879858$分手大师$爱米粒$2014-07-06 18:01:05$3$超哥的突破，可以。超哥喜剧梦想的实现。
500$24879858$分手大师$ablazeoasis$2018-11-27 20:23:49$1$我只记得里面的刺猬很可爱：）
501$24879858$分手大师$爱睡觉$2014-07-23 20:41:17$1$笑点还是比较多的。
502$24879858$分手大师$SHAOXIAYU$2014-09-05 23:22:19$1$很无厘头的搞笑片，邓超的处女作
503$24879858$分手大师$小猪熊$2018-11-15 01:35:40$1$烦死杨幂了 娜扎可真好看啊
504$24879858$分手大师$Codiez$2018-10-27 21:15:33$1$说实话吧，邓超分手这么多年来的专业性，最后栽在杨幂这一单上，很假，但也未尝说不通，也许他就是，累了吧。在一个个的瞬间里，输出的都是真情实感。
505$24879858$分手大师$贝贝雪饼$2018-11-24 01:42:43$1$前半部真的蛮好看的，特别是各个分手例子，特别有趣，后保部突然稀烂且碎
506$24879858$分手大师$橙c$2017-05-25 23:46:11$2$看点在哪里
507$24879858$分手大师$我lu不会飞$2017-05-28 21:17:20$3$超哥加油！
508$24879858$分手大师$越读书越帅🏆$2018-08-16 01:47:59$1$很精彩很搞笑的电影，看来有的时候豆瓣不能信
509$24879858$分手大师$乙暮$2018-08-02 07:07:52$1$风水大师这个职业的人很惨吧
510$24879858$分手大师$北极甜虾气泡酒$2021-01-12 00:08:11$3$真心觉得挺好看的，邓超帮不同的人分手的时候真的好搞笑。我在电影院里不能自己，不知道为啥有这么多差评。邓超和杨幂去给金星表演的那段也非常搞笑。最后杨幂和邓超的真情告白也非常好笑呀。
511$24879858$分手大师$就叫我清新可爱$2018-08-10 23:42:04$1$我觉得其实还可以啊
512$24879858$分手大师$肉卷大爷$2018-08-28 00:30:34$1$编剧很懂得低级趣味和恶俗段子
513$24879858$分手大师$王坏水$2014-06-26 20:38:27$2$自嘲的精神不错。有点好莱坞荒诞喜剧和香港无厘头的样子了。那些觉得诅咒的二逼们，你们忘了你们看着美国炸白宫过瘾了？诅咒要是有用，这世界还有犯罪么？
514$24879858$分手大师$snowsnowstan$2018-10-21 23:11:25$1$？？？
515$24879858$分手大师$早安$2018-12-05 16:00:39$1$好早以前看的。
516$24879858$分手大师$周未$2018-11-30 21:35:45$1$作为一个喜剧，还可以吧，无功无过
517$24879858$分手大师$springe$2014-08-31 16:10:38$2$一笑了之。没有内涵，看电影时根本不必带脑子，从始至终无厘头地傻笑。减压的效果就达到了。
518$24879858$分手大师$烟台周杰伦丶$2018-08-02 16:23:56$1$开心就好嘛
519$24879858$分手大师$花想容🌸$2017-07-22 08:02:25$2$看过之后觉得很差，现在已经忘了剧情，大众化？
520$24879858$分手大师$Nakaji$2018-08-10 05:41:42$1$丰满的娜扎多美啊，走美艳路线很难吧。这部就属于上映时身边人都在讨论，打开一看，感叹这种商业片，哎
521$24879858$分手大师$33米兰$2014-08-06 07:32:50$2$一部喜剧 笑了 就够了 感觉换个女主能好点
522$24879858$分手大师$鹿丸$2014-09-23 13:11:48$2$起码邓超跳舞那块挺好看的
523$24879858$分手大师$西西弗假面$2018-12-16 11:06:07$0$说吧邓超你14年是不是洗钱了……年度最烂预定，别的烂片最多算看看笑笑，这个多次看的不忍直视；污染眼球的片子。引用片里老六一句台词……“你恶不恶心啊”
524$24879858$分手大师$prince bowie$2017-04-17 23:55:59$3$我觉得6分应该有
525$24879858$分手大师$肖恩恩恩恩肖$2014-06-29 21:01:53$2$邓超耍贱的功力还不如文章，因为他贱得很讨人厌。看完之后感觉自己蠢蠢哒～
526$24879858$分手大师$小黑$2018-08-13 01:42:23$2$挺好的吧 拉高评分
527$24879858$分手大师$你别偷我鱼啊$2014-08-07 00:59:19$2$比想象的好
528$24879858$分手大师$之晨$2015-08-14 11:08:58$1$无节操也好，拉低智商也罢，我倒觉得国产电影需要这样的低俗喜剧类型，反正看的时候好几处我都大笑了，天天山珍海味，偶尔来块臭豆腐也未尝不可。
529$24879858$分手大师$Dako$2022-10-12 23:29:11$0$你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？你没事吧？
530$24879858$分手大师$天山雪碧$2014-07-13 21:24:24$2$梗插入的很自然，笑料挺多的。
531$24879858$分手大师$zh18y$2018-08-04 19:46:39$1$满满都是套路啊！
532$24879858$分手大师$是二爷吖$2018-09-08 22:54:49$1$那个努力的你看起来真的好美！虽然看起来很作，但是邓超从骨子里透露出来的那种演员的基本修养和敬业精神，会让你觉得这就是一个好演员，他值得拥有掌声。
533$24879858$分手大师$pp冰诺$2018-10-05 08:34:11$1$超哥辣眼睛👀
534$24879858$分手大师$RMH$2018-11-23 17:26:25$1$初中时候看还是觉得很好笑的
535$24879858$分手大师$你捞痞子啊$2014-09-15 06:08:44$2$就看邓超一个人浮夸搞笑～爆米花电影～6分
536$24879858$分手大师$9℃暖阳$2018-08-01 18:14:52$1$邓超真逗B
537$24879858$分手大师$Yellow Ribbon$2018-11-07 19:30:54$1$意外get到了娜扎的颜值。另外，豆瓣什么时候能出半星啊，想打两星半。
538$24879858$分手大师$Aziz$2014-07-26 04:22:00$0$邓超的演出还是很讨喜的
539$24879858$分手大师$不才$2018-11-18 21:22:47$1$只要是看电影时，妈妈会睡着的电影，就一般般了。恶搞罢了。
540$24879858$分手大师$夜行着露$2018-10-17 15:13:14$2$其实…感觉…挺好笑的，作为一部喜剧它是成功的，不明白评分为什么那么低…
541$24879858$分手大师$Acrab$2014-07-19 10:23:02$2$故事还是有的，就是一些主角自恋的桥段太多，用力过猛。 古力娜扎动起来没有硬照看起来漂亮。
542$24879858$分手大师$木偶$2014-08-21 17:50:17$1$邓超的“百变大咖秀”
543$24879858$分手大师$海南清补凉$2018-08-06 20:36:20$1$邓超还是有一点演技的 当个喜剧片打发一下时间没问题
544$24879858$分手大师$玄源易学$2014-08-20 16:22:15$2$分手那天自己去看的。看完心情特别好
545$24879858$分手大师$杠精没了$2018-08-16 14:58:01$1$浮夸，当时看的时候挺搞笑的
546$24879858$分手大师$李纯信$2018-08-07 10:57:28$1$邓超真的不适合搞笑片。
547$24879858$分手大师$不完整的旋律$2014-06-21 17:47:07$2$因为杨幂，所以差评。一星给勇气。
548$24879858$分手大师$宋小欠$2014-06-19 10:28:49$2$又一不是电影的电影要爆发了
549$24879858$分手大师$只是要说$2014-06-19 00:29:02$1$确定不改档期吗？
550$24879858$分手大师$大叔出生80后$2014-06-03 23:09:10$2$不知道变形金刚4？
551$24879858$分手大师$Arcade,$2014-06-20 11:14:52$1$零分预感
552$24879858$分手大师$strongman$2015-05-23 14:32:33$1$至少比我们中学那会有进步，不用老看什么港台夏日么么茶了
553$24879858$分手大师$三木鸥$2018-08-26 21:26:45$1$挺好玩的。
554$24879858$分手大师$观察人类$2014-07-08 14:35:09$2$贱到极致，二到无下限。这剪辑…原来真的有jif格式。邓超拼了老命折腾自己，还是创造了属于他自己的奇迹。
555$24879858$分手大师$huyouyou$2014-06-30 12:30:02$2$邓超个人show，向下走的喜剧。#20140629
556$24879858$分手大师$唐肆级$2018-08-19 22:30:21$1$这个我还觉得挺搞笑的
557$24879858$分手大师$回忆你我回不去$2015-01-03 07:30:56$3$邓超真的好拼 给点个赞
558$24879858$分手大师$清风自来$2018-07-31 00:23:06$2$看了这电影对杨幂有点好感
559$24879858$分手大师$爱与宁静$2018-11-26 18:26:26$1$呵呵呵呵呵呵呵
560$24879858$分手大师$nekozzzz$2018-09-10 23:11:24$1$挺好笑的。比较经典的国产故意想逗笑观众与比较经典的故意让最后的剧情变得感人。
561$24879858$分手大师$帽子森$2018-11-19 23:32:53$1$挺好玩的，看的时候笑啦~
562$24879858$分手大师$风间隼$2015-01-29 18:55:18$1$男星耍贱新标杆。其实有雇分手咕噜的钱，直接砸给情人不就好了？
563$24879858$分手大师$多杰克少年$2018-07-30 23:21:38$1$我觉得除了过分浮夸外，剧情还是挺不错的
564$24879858$分手大师$内盈$2018-08-22 19:58:03$1$一般以下，作妖的喜剧不算戏剧。
565$24879858$分手大师$卡塞尔少年$2023-01-25 15:41:02$0$邓超+俞白眉可以3星或以上，俞白眉+邓超2星正常。
566$24879858$分手大师$茉莉奶绿脆啵啵$2018-08-07 15:49:11$1$单纯搞笑，不值得我花钱进电影院罢了。
567$24879858$分手大师$甜$2017-01-16 21:46:47$5$作为一个喜剧电影 我跟学姐去看的 情侣厅 第一排 我都快要笑瘫在地下了 差点就狗带了 为什么分那么低？
568$24879858$分手大师$🍪$2018-12-06 21:02:43$1$-134-感觉这个题材会很有趣，但是这是很奇怪的一部电影，过于夸张的恶搞像是曲解了幽默这个词，让人不但不想笑反而尴尬和不适。
569$24879858$分手大师$Hachiko$2014-06-27 18:59:01$2$"温馨提示，观影前请把""节操""放家或存放在前台，谢谢。常演话剧的邓超舞台素养非常扎实，虽然故事单薄，但他夸张到极致的表演让其他所有演员黯然失色，冲着他耍贱而来的观众也都喜出望外，首执导筒的他，完全得以自由发挥。现在人人压力山大，没脑的傻笑笑挺好。P.S.能只比《变4》早六小时上，胆子真大"
570$24879858$分手大师$虾仁$2014-08-24 20:47:40$2$没有想象中的搞笑，欣赏这片里的cao、tama之类的脏话，不避嫌就真实了许多
571$24879858$分手大师$蔚蓝天空$2015-02-16 12:35:48$1$剧情、人物过于做作，笑点过于刻意
572$24879858$分手大师$雄一样霸天下$2014-07-02 11:20:58$2$这就是一场闹剧，不过至少比之前芒果台整的要好的多
573$24879858$分手大师$拜金沃斯学者$2015-02-26 07:27:31$0$整个人都不好了，现在大陆电影就这样了？！拍得越弱智越赚钱？！
574$24879858$分手大师$coolfax$2014-10-16 21:44:34$2$剧情比较白痴的，但很欢乐。
575$24879858$分手大师$帆茄妹子$2016-08-08 15:17:34$3$挺不错的，杨幂演女汉子真的拼了
576$24879858$分手大师$Rain$2018-09-17 18:20:51$1$我真是太缺爱了
577$24879858$分手大师$　Immortal$2018-11-12 04:21:34$1$补
578$24879858$分手大师$🌸🍃向前走🍀$2018-08-30 18:45:26$1$邓超太拼了
579$24879858$分手大师$ScaraMouch$2018-11-23 19:51:25$1$本来看的时候挺喜欢的，后来很讨厌那个什么大师，感觉像个智障就不喜欢这片了
580$24879858$分手大师$Andidoobrie$2014-07-09 22:03:28$2$就是搬上了大银幕的舞台剧 笑点挺好的 不过求求您不要煽情 真受不了。啊对 毫！无！逻！辑！
581$24879858$分手大师$豆友38137057$2014-07-22 15:43:03$0$比《小时代》好一丢丢吧。。话说俞白眉啊，好歹也是代乐乐（纯是个人喜欢代乐乐）的老公啊，好歹电视剧写得还行啊，咋电影搞成这样！！
