,movie_id,movie_vote,movie_ex_score,movie_shortcom_num,movie_nlp_var,movie_vote_var
219,26920265,8.8,0.0764983638049112,297,0.084347654756139,0.0451012
220,26925317,7.2,0.06222298260887186,182507,0.07031302826108982,0.029862800000000002
221,26926321,6.6,0.07862959997590893,106589,0.09344639996988617,0.0193624
222,26928839,8.8,0.06205908934213584,52,0.06708386167766979,0.041960000000000004
223,26946612,9.3,0.0535440949114471,3281,0.04910431863930886,0.07130320000000004
224,26972258,7.6,0.05811064886098696,91542,0.0644287110762337,0.032838400000000004
225,26972694,9.3,0.072123062059889,2987,0.07181848757486123,0.07334136000000001
226,26985127,7.1,0.07565982699609256,246633,0.08813548374511569,0.0257572
227,27038183,6.8,0.07951567561550016,198873,0.09337269451937519,0.024087600000000004
228,27059170,8.9,0.07343474161623958,1573,0.07974438702029948,0.048196159999999995
229,27060077,8.9,0.06325979557417132,390550,0.06672054446771414,0.0494168
230,27062669,8.7,0.06459937837975756,21,0.06974972297469695,0.043998
231,27085647,8.4,0.054058002991114316,97,0.059223603738892884,0.033395600000000004
232,27092785,4.6,0.11334771300061422,91597,0.13716634125076776,0.0180732
233,27102569,5.8,0.05821460774208183,81468,0.06980241967760228,0.01186336
234,27110296,8.0,0.0744575265246217,277651,0.08549380815577713,0.0303124
235,27119392,9.0,0.04175994975285574,55,0.03872483719106968,0.0539004
236,27124569,9.1,0.0655987634966123,128,0.06763115437076536,0.0574692
237,27133303,6.8,0.05704777452225504,148107,0.0630119181528188,0.0331912
238,27167015,9.1,0.052074003911570216,56,0.04961816488946277,0.06189735999999999
239,27605698,6.6,0.08964567629723333,279454,0.10694079537154165,0.0204652
240,27619748,5.3,0.1295647887505511,474983,0.1573946859381889,0.018245200000000003
241,27663742,6.6,0.053281335202314525,79201,0.06002126900289315,0.0263216
242,2995169,9.1,0.08471606510529787,69,0.09022534138162233,0.06267896
243,30122633,6.8,0.053220873556391365,122628,0.060261391945489205,0.0250588
244,3012377,8.8,0.06537054428262594,4977,0.07034942035328243,0.045455040000000016
245,30128916,7.1,0.04866068215754461,143896,0.05384065269693076,0.0279408
246,30142123,9.2,0.03249179498617956,150,0.022677643732724444,0.07174840000000002
247,30163509,6.9,0.0655536333280102,268811,0.07613910166001275,0.023211759999999998
248,30166972,8.2,0.06782242831147359,487373,0.07684763538934197,0.0317216
249,30171424,7.4,0.058437250633803985,198365,0.06428862329225497,0.03503176
250,30174085,7.2,0.0860154802444549,176169,0.09890111030556861,0.03447296
251,30176393,7.5,0.0663497918993328,267109,0.07475953987416599,0.032710800000000005
252,30221757,6.4,0.09323471382881171,107690,0.11156315228601464,0.019920959999999998
253,30252495,8.5,0.054172820107579164,152227,0.05753332513447395,0.0407308
