,movie_id,movie_name,movie_vote,movie_voter,movie_5star,movie_4star,movie_3star,movie_2star,movie_1star,movie_shortcom_num
130,24847340,小时代3：刺金时代,4.7,238765,6.7%,8.1%,29.3%,27.2%,28.8%,69250
131,24847343,小时代4：灵魂尽头,5.0,193024,8.2%,10.3%,30.9%,24.8%,25.8%,53665
132,24852545,爱情公寓,3.2,258333,4.1%,3.1%,10.0%,15.1%,67.7%,113061
133,24875534,十二公民,8.4,362487,38.8%,46.0%,13.1%,1.5%,0.6%,104116
134,24879858,分手大师,5.1,332032,5.3%,10.8%,36.7%,30.0%,17.1%,94310
135,25662327,火锅英雄,7.2,339388,11.8%,44.3%,38.6%,4.6%,0.8%,94217
136,25710912,港囧,5.7,389790,5.4%,14.9%,45.8%,25.6%,8.4%,110882
137,25716096,狗十三,8.2,493318,33.2%,46.2%,17.2%,2.6%,0.9%,162674
138,25717233,心花路放,7.2,532342,14.9%,40.0%,37.6%,6.1%,1.3%,129138
139,25723907,捉妖记,6.7,525896,10.3%,31.9%,44.8%,9.9%,3.2%,134825
140,25745752,左耳,5.7,266396,6.6%,15.0%,43.5%,24.7%,10.2%,78794
141,25770540,周信芳的舞台艺术,8.8,110,67.5%,16.3%,10.0%,2.5%,3.8%,17
142,25779217,诛仙1 诛仙 Ⅰ,4.5,650934,9.6%,8.0%,19.0%,23.8%,39.6%,340927
143,25779218,匆匆那年,5.6,268074,6.2%,15.0%,42.7%,25.3%,10.7%,82333
144,25779712,古剑奇谭2：永夜初晗,8.8,868,66.4%,18.0%,8.8%,2.2%,4.6%,251
145,25798222,亲爱的,8.4,498272,37.3%,48.8%,12.9%,0.8%,0.2%,129132
146,25798448,解救吾先生,7.7,407594,18.2%,52.7%,26.7%,2.0%,0.4%,97141
147,25801066,西游伏妖篇,5.5,349876,7.7%,16.0%,36.2%,25.8%,14.4%,145265
148,25802874,借东风,9.2,434,73.7%,15.9%,7.3%,1.3%,1.9%,112
149,25805741,后会无期,7.2,600467,15.8%,37.9%,37.3%,6.9%,2.2%,184094
150,25815034,湄公河行动,8.0,732099,28.1%,45.9%,22.4%,2.8%,0.7%,183277
151,25824686,变形金刚5：最后的骑士 Transformers: The Last Knight,4.9,245820,4.0%,8.5%,34.8%,34.4%,18.3%,81477
152,25827935,七月与安生,7.5,627952,17.8%,47.0%,30.5%,3.7%,0.9%,175547
153,25845392,长津湖,7.4,733524,24.0%,32.9%,32.2%,8.7%,2.1%,256982
154,25851736,陈仓已冬,9.0,218,68.9%,18.6%,8.7%,1.6%,2.2%,82
155,25870084,重返20岁,7.1,405618,13.8%,38.4%,39.9%,6.0%,1.9%,108854
156,25882296,狄仁杰之四大天王,6.1,264422,4.7%,22.9%,49.4%,18.8%,4.2%,90118
157,25884801,记忆大师,7.1,358050,10.3%,41.7%,40.6%,6.4%,1.0%,101563
158,25895276,煎饼侠,5.8,378425,6.6%,17.3%,43.5%,23.1%,9.5%,98140
159,25907124,姜子牙,6.6,595774,9.6%,29.3%,46.5%,12.4%,2.2%,247250
160,25917973,心迷宫,8.7,510227,47.8%,42.9%,8.4%,0.6%,0.2%,135671
161,25921812,驴得水,8.3,899787,38.4%,43.2%,15.0%,2.5%,0.9%,227404
162,25964071,夏洛特烦恼,7.8,960893,28.3%,42.5%,23.4%,4.2%,1.7%,252315
163,25983044,比利·林恩的中场战事 Billy Lynn's Long Halftime Walk,8.3,383130,36.2%,45.6%,16.4%,1.6%,0.3%,110325
164,25986662,疯狂的外星人,6.4,678985,8.2%,27.0%,44.8%,15.8%,4.3%,219544
165,26035290,悟空传,5.1,227362,4.5%,10.3%,35.3%,33.6%,16.2%,88740
166,26260853,速度与激情8 The Fate of the Furious,7.1,333211,13.8%,36.0%,40.9%,7.7%,1.6%,94635
167,26266893,流浪地球,7.9,1899218,34.6%,36.3%,21.6%,4.9%,2.6%,714321
